c1,c2,c3,c4,e,p,s,t
14,41,0,0,11,36.28,100,1538650174579
14,41,0,0,12,36.28,100,1538650180740
14,41,0,0,12,36.28,100,1538650200100
14,41,0,0,12,36.28,100,1538650298918
14,41,0,0,12,36.28,100,1538650373629
0,0,0,0,12,36.28,500,1538650373629
14,41,0,0,11,36.35,300,1538653829590
14,41,0,0,12,36.35,700,1538653829590
14,41,0,0,12,36.37,200,1538659013242
0,0,0,0,11,36.35,100,1538659217691
0,0,0,0,11,36.35,100,1538659217691
37,0,0,0,2,36.37,1,1538659236814
51,0,0,0,0,36.4,,1538659800856
25,0,0,0,10,36.4,4103,1538659800856
51,0,0,0,0,36.3765,,1538659805153
0,0,0,0,4,36.3765,100,1538659805153
51,0,0,0,0,36.35,,1538659805189
0,0,0,0,4,36.35,300,1538659805189
37,0,0,0,4,36.35,70,1538659805643
0,0,0,0,10,36.4,300,1538659811221
0,0,0,0,19,36.4,100,1538659811221
0,0,0,0,19,36.4,100,1538659811221
0,0,0,0,19,36.4,100,1538659811221
0,0,0,0,12,36.4,100,1538659811221
25,16,0,0,12,36.4,100,1538659811221
14,41,0,0,12,36.4,100,1538659811222
14,41,0,0,10,36.4,100,1538659811392
14,41,0,0,12,36.4,100,1538659811392
14,41,0,0,12,36.4,100,1538659811393
37,0,0,0,4,36.3895,56,1538659848128
37,0,0,0,4,36.39,1,1538659880421
51,0,0,0,0,36.41,,1538659894235
0,0,0,0,18,36.41,200,1538659894235
14,41,0,0,10,36.4,100,1538659950890
14,41,0,0,2,36.4,100,1538659950890
14,37,41,0,12,36.39,3,1538659956635
14,41,0,0,10,36.38,100,1538659987278
0,0,0,0,4,36.3769,500,1538659990666
37,0,0,0,10,36.37,10,1538660025470
14,41,0,0,3,36.36,100,1538660045949
14,41,0,0,10,36.36,100,1538660055414
14,41,0,0,10,36.37,100,1538660055812
14,41,0,0,10,36.37,100,1538660059065
0,0,0,0,2,36.36,100,1538660063666
37,0,0,0,10,36.37,86,1538660069789
14,41,0,0,11,36.37,100,1538660069790
25,16,0,0,11,36.37,100,1538660069790
14,41,0,0,10,36.37,100,1538660069790
14,41,0,0,10,36.37,100,1538660069790
14,37,41,0,10,36.37,14,1538660069790
14,41,0,0,19,36.37,100,1538660069790
14,37,41,0,8,36.37,24,1538660069790
14,37,41,0,8,36.37,10,1538660069790
14,37,41,0,8,36.37,66,1538660069790
14,41,0,0,12,36.37,100,1538660069790
0,0,0,0,4,36.4,200,1538660100819
10,2,41,0,4,36.3821,500,1538660101846
0,0,0,0,10,36.39,100,1538660113449
14,41,0,0,12,36.39,100,1538660113451
37,0,0,0,10,36.4,6,1538660118798
37,0,0,0,10,36.4,94,1538660118798
14,41,0,0,10,36.4,300,1538660226592
14,41,0,0,10,36.41,2100,1538660226617
14,41,0,0,12,36.41,300,1538660226617
14,41,0,0,12,36.41,300,1538660226617
37,0,0,0,18,36.42,41,1538660226618
14,37,41,0,18,36.42,59,1538660226678
51,0,0,0,0,36.42,,1538660226680
0,0,0,0,11,36.42,100,1538660226680
14,37,41,0,7,36.42,90,1538660226680
0,0,0,0,10,36.42,200,1538660226680
14,37,41,0,7,36.42,10,1538660226680
0,0,0,0,8,36.42,100,1538660226680
