c1,c2,c3,c4,e,p,s,t
0,0,0,0,12,79.94,200,1538653025629
0,0,0,0,12,80.1,100,1538653025629
14,41,0,0,12,79.65,100,1538653111630
14,41,0,0,12,79.65,100,1538653111630
14,37,41,0,12,79.65,65,1538653111630
14,37,41,0,8,80.1,56,1538653131688
14,37,41,0,8,80.78,96,1538653131688
14,41,0,0,8,80.8,100,1538653131691
37,0,0,0,11,80.6,50,1538653131693
37,0,0,0,11,80.7,90,1538653131693
0,0,0,0,11,80.74,160,1538653131693
14,37,41,0,11,80.74,27,1538653131693
37,0,0,0,12,80.7,90,1538653131694
0,0,0,0,12,80.75,161,1538653131694
0,0,0,0,12,80.95,125,1538653131694
14,41,0,0,12,80.95,280,1538653131694
14,37,41,0,18,80.76,97,1538653131694
14,41,0,0,11,80.95,156,1538653131694
14,41,0,0,11,80.94,300,1538653131700
14,41,0,0,11,80.95,144,1538653131700
14,41,0,0,11,80.95,156,1538653131700
14,41,0,0,11,80.95,192,1538653131700
14,41,0,0,11,80.95,300,1538653135648
14,37,41,0,11,80.95,52,1538653135648
37,0,0,0,8,81.75,48,1538653185636
37,0,0,0,8,81.75,50,1538653204170
0,0,0,0,11,80.99,400,1538653209318
14,41,0,0,11,82,700,1538653243874
37,0,0,0,8,81.75,2,1538653243877
37,0,0,0,11,83,98,1538653328242
37,0,0,0,8,81.25,50,1538653779811
0,0,0,0,11,82.05,100,1538653786757
0,0,0,0,11,82.94,100,1538654164936
37,0,0,0,11,82.06,50,1538654401048
0,0,0,0,4,80.95,100,1538654401161
0,0,0,0,4,81,120,1538654401162
0,0,0,0,4,81.25,100,1538654401184
14,41,0,0,8,82.25,665,1538654785643
37,0,0,0,11,82.94,50,1538655010950
37,0,0,0,11,83,17,1538655010950
37,0,0,0,11,83.55,20,1538655010950
0,0,0,0,11,83.88,113,1538655010950
0,0,0,0,11,84.19,200,1538655030021
0,0,0,0,11,84.2,100,1538655030021
0,0,0,0,11,84.29,100,1538655030021
0,0,0,0,11,84.34,100,1538655030021
0,0,0,0,11,84.34,100,1538655030021
0,0,0,0,11,84.45,165,1538655030021
37,0,0,0,11,84.3,35,1538655054418
37,0,0,0,4,82.35,50,1538655476940
14,41,0,0,8,83,125,1538655504119
37,0,0,0,8,83,27,1538655506633
14,37,41,0,12,83.13,7,1538655642081
37,0,0,0,4,83.5,30,1538655934851
37,0,0,0,11,83.5,50,1538655970317
0,0,0,0,11,83.5,150,1538655970317
14,37,41,0,12,83.5,2,1538656020016
14,41,0,0,11,83.6,100,1538656048898
37,0,0,0,8,83.8,30,1538656052527
37,0,0,0,8,83.8,70,1538656052569
37,0,0,0,11,84,57,1538656054678
0,0,0,0,8,83.88,100,1538656054679
37,0,0,0,12,83.8,50,1538656059032
14,41,0,0,11,83.97,100,1538656065075
14,41,0,0,11,84,230,1538656065081
37,0,0,0,11,84,52,1538656070585
14,37,41,0,12,83.8,7,1538656080014
0,0,0,0,11,84,100,1538656122131
0,0,0,0,11,84,100,1538656124114
37,0,0,0,11,84,36,1538656126622
37,0,0,0,11,83.6,2,1538656140012
14,41,0,0,8,84.34,100,1538656246084
14,41,0,0,8,84.37,100,1538656246084
14,41,0,0,8,84.4,100,1538656246084
14,41,0,0,8,84.4,200,1538656246086
37,0,0,0,8,84.4,68,1538656259426
37,0,0,0,11,83.65,5,1538656260012
37,0,0,0,11,84.3,15,1538656338613
14,37,41,0,12,84,50,1538656473984
14,41,0,0,11,84,200,1538656475143
14,41,0,0,11,84,100,1538656476209
14,41,0,0,12,84,100,1538656476209
37,0,0,0,11,84,96,1538656479030
14,37,41,0,12,84,50,1538656480839
37,0,0,0,8,83.5,5,1538656500012
37,0,0,0,4,84.3,85,1538656693032
37,0,0,0,4,84,76,1538656693032
0,0,0,0,4,84.44,839,1538656697721
37,0,0,0,8,84,10,1538656740012
0,0,0,0,11,83.7,100,1538656800741
37,0,0,0,8,83.5,10,1538656804663
37,0,0,0,8,83.5,10,1538656809062
37,0,0,0,8,83.5,10,1538656815798
37,0,0,0,8,83.5,15,1538656820876
37,0,0,0,11,83.94,1,1538656860011
14,37,41,0,12,83.6,1,1538656861069
14,37,41,0,12,83.6,5,1538656875989
37,0,0,0,8,83.02,5,1538657115017
37,0,0,0,8,83,10,1538657115017
37,0,0,0,8,83.01,1,1538657146391
37,0,0,0,8,83,62,1538657146391
37,0,0,0,8,83,12,1538657146478
37,0,0,0,8,83,12,1538657146502
14,37,41,0,12,83.45,12,1538657146505
37,0,0,0,8,83,4,1538657146558
37,0,0,0,8,82.3,8,1538657146558
37,0,0,0,12,83.45,30,1538657146559
37,0,0,0,12,83.45,30,1538657146559
37,0,0,0,8,83,12,1538657146598
14,37,41,0,8,83,12,1538657146626
14,37,41,0,19,82.74,12,1538657146626
37,0,0,0,8,83,6,1538657146679
37,0,0,0,8,83,6,1538657146679
37,0,0,0,8,83,12,1538657146688
