c1,c2,c3,c4,e,p,s,t
37,0,0,0,11,41.76,5,1539861609877
37,0,0,0,4,41.89,45,1539864000498
14,41,0,0,11,41.95,310,1539864050542
0,0,0,0,8,42,100,1539866307590
37,0,0,0,11,41.76,20,1539867321394
0,0,0,0,11,41.49,380,1539867321398
37,0,0,0,4,41.95,2,1539867718874
0,0,0,0,4,41.978,200,1539867792857
37,0,0,0,11,41.95,88,1539867866170
0,0,0,0,11,42,100,1539867866170
0,0,0,0,11,42,100,1539867866170
0,0,0,0,11,42,112,1539867866170
0,0,0,0,4,41.84,100,1539867892758
0,0,0,0,7,41.84,100,1539867931195
0,0,0,0,11,41.8,670,1539867958531
0,0,0,0,4,41.7999,400,1539867959107
37,0,0,0,4,41.5501,26,1539867960351
37,0,0,0,4,41.7999,70,1539868318173
37,0,0,0,4,41.55,63,1539868336960
37,0,0,0,4,41.5501,4,1539868446871
37,0,0,0,4,41.8,3,1539868711555
37,0,0,0,11,41.55,1,1539868897695
0,0,0,0,4,41.55,250,1539868934011
37,0,0,0,4,41.5501,1,1539868997351
37,0,0,0,4,41.5501,1,1539869017554
37,0,0,0,4,41.5501,11,1539869083353
0,0,0,0,4,41.55,1912,1539869088854
0,0,0,0,11,41.55,100,1539869089051
0,0,0,0,11,41.55,139,1539869108972
37,0,0,0,11,41.55,60,1539869115388
37,0,0,0,8,41.55,50,1539869119020
14,37,41,0,8,41.5,5,1539869281147
14,41,0,0,11,41.5,100,1539869335157
51,0,0,0,0,41.25,,1539869400674
25,41,0,0,12,41.25,33454,1539869400674
25,16,0,0,12,41.25,33454,1539869400674
37,0,0,0,12,41.09,84,1539869401705
51,0,0,0,0,41.09,,1539869401706
14,41,0,0,12,41.09,166,1539869401706
14,41,0,0,12,41.09,726,1539869401706
37,0,0,0,18,41.12,50,1539869401706
14,37,41,0,11,41.16,8,1539869401706
25,16,0,0,11,41.16,8,1539869401706
37,0,0,0,3,41.12,50,1539869401706
14,37,41,0,11,41.12,50,1539869401706
14,37,41,0,11,41.09,9,1539869401706
37,0,0,0,10,41.12,50,1539869401706
37,0,0,0,12,41.05,38,1539869401716
14,37,41,0,12,41.05,87,1539869401719
14,37,41,0,12,41,50,1539869401730
14,37,41,0,12,40.92,10,1539869401730
14,37,41,0,12,40.9,90,1539869401730
14,37,41,0,11,40.91,50,1539869401731
14,37,41,0,12,40.9,30,1539869401757
14,37,41,0,12,40.84,50,1539869401757
14,37,41,0,12,40.8,20,1539869401757
14,37,41,0,12,40.8,80,1539869401762
14,37,41,0,12,40.78,38,1539869401762
51,0,0,0,0,40.86,,1539869401773
14,41,0,0,12,40.86,100,1539869401773
51,0,0,0,0,40.585,,1539869401837
0,0,0,0,4,40.585,100,1539869401837
0,0,0,0,12,40.86,100,1539869402056
14,41,0,0,12,40.75,100,1539869402529
14,37,41,0,12,40.75,2,1539869402531
37,0,0,0,18,40.82,1,1539869404075
0,0,0,0,4,40.83,1000,1539869405075
37,0,0,0,15,40.57,2,1539869405085
51,0,0,0,0,40.58,,1539869405096
14,41,0,0,11,40.58,100,1539869405096
14,37,41,0,11,40.57,98,1539869405096
51,0,0,0,0,40.57,,1539869405104
14,41,0,0,11,40.57,100,1539869405104
37,0,0,0,8,40.55,1,1539869405120
37,0,0,0,8,40.55,99,1539869405120
37,0,0,0,4,40.6328,60,1539869405373
0,0,0,0,4,40.702,1000,1539869406073
51,0,0,0,0,40.39,,1539869406082
0,0,0,0,15,40.39,200,1539869406082
0,0,0,0,15,40.39,100,1539869406082
0,0,0,0,19,40.52,100,1539869406090
37,0,0,0,12,40.54,35,1539869406138
37,0,0,0,11,40.55,2,1539869406138
14,37,41,0,8,40.55,51,1539869406138
51,0,0,0,0,40.36,,1539869406146
0,0,0,0,15,40.36,100,1539869406146
37,0,0,0,4,40.57,5,1539869406235
37,0,0,0,4,40.3405,5,1539869408543
37,0,0,0,8,40.35,36,1539869410330
37,0,0,0,4,40.44,45,1539869410689
14,37,41,0,12,40.49,12,1539869411634
37,0,0,0,7,40.5,85,1539869414667
37,0,0,0,7,40.52,25,1539869414667
0,0,0,0,12,40.38,100,1539869440882
37,0,0,0,12,40.38,24,1539869440882
37,0,0,0,15,40.37,75,1539869440891
37,0,0,0,4,40.416,2,1539869449957
0,0,0,0,4,40.465,100,1539869451217
14,37,41,0,12,40.45,50,1539869451491
14,41,0,0,12,40.45,6247,1539869451491
14,41,0,0,12,40.45,100,1539869451491
14,41,0,0,12,40.45,100,1539869451491
14,41,0,0,12,40.45,100,1539869451491
14,41,0,0,12,40.45,200,1539869451491
14,41,0,0,12,40.45,100,1539869451491
0,0,0,0,19,40.46,100,1539869451498
14,41,0,0,12,40.45,100,1539869451499
14,41,0,0,12,40.45,100,1539869451500
14,41,0,0,12,40.45,100,1539869451501
14,41,0,0,12,40.45,100,1539869451502
0,0,0,0,12,40.45,100,1539869451510
14,41,0,0,12,40.45,1700,1539869451524
14,41,0,0,12,40.45,300,1539869451526
14,41,0,0,12,40.45,100,1539869451527
0,0,0,0,12,40.45,100,1539869451528
0,0,0,0,12,40.45,100,1539869451531
0,0,0,0,12,40.45,100,1539869451533
0,0,0,0,12,40.45,1674,1539869451534
0,0,0,0,12,40.45,100,1539869451534
0,0,0,0,12,40.45,200,1539869451534
14,41,0,0,12,40.45,141,1539869451534
37,0,0,0,7,40.46,41,1539869451534
37,0,0,0,7,40.46,34,1539869451534
37,0,0,0,7,40.46,25,1539869451534
0,0,0,0,12,40.46,100,1539869451534
37,0,0,0,12,40.46,16,1539869451534
37,0,0,0,7,40.46,10,1539869451534
14,37,41,0,12,40.46,84,1539869451534
14,41,0,0,12,40.46,100,1539869451534
14,41,0,0,12,40.46,124,1539869451534
14,37,41,0,12,40.46,16,1539869451534
14,41,0,0,12,40.45,11200,1539869451535
0,0,0,0,12,40.45,200,1539869451535
0,0,0,0,12,40.45,200,1539869451535
0,0,0,0,12,40.45,1265,1539869451535
0,0,0,0,12,40.46,100,1539869451535
37,0,0,0,18,40.45,10,1539869451535
37,0,0,0,12,40.45,84,1539869451536
37,0,0,0,12,40.46,16,1539869451536
0,0,0,0,15,40.41,1000,1539869451540
0,0,0,0,15,40.41,1000,1539869451541
37,0,0,0,12,40.42,10,1539869451548
