c1,c2,c3,c4,e,p,s,t
0,0,0,0,4,78,100,1539950410714
0,0,0,0,4,77.9999,100,1539951633788
14,41,0,0,11,77,100,1539952000005
37,0,0,0,12,76.5,10,1539952875128
14,41,0,0,11,76.5,100,1539953270638
37,0,0,0,12,76.5,30,1539953686577
0,0,0,0,12,76.5,100,1539953769763
14,41,0,0,11,76.26,500,1539953774563
0,0,0,0,11,76.26,500,1539953774563
14,37,41,0,11,76,50,1539954131139
14,41,0,0,11,76,100,1539954131139
14,37,41,0,11,76,12,1539954131139
14,41,0,0,8,76.2,550,1539954134987
14,37,41,0,12,76.25,1,1539954947680
37,0,0,0,11,76.02,20,1539955173345
14,37,41,0,11,76.02,40,1539955262061
14,37,41,0,11,76,60,1539955262061
14,37,41,0,11,76,40,1539955263161
14,37,41,0,11,76,60,1539955263161
14,37,41,0,11,76,10,1539955263300
14,37,41,0,11,76,90,1539955270549
14,37,41,0,11,76,10,1539955270549
14,37,41,0,11,76,30,1539955270550
14,41,0,0,11,75.8,150,1539955275585
14,41,0,0,11,75.76,500,1539955288598
0,0,0,0,11,75.76,500,1539955288598
14,41,0,0,11,75.75,100,1539955289651
14,41,0,0,11,75.75,1000,1539955289662
14,41,0,0,11,75.75,220,1539955289774
14,41,0,0,11,75.75,500,1539955289872
14,37,41,0,11,75.75,22,1539955289904
14,37,41,0,11,75.75,50,1539955289988
14,41,0,0,11,75.75,100,1539955290203
0,0,0,0,11,75.75,100,1539955290245
14,41,0,0,11,75.75,100,1539955290361
14,41,0,0,11,75.75,100,1539955290435
14,41,0,0,11,75.75,100,1539955290522
14,41,0,0,11,75.75,100,1539955290611
14,41,0,0,11,75.75,500,1539955290679
37,0,0,0,11,75.75,8,1539955297900
14,41,0,0,12,75.51,100,1539955306427
0,0,0,0,11,75.5,100,1539955308243
14,37,41,0,11,75.4,15,1539955344395
14,41,0,0,11,75.13,265,1539955344395
14,41,0,0,11,75.13,100,1539955344396
14,41,0,0,11,75.15,100,1539955517658
14,41,0,0,11,75.12,180,1539955517658
14,41,0,0,11,75.12,100,1539955517659
37,0,0,0,11,75.48,60,1539955624225
37,0,0,0,11,75.71,1,1539955679958
14,41,0,0,11,75.71,100,1539955775086
14,37,41,0,11,75.66,60,1539955775086
14,37,41,0,11,75.01,40,1539955775086
14,41,0,0,11,75.01,160,1539955775086
14,37,41,0,11,75,40,1539955775086
14,37,41,0,8,75,10,1539955785846
14,37,41,0,11,75,85,1539955785846
14,37,41,0,11,75,20,1539955785846
14,41,0,0,12,74.85,100,1539955785852
0,0,0,0,12,74.51,100,1539955785908
0,0,0,0,7,74.5,100,1539955785910
0,0,0,0,7,74.5,200,1539955785910
0,0,0,0,7,74.5,100,1539955785910
0,0,0,0,7,74.5,100,1539955785911
0,0,0,0,8,74.5,100,1539955785912
37,0,0,0,8,74.5,60,1539955785912
0,0,0,0,8,74.5,100,1539955785920
0,0,0,0,8,74.5,100,1539955785923
0,0,0,0,8,74.5,100,1539955785926
37,0,0,0,8,74.5,40,1539955785928
0,0,0,0,11,74.05,1000,1539955790079
37,0,0,0,12,73.61,2,1539955790082
37,0,0,0,12,73.49,98,1539955790082
0,0,0,0,19,73.4,100,1539955790083
0,0,0,0,12,73.5,100,1539955790084
37,0,0,0,12,73.43,6,1539955790084
0,0,0,0,12,73.21,394,1539955790084
37,0,0,0,19,73.2,50,1539955798044
14,41,0,0,12,73.21,100,1539955799155
14,41,0,0,12,73.2,100,1539955799155
0,0,0,0,12,73.6,100,1539955800005
37,0,0,0,19,73.2,50,1539955800069
0,0,0,0,12,73.2,100,1539955800069
0,0,0,0,12,73.2,100,1539955800069
0,0,0,0,12,73.2,800,1539955800069
51,0,0,0,0,73.05,,1539955800070
0,0,0,0,11,73.05,100,1539955800070
25,16,0,0,11,73.05,100,1539955800070
51,0,0,0,0,74,,1539955800594
25,41,0,0,12,74,421,1539955800594
25,16,0,0,12,74,421,1539955800594
14,37,41,0,8,74.37,4,1539955806005
14,37,41,0,8,74.37,1,1539955806005
14,37,41,0,8,74.37,95,1539955806247
51,0,0,0,0,74.37,,1539955806248
14,41,0,0,12,74.37,100,1539955806248
14,41,0,0,12,73.66,100,1539955806248
0,0,0,0,19,73.52,100,1539955811013
14,41,0,0,11,73.49,100,1539955811013
14,41,0,0,8,73.52,100,1539955811013
0,0,0,0,19,73.49,100,1539955811013
14,41,0,0,8,73.37,100,1539955811013
14,41,0,0,18,73.49,100,1539955811013
14,41,0,0,7,73.49,100,1539955811013
0,0,0,0,8,73.37,100,1539955811013
14,41,0,0,12,73.5,100,1539955811013
14,41,0,0,2,73.5,100,1539955811013
14,41,0,0,19,73.28,100,1539955811014
37,0,0,0,12,73.22,20,1539955811014
0,0,0,0,15,73.5,200,1539955816012
0,0,0,0,15,73.5,400,1539955816012
0,0,0,0,11,74.27,100,1539955816988
0,0,0,0,15,73.5,200,1539955821012
0,0,0,0,15,73.5,400,1539955821012
0,0,0,0,19,73.51,205,1539955826015
0,0,0,0,11,74.25,100,1539955830000
0,0,0,0,11,74.26,100,1539955830000
0,0,0,0,19,74.14,100,1539955830000
37,0,0,0,12,74.07,10,1539955830000
37,0,0,0,12,74.09,90,1539955830001
37,0,0,0,19,74.03,68,1539955856733
37,0,0,0,19,73.99,68,1539955859518
37,0,0,0,19,73.84,68,1539955862368
37,0,0,0,8,73.5,50,1539955868339
0,0,0,0,11,73.7,180,1539955868610
0,0,0,0,19,73.71,200,1539955868941
0,0,0,0,11,73.92,100,1539955868941
37,0,0,0,19,73.71,32,1539955868941
0,0,0,0,11,73.92,100,1539955868941
0,0,0,0,11,73.92,100,1539955868941
0,0,0,0,19,73.92,100,1539955868941
0,0,0,0,11,73.92,100,1539955868941
0,0,0,0,12,73.84,100,1539955868942
37,0,0,0,12,73.91,4,1539955868942
37,0,0,0,19,73.92,5,1539955868942
37,0,0,0,12,73.91,96,1539955868942
37,0,0,0,12,73.92,4,1539955868942
14,41,0,0,19,73.92,100,1539955868942
0,0,0,0,19,73.92,100,1539955868942
14,41,0,0,11,73.92,200,1539955868942
14,37,41,0,12,73.92,96,1539955868942
14,37,41,0,12,73.92,4,1539955868942
37,0,0,0,12,73.92,96,1539955868942
14,41,0,0,19,73.92,100,1539955868942
37,0,0,0,12,73.92,4,1539955868942
37,0,0,0,12,73.83,10,1539955868942
0,0,0,0,12,73.92,100,1539955868943
37,0,0,0,19,73.92,95,1539955868943
0,0,0,0,12,73.92,100,1539955868943
0,0,0,0,12,73.92,100,1539955868943
14,41,0,0,12,73.87,100,1539955881571
14,41,0,0,12,73.95,100,1539955881571
14,41,0,0,12,74.01,100,1539955881571
0,0,0,0,8,73.98,100,1539955881572
0,0,0,0,19,74.1,200,1539955884046
0,0,0,0,11,74.02,100,1539955894930
14,41,0,0,12,74.08,100,1539955896466
14,41,0,0,11,74.09,100,1539955896468
14,41,0,0,12,74.09,100,1539955896468
14,41,0,0,2,74.09,100,1539955896468
14,41,0,0,19,74.09,100,1539955896468
14,41,0,0,18,74.09,100,1539955896468
0,0,0,0,12,74,100,1539955904359
0,0,0,0,11,74.09,200,1539955907943
14,41,0,0,11,74.09,158,1539955907943
0,0,0,0,19,74.09,100,1539955907943
14,37,41,0,11,74.09,42,1539955907943
0,0,0,0,19,74.1,100,1539955907943
14,37,41,0,11,74.1,58,1539955907943
0,0,0,0,12,74.1,100,1539955907943
14,41,0,0,19,74.1,100,1539955907943
0,0,0,0,11,73.95,100,1539955909319
0,0,0,0,11,73.95,100,1539955909319
37,0,0,0,8,73.58,50,1539955915010
37,0,0,0,12,73.59,50,1539955915010
0,0,0,0,11,73.73,400,1539955918547
0,0,0,0,11,73.8,400,1539955918549
0,0,0,0,19,74.08,100,1539955918551
0,0,0,0,19,74.1,100,1539955918551
0,0,0,0,19,74.1,100,1539955918551
0,0,0,0,12,74.03,100,1539955918551
0,0,0,0,12,74.08,100,1539955918551
0,0,0,0,12,74.1,100,1539955918551
0,0,0,0,12,74.1,100,1539955918551
37,0,0,0,11,74.1,42,1539955918553
0,0,0,0,11,74.1,400,1539955920762
0,0,0,0,19,74.1,200,1539955922840
0,0,0,0,11,74.1,200,1539955922935
0,0,0,0,11,74.17,300,1539955923032
37,0,0,0,12,74.17,10,1539955923033
0,0,0,0,12,74.18,100,1539955923033
0,0,0,0,12,74.18,100,1539955923033
0,0,0,0,12,74.18,174,1539955923033
0,0,0,0,19,74.1,200,1539955923500
0,0,0,0,12,74.1,100,1539955923500
0,0,0,0,19,74.05,100,1539955923501
0,0,0,0,19,74.11,200,1539955924643
0,0,0,0,12,74.11,100,1539955924643
37,0,0,0,12,74.1,20,1539955924644
0,0,0,0,11,74.1,158,1539955924888
14,41,0,0,11,73.99,100,1539955924888
14,37,41,0,11,73.96,42,1539955924888
