c1,c2,c3,c4,e,p,s,t
51,0,0,0,0,210.76,1,1538611442862
37,0,0,0,8,212,5,1538650800975
14,37,41,0,11,209,50,1538652567278
14,37,41,0,12,210,50,1538652567278
14,41,0,0,12,209.97,100,1538652667170
14,37,41,0,11,213.78,50,1538652674984
14,37,41,0,11,214.59,50,1538652674984
14,37,41,0,8,212.73,15,1538652674988
14,37,41,0,8,214.19,50,1538652674988
14,41,0,0,8,214.78,200,1538652674988
0,0,0,0,8,215,1000,1538652674990
14,37,41,0,11,215,10,1538652675998
14,37,41,0,12,216,10,1538652675998
0,0,0,0,8,216.25,100,1538652677837
0,0,0,0,8,216.25,100,1538652678900
14,41,0,0,8,216.25,100,1538652679095
14,41,0,0,8,216.26,100,1538652679096
0,0,0,0,8,216.26,100,1538652679441
0,0,0,0,8,216.26,100,1538652679840
14,37,41,0,8,217,10,1538652686724
14,41,0,0,8,217.83,190,1538652686724
14,37,41,0,11,217,20,1538652686724
14,37,41,0,11,217.99,50,1538652686724
14,41,0,0,11,218,500,1538652686724
14,37,41,0,8,217.83,10,1538652686728
14,41,0,0,8,218,200,1538652686728
14,37,41,0,11,219,50,1538652686730
14,37,41,0,11,219,75,1538652686730
14,37,41,0,11,219,41,1538652686730
14,37,41,0,8,218.95,94,1538652686734
14,41,0,0,8,220,285,1538652686734
14,41,0,0,11,220,100,1538652686735
0,0,0,0,11,217,100,1538652710882
14,37,41,0,12,216.46,50,1538652711637
14,41,0,0,12,216.46,100,1538652713132
0,0,0,0,11,217,100,1538652713342
14,37,41,0,8,219.9,30,1538652738945
14,41,0,0,8,219.9,170,1538652738945
37,0,0,0,12,217,5,1538652738945
37,0,0,0,8,219.9,5,1538652738946
37,0,0,0,8,219.9,30,1538652738946
37,0,0,0,8,219.95,15,1538652738946
14,37,41,0,11,217.99,50,1538652742057
14,37,41,0,8,219.89,85,1538652767842
14,37,41,0,8,220,15,1538652767842
14,37,41,0,8,220,50,1538652769361
14,41,0,0,12,219.5,100,1538652772741
37,0,0,0,8,220,50,1538652773413
0,0,0,0,8,220,100,1538652773413
37,0,0,0,8,220,50,1538652773413
37,0,0,0,8,220.59,30,1538652774029
37,0,0,0,8,220.59,70,1538652774163
14,37,41,0,8,220.59,20,1538652775063
37,0,0,0,11,220,16,1538652776668
37,0,0,0,11,220,2,1538652776668
37,0,0,0,11,221,50,1538652779524
14,41,0,0,11,220.02,100,1538652779596
37,0,0,0,11,221,25,1538652798159
37,0,0,0,11,221,50,1538652798159
0,0,0,0,11,221.8,100,1538652798159
37,0,0,0,11,221.8,53,1538652798159
14,37,41,0,11,221.9,30,1538652801378
14,37,41,0,11,222.1,2,1538652801378
14,37,41,0,11,222.25,8,1538652801378
14,37,41,0,11,222.77,40,1538652801378
37,0,0,0,9,220.01,50,1538652823473
14,37,41,0,12,221.8,18,1538652841069
14,37,41,0,12,221.8,82,1538652841069
37,0,0,0,11,221.95,50,1538652847849
37,0,0,0,11,221.9,70,1538652851951
37,0,0,0,11,221.94,90,1538652851951
37,0,0,0,11,221.94,60,1538652851951
0,0,0,0,11,222,100,1538652853188
0,0,0,0,11,222,200,1538652853188
37,0,0,0,11,222,18,1538652853188
37,0,0,0,11,222.05,50,1538652864981
37,0,0,0,11,221,50,1538652872072
37,0,0,0,11,220.2,10,1538652874166
14,41,0,0,11,221,100,1538652913261
37,0,0,0,12,221.5,50,1538652936640
37,0,0,0,12,222,5,1538652936640
37,0,0,0,19,222,50,1538652939062
37,0,0,0,8,222,50,1538652939918
14,37,41,0,11,222.16,25,1538652947111
14,41,0,0,19,222.02,100,1538652947111
37,0,0,0,8,222.88,14,1538652948050
14,37,41,0,11,222.77,36,1538652948050
14,37,41,0,12,222,50,1538652948712
37,0,0,0,11,222.02,10,1538652954713
37,0,0,0,11,222,15,1538652954713
0,0,0,0,11,222.71,100,1538652979575
0,0,0,0,11,222.75,100,1538652986038
37,0,0,0,11,222.77,4,1538652986038
14,37,41,0,12,222.9,50,1538652986039
14,37,41,0,12,223,46,1538652986039
14,37,41,0,11,222.22,33,1538653005221
14,37,41,0,12,222.05,25,1538653021366
14,41,0,0,18,222.5,100,1538653021527
14,41,0,0,7,222.5,150,1538653025427
14,37,41,0,11,222.5,1,1538653048026
14,37,41,0,11,222,85,1538653048026
14,37,41,0,11,222,14,1538653048026
14,37,41,0,12,222.1,30,1538653048026
14,37,41,0,12,222.01,30,1538653048026
14,37,41,0,12,222,40,1538653048026
37,0,0,0,11,222.56,5,1538653059352
37,0,0,0,11,222.56,5,1538653059352
37,0,0,0,11,222.5,40,1538653059352
37,0,0,0,11,222.5,10,1538653059884
37,0,0,0,11,222,1,1538653059884
37,0,0,0,11,222,89,1538653059884
0,0,0,0,11,222.01,100,1538653062130
14,37,41,0,11,222.1,50,1538653069966
14,37,41,0,11,222.1,5,1538653070113
14,37,41,0,11,222.1,95,1538653070115
14,37,41,0,11,222.1,95,1538653070148
14,41,0,0,11,222.1,255,1538653070149
14,41,0,0,11,222.1,350,1538653070298
14,41,0,0,11,222.1,150,1538653070401
14,37,41,0,12,222,10,1538653070401
14,37,41,0,12,222,80,1538653070401
14,37,41,0,12,222,10,1538653070402
14,37,41,0,12,222,10,1538653070825
14,37,41,0,12,222,40,1538653070825
14,37,41,0,12,222,50,1538653071123
37,0,0,0,11,222,10,1538653072070
37,0,0,0,11,222,90,1538653072070
14,37,41,0,12,222,10,1538653073414
14,37,41,0,19,222.5,50,1538653077227
0,0,0,0,11,222.02,100,1538653081794
0,0,0,0,12,222.03,100,1538653081794
0,0,0,0,12,222.03,100,1538653082783
14,41,0,0,11,222.1,100,1538653092512
0,0,0,0,11,222.1,100,1538653093073
14,41,0,0,12,222.03,100,1538653093555
0,0,0,0,11,222,100,1538653093588
14,41,0,0,12,222,100,1538653094617
14,41,0,0,12,222,100,1538653094617
14,41,0,0,12,222,800,1538653094617
14,41,0,0,12,222,100,1538653094927
14,41,0,0,12,222,100,1538653095073
14,41,0,0,12,222,100,1538653095073
37,0,0,0,12,222.01,50,1538653096854
37,0,0,0,12,222,50,1538653096854
37,0,0,0,12,222,50,1538653097512
37,0,0,0,12,222,93,1538653097512
14,37,41,0,12,222,8,1538653097564
14,41,0,0,11,220.11,125,1538653117559
37,0,0,0,11,221.18,10,1538653121413
37,0,0,0,11,221.18,90,1538653123817
37,0,0,0,11,221.4,10,1538653123817
14,37,41,0,11,221.4,40,1538653124174
14,37,41,0,11,221.41,10,1538653124174
37,0,0,0,11,221.28,10,1538653131757
14,37,41,0,11,220.75,50,1538653133872
37,0,0,0,11,220.21,50,1538653134187
0,0,0,0,11,220.15,100,1538653134187
37,0,0,0,11,220.13,10,1538653134187
37,0,0,0,11,220.12,50,1538653134187
0,0,0,0,11,220.11,790,1538653134187
14,37,41,0,11,220.65,2,1538653144543
37,0,0,0,11,220.5,48,1538653148124
14,37,41,0,11,220.11,50,1538653153693
14,37,41,0,11,220.11,35,1538653161901
14,41,0,0,11,220.05,965,1538653161901
37,0,0,0,11,220.05,35,1538653162165
14,41,0,0,11,219.9,200,1538653163734
14,41,0,0,11,219.98,100,1538653163734
14,41,0,0,11,219.99,100,1538653163734
14,41,0,0,8,220,100,1538653163734
14,41,0,0,11,220,465,1538653163734
14,41,0,0,8,220,100,1538653163734
14,41,0,0,8,220,200,1538653167550
0,0,0,0,8,220.01,100,1538653168982
37,0,0,0,11,220.84,10,1538653173347
14,37,41,0,8,220.01,50,1538653177570
14,37,41,0,11,220.5,50,1538653177571
14,37,41,0,11,220.84,40,1538653177571
14,41,0,0,11,220.98,100,1538653177571
14,41,0,0,11,221,100,1538653177572
14,41,0,0,18,221,100,1538653177572
14,41,0,0,12,220.84,100,1538653177573
14,37,41,0,12,220.84,50,1538653177573
14,41,0,0,12,221,300,1538653177573
14,41,0,0,11,221.48,100,1538653177573
14,37,41,0,11,221.48,25,1538653177573
14,37,41,0,12,222,49,1538653177574
37,0,0,0,19,222,40,1538653177627
37,0,0,0,19,222,6,1538653181542
37,0,0,0,11,221.25,20,1538653192442
37,0,0,0,11,221,20,1538653192446
37,0,0,0,11,221,10,1538653192449
14,41,0,0,12,220,100,1538653201816
14,41,0,0,12,220,635,1538653201816
14,37,41,0,12,220,50,1538653202785
0,0,0,0,11,220,100,1538653203317
37,0,0,0,11,218.52,50,1538653203318
0,0,0,0,11,218.11,100,1538653203318
37,0,0,0,11,217.66,50,1538653203318
14,41,0,0,12,219.4,100,1538653203327
14,37,41,0,12,220,50,1538653203327
14,37,41,0,12,220,50,1538653203327
14,37,41,0,12,219.98,50,1538653209651
14,37,41,0,12,220,50,1538653215693
14,37,41,0,12,220,65,1538653215693
0,0,0,0,19,221.74,200,1538653215693
37,0,0,0,19,221.95,50,1538653215693
14,37,41,0,11,221.8,35,1538653215693
14,41,0,0,11,221.3,100,1538653224252
14,37,41,0,11,221.7,50,1538653224252
14,37,41,0,11,221.7,30,1538653233028
14,37,41,0,11,221.88,70,1538653233028
37,0,0,0,11,221.43,20,1538653264627
37,0,0,0,11,221.43,50,1538653269741
37,0,0,0,11,221.43,30,1538653273388
37,0,0,0,11,221.35,20,1538653320060
37,0,0,0,8,220.15,70,1538653338560
37,0,0,0,8,219.88,10,1538653338589
37,0,0,0,8,219.88,20,1538653342106
14,41,0,0,12,220,100,1538653373231
14,37,41,0,12,220,35,1538653373231
14,41,0,0,12,220,100,1538653373231
37,0,0,0,11,218.61,50,1538653389287
37,0,0,0,11,218.51,50,1538653389287
37,0,0,0,12,219.88,50,1538653389577
37,0,0,0,12,219.98,20,1538653389577
0,0,0,0,12,220,100,1538653389577
0,0,0,0,12,220,330,1538653389577
0,0,0,0,11,218.61,100,1538653397897
37,0,0,0,11,218.66,50,1538653402531
37,0,0,0,11,218.65,30,1538653402531
37,0,0,0,11,218.61,20,1538653402531
37,0,0,0,11,219.75,15,1538653432511
37,0,0,0,12,219.7,15,1538653457823
14,37,41,0,12,218.94,20,1538653542301
37,0,0,0,11,218.61,30,1538653542772
37,0,0,0,11,218.43,10,1538653542772
14,37,41,0,11,218.4,20,1538653542772
14,37,41,0,11,218.4,20,1538653542773
14,37,41,0,12,218.94,20,1538653542773
