c1,c2,c3,c4,e,p,s,t
51,0,0,0,0,29.64,5,1539907446233
0,0,0,0,11,30.35,200,1539949109232
0,0,0,0,11,30.35,300,1539949109232
37,0,0,0,8,30.4,50,1539949414334
14,41,0,0,8,30.4,150,1539949429914
37,0,0,0,4,30.04,50,1539950410609
37,0,0,0,4,30.1,50,1539950410724
0,0,0,0,4,30.4,500,1539950616106
0,0,0,0,4,30.3,103,1539950689931
0,0,0,0,11,30.4,100,1539950739621
0,0,0,0,11,30.4,400,1539950815094
0,0,0,0,4,30.6,100,1539951687804
14,41,0,0,11,30.6,500,1539951856119
0,0,0,0,4,30.6,1000,1539951895169
0,0,0,0,4,30.6,100,1539951909849
0,0,0,0,4,30.6,400,1539951909849
14,37,41,0,12,30.65,10,1539951918076
37,0,0,0,8,30.69,50,1539951918172
14,41,0,0,8,30.69,150,1539951919674
14,41,0,0,8,31,200,1539953502989
14,37,41,0,11,30.71,70,1539953502989
14,41,0,0,8,31,200,1539953507786
14,41,0,0,8,31,100,1539953508742
14,41,0,0,8,31,100,1539953541320
0,0,0,0,8,31,141,1539953824430
37,0,0,0,8,31,27,1539953911785
37,0,0,0,8,31,10,1539953940600
37,0,0,0,4,31.0069,5,1539954098697
37,0,0,0,4,31.0799,3,1539954162419
37,0,0,0,8,31,1,1539954392850
14,41,0,0,8,31,151,1539954504965
14,37,41,0,8,31,1,1539954504965
37,0,0,0,8,30.71,13,1539954546950
37,0,0,0,4,31.1,18,1539954623458
37,0,0,0,4,31.1,4,1539954666469
37,0,0,0,8,30.9,1,1539954819873
37,0,0,0,8,30.71,4,1539954819877
0,0,0,0,8,30.71,100,1539954883551
37,0,0,0,4,30.72,1,1539955085456
14,41,0,0,8,30.72,100,1539955314219
14,41,0,0,8,30.72,1600,1539955314219
14,37,41,0,8,30.72,22,1539955314219
37,0,0,0,4,30.7333,3,1539955370393
37,0,0,0,12,30.8,2,1539955460379
37,0,0,0,8,30.72,3,1539955483460
0,0,0,0,8,30.72,100,1539955680084
0,0,0,0,8,30.72,1300,1539955680084
0,0,0,0,8,30.72,1800,1539955680084
14,41,0,0,8,30.72,100,1539955680199
14,41,0,0,8,30.72,300,1539955680199
14,41,0,0,19,30.72,200,1539955680199
14,41,0,0,12,30.72,400,1539955680200
14,41,0,0,19,30.72,400,1539955680200
14,41,0,0,8,30.72,100,1539955680201
14,41,0,0,12,30.72,500,1539955680201
0,0,0,0,19,30.72,200,1539955685040
0,0,0,0,8,30.72,100,1539955685040
0,0,0,0,8,30.72,100,1539955685040
0,0,0,0,12,30.72,100,1539955685040
14,41,0,0,8,30.72,100,1539955685106
14,41,0,0,8,30.72,300,1539955685106
14,41,0,0,19,30.72,200,1539955685107
14,37,41,0,12,30.7,20,1539955685107
0,0,0,0,8,30.72,100,1539955685107
0,0,0,0,8,30.72,100,1539955685107
0,0,0,0,8,30.72,100,1539955685107
14,41,0,0,19,30.72,1108,1539955685107
14,41,0,0,8,30.72,100,1539955685107
0,0,0,0,8,30.72,100,1539955685108
0,0,0,0,8,30.72,100,1539955685108
0,0,0,0,8,30.72,100,1539955685108
0,0,0,0,8,30.72,100,1539955685108
0,0,0,0,8,30.72,100,1539955685108
0,0,0,0,8,30.72,100,1539955685108
0,0,0,0,8,30.72,100,1539955685108
0,0,0,0,8,30.72,100,1539955690043
0,0,0,0,12,30.72,300,1539955690043
14,41,0,0,8,30.72,100,1539955690098
14,41,0,0,8,30.72,100,1539955690098
14,41,0,0,19,30.72,100,1539955690098
14,41,0,0,12,30.72,100,1539955690098
14,41,0,0,8,30.72,100,1539955690098
14,41,0,0,19,30.72,252,1539955690098
0,0,0,0,12,30.72,200,1539955695039
0,0,0,0,12,30.72,200,1539955705041
0,0,0,0,12,30.72,100,1539955710045
14,41,0,0,8,30.72,100,1539955712628
14,41,0,0,8,30.72,100,1539955712703
14,41,0,0,8,30.72,100,1539955712903
14,41,0,0,8,30.72,100,1539955715120
37,0,0,0,4,30.7441,10,1539955725651
14,41,0,0,11,30.64,100,1539955732558
14,41,0,0,11,30.64,100,1539955732558
14,41,0,0,11,30.64,100,1539955732558
0,0,0,0,19,30.72,100,1539955732558
14,41,0,0,8,30.72,100,1539955732558
14,41,0,0,8,30.72,100,1539955732558
