c1,c2,c3,c4,e,p,s,t
37,0,0,0,12,69.51,15,1539869280173
0,0,0,0,8,70.01,100,1539869280174
0,0,0,0,8,70,156,1539869280174
37,0,0,0,8,70,10,1539869280174
0,0,0,0,11,70.06,100,1539869280174
0,0,0,0,12,69,120,1539869285006
37,0,0,0,11,69.01,15,1539869285006
37,0,0,0,12,68.03,30,1539869290007
0,0,0,0,12,68,100,1539869290007
0,0,0,0,12,68,170,1539869290007
0,0,0,0,11,68,300,1539869290007
14,41,0,0,12,68,100,1539869290007
14,41,0,0,11,68,200,1539869290008
51,0,0,0,0,68.01,,1539869400270
25,41,0,0,12,68.01,9707,1539869400270
25,16,0,0,12,68.01,9707,1539869400270
37,0,0,0,4,68,20,1539869400348
51,0,0,0,0,69.475,,1539869402922
0,0,0,0,4,69.475,100,1539869402922
37,0,0,0,12,68.47,68,1539869407095
51,0,0,0,0,70.595,,1539869446972
0,0,0,0,4,70.595,300,1539869446972
37,0,0,0,4,70.2,40,1539869451554
51,0,0,0,0,70.84,,1539869456521
51,0,0,0,0,70.93,,1539869456521
0,0,0,0,2,70.84,100,1539869456521
0,0,0,0,12,70.84,100,1539869456521
37,0,0,0,19,70.9,57,1539869456521
0,0,0,0,8,70.93,100,1539869456521
0,0,0,0,18,70.84,100,1539869456521
0,0,0,0,18,70.93,100,1539869456521
0,0,0,0,11,70.9,100,1539869456521
25,16,0,0,11,70.9,100,1539869456521
14,41,0,0,8,70.93,100,1539869456521
0,0,0,0,11,70.9,100,1539869456521
0,0,0,0,11,70.9,100,1539869456521
0,0,0,0,4,70.93,100,1539869456521
14,37,41,0,11,70.93,1,1539869456521
0,0,0,0,4,70.9,100,1539869456522
0,0,0,0,4,70.93,100,1539869456523
0,0,0,0,4,70.93,100,1539869456640
37,0,0,0,4,70.9038,1,1539869459073
0,0,0,0,12,70.92,100,1539869459314
0,0,0,0,12,70.92,100,1539869459314
14,37,41,0,19,70.9,7,1539869459314
14,37,41,0,19,70.9,1,1539869459314
37,0,0,0,19,70.9,49,1539869459315
0,0,0,0,4,70.78,300,1539869460957
37,0,0,0,4,70.5783,80,1539869460965
0,0,0,0,15,70.63,100,1539869461054
0,0,0,0,4,70.345,100,1539869461078
37,0,0,0,19,70.9,64,1539869462780
37,0,0,0,12,70.515,9,1539869478114
0,0,0,0,12,70.33,100,1539869478115
14,41,0,0,12,70.33,100,1539869478115
0,0,0,0,19,70.33,100,1539869478115
0,0,0,0,15,70.515,100,1539869478115
0,0,0,0,10,70.33,100,1539869478115
14,41,0,0,19,70.33,100,1539869478115
0,0,0,0,15,70.33,100,1539869478116
0,0,0,0,4,70.34,100,1539869478116
0,0,0,0,4,70.33,100,1539869478117
14,41,0,0,8,70.2,100,1539869478121
14,41,0,0,8,70.2,200,1539869478123
37,0,0,0,8,70.2,20,1539869478123
0,0,0,0,8,70.18,100,1539869478124
0,0,0,0,8,70.2,100,1539869478124
37,0,0,0,12,70.1,15,1539869478125
14,37,41,0,12,70.15,30,1539869478126
37,0,0,0,19,70.1,10,1539869478126
37,0,0,0,8,70.1,10,1539869478126
37,0,0,0,12,70.1,30,1539869478126
14,37,41,0,19,70.15,10,1539869478126
14,37,41,0,8,70.15,10,1539869478126
14,37,41,0,8,70.15,15,1539869478126
14,41,0,0,17,70.06,100,1539869478127
0,0,0,0,4,70.33,100,1539869478236
0,0,0,0,4,70.34,100,1539869478243
14,41,0,0,17,70.02,100,1539869478318
14,37,41,0,12,69.97,85,1539869478320
14,37,41,0,8,70,15,1539869478320
37,0,0,0,12,69.97,15,1539869478320
14,41,0,0,8,70,100,1539869478320
14,41,0,0,3,69.67,100,1539869500378
14,41,0,0,12,69.35,100,1539869520014
37,0,0,0,12,69.32,21,1539869520027
14,41,0,0,12,69.32,100,1539869520027
0,0,0,0,4,69.35,100,1539869520252
37,0,0,0,12,69.32,79,1539869520681
0,0,0,0,12,69.34,100,1539869520681
37,0,0,0,12,69.35,21,1539869520681
14,37,41,0,12,69.35,79,1539869520681
14,37,41,0,12,69.35,21,1539869520681
0,0,0,0,11,69.35,100,1539869520681
0,0,0,0,4,69.35,100,1539869524184
14,37,41,0,12,69,12,1539869526400
14,37,41,0,12,69,88,1539869526400
14,41,0,0,8,69,200,1539869526400
0,0,0,0,11,69.05,200,1539869526593
14,41,0,0,11,69.01,100,1539869526593
14,41,0,0,12,69.01,100,1539869526593
14,41,0,0,12,69.01,100,1539869526595
14,41,0,0,12,69.01,100,1539869526595
14,41,0,0,8,69,100,1539869526597
14,41,0,0,12,69.01,100,1539869526598
0,0,0,0,8,69,200,1539869526598
14,41,0,0,12,69.01,100,1539869526598
0,0,0,0,8,69,3870,1539869526598
0,0,0,0,4,69,100,1539869526599
14,37,41,0,8,69,30,1539869526599
14,41,0,0,17,68.77,100,1539869526698
0,0,0,0,8,68.56,100,1539869527006
14,37,41,0,12,68.51,52,1539869532717
14,41,0,0,12,68.51,380,1539869532717
0,0,0,0,8,68.51,100,1539869532717
0,0,0,0,8,68.5,100,1539869532717
0,0,0,0,8,68.5,100,1539869532717
14,37,41,0,12,68.51,68,1539869532717
14,37,41,0,12,68.51,93,1539869532717
0,0,0,0,4,68.2501,100,1539869533516
0,0,0,0,2,68.41,100,1539869535136
14,37,41,0,12,68.4,7,1539869535136
14,37,41,0,12,68.41,93,1539869535136
0,0,0,0,11,68.41,100,1539869535136
14,37,41,0,12,68.41,7,1539869536170
0,0,0,0,12,68.46,100,1539869536170
0,0,0,0,12,68.46,100,1539869536170
0,0,0,0,11,68.46,100,1539869536170
37,0,0,0,12,68.33,30,1539869536170
0,0,0,0,10,68.46,100,1539869536170
0,0,0,0,19,68.46,100,1539869536170
37,0,0,0,12,68.41,20,1539869536614
37,0,0,0,12,68.41,80,1539869536614
14,41,0,0,12,68.25,100,1539869536616
14,37,41,0,12,68.26,30,1539869536784
0,0,0,0,11,68.41,100,1539869536784
14,41,0,0,17,68.41,100,1539869536784
37,0,0,0,19,68.2,10,1539869536784
37,0,0,0,11,68.2,10,1539869536785
0,0,0,0,12,68.41,100,1539869546661
0,0,0,0,12,68.41,100,1539869546661
37,0,0,0,11,68.41,10,1539869546661
37,0,0,0,11,68.41,10,1539869546661
0,0,0,0,11,68.41,180,1539869546661
0,0,0,0,4,68.41,100,1539869546822
0,0,0,0,4,68.38,100,1539869548000
37,0,0,0,12,68.41,30,1539869549203
37,0,0,0,12,68.41,70,1539869549203
0,0,0,0,4,68.41,100,1539869549204
0,0,0,0,12,68.41,100,1539869550726
0,0,0,0,12,68.41,100,1539869550726
0,0,0,0,11,68.41,100,1539869550726
14,41,0,0,12,68.41,100,1539869555999
14,41,0,0,12,68.41,100,1539869555999
14,41,0,0,19,68.41,100,1539869555999
14,37,41,0,11,68.41,95,1539869555999
14,37,41,0,11,68.41,5,1539869555999
0,0,0,0,4,68.41,100,1539869556529
0,0,0,0,4,68.41,100,1539869556529
0,0,0,0,12,68.41,100,1539869556530
0,0,0,0,4,68.41,100,1539869556534
0,0,0,0,4,68.3908,400,1539869557099
14,37,41,0,11,68.41,12,1539869557130
0,0,0,0,4,68.41,100,1539869557260
0,0,0,0,12,68.41,100,1539869557443
0,0,0,0,12,68.41,100,1539869557443
0,0,0,0,12,68.41,100,1539869557443
37,0,0,0,12,68.33,30,1539869557443
37,0,0,0,12,68.26,70,1539869557443
0,0,0,0,17,68.29,100,1539869557443
0,0,0,0,4,68.41,1200,1539869564334
0,0,0,0,4,68.2565,1000,1539869566733
14,41,0,0,12,68.25,100,1539869566734
14,37,41,0,12,68.25,60,1539869566734
14,37,41,0,12,68.25,40,1539869566734
37,0,0,0,12,68.25,20,1539869566734
37,0,0,0,12,68.25,20,1539869566734
0,0,0,0,12,68.26,100,1539869566734
37,0,0,0,12,68.25,80,1539869566734
37,0,0,0,12,68.25,20,1539869566734
37,0,0,0,12,68.26,30,1539869566734
37,0,0,0,12,68.25,80,1539869566734
14,37,41,0,12,68.25,20,1539869566736
14,37,41,0,12,68.25,80,1539869566736
14,37,41,0,12,68.25,20,1539869567519
14,37,41,0,12,68.25,80,1539869567519
14,37,41,0,12,68.25,20,1539869567519
14,37,41,0,12,68.25,14,1539869567519
14,37,41,0,12,68.25,14,1539869567519
14,37,41,0,12,68.25,52,1539869567519
14,37,41,0,12,68.25,48,1539869567646
14,37,41,0,12,68.25,52,1539869567646
14,37,41,0,12,68.25,48,1539869567646
14,37,41,0,8,68.25,10,1539869567646
0,0,0,0,4,68.25,100,1539869567784
0,0,0,0,4,68.323,100,1539869579814
0,0,0,0,8,68.33,100,1539869585647
0,0,0,0,8,68.33,200,1539869585656
37,0,0,0,12,68.4,70,1539869585657
37,0,0,0,12,68.41,30,1539869585657
0,0,0,0,19,68.41,100,1539869585657
37,0,0,0,12,68.41,70,1539869585657
0,0,0,0,12,68.41,100,1539869585657
0,0,0,0,12,68.41,100,1539869585657
0,0,0,0,19,68.41,100,1539869585657
37,0,0,0,11,68.41,88,1539869585657
37,0,0,0,11,68.41,12,1539869585657
37,0,0,0,11,68.41,88,1539869585657
0,0,0,0,4,68.41,100,1539869585797
0,0,0,0,12,68.41,100,1539869586845
0,0,0,0,12,68.41,100,1539869586845
0,0,0,0,4,68.41,100,1539869587076
0,0,0,0,12,68.4,100,1539869587809
0,0,0,0,4,68.4095,100,1539869587810
0,0,0,0,12,68.37,100,1539869588202
0,0,0,0,4,68.3301,1000,1539869588734
14,41,0,0,12,68.37,100,1539869588736
0,0,0,0,4,68.41,100,1539869588899
0,0,0,0,4,68.41,100,1539869588899
0,0,0,0,4,68.41,100,1539869588902
0,0,0,0,12,68.37,100,1539869589203
0,0,0,0,15,68.375,100,1539869592932
14,41,0,0,12,68.41,100,1539869596468
14,41,0,0,12,68.41,100,1539869596468
14,41,0,0,12,68.41,100,1539869596468
0,0,0,0,12,68.42,100,1539869596468
14,41,0,0,12,68.41,100,1539869596469
0,0,0,0,12,68.42,100,1539869596498
0,0,0,0,12,68.44,100,1539869598167
0,0,0,0,12,68.44,100,1539869598167
0,0,0,0,12,68.44,100,1539869598167
0,0,0,0,19,68.44,100,1539869598167
0,0,0,0,4,68.44,100,1539869599569
14,41,0,0,12,68.44,100,1539869599698
14,41,0,0,12,68.44,100,1539869599698
14,41,0,0,12,68.44,100,1539869599698
14,41,0,0,12,68.44,100,1539869599700
14,41,0,0,12,68.44,100,1539869599700
14,37,41,0,12,68.44,10,1539869599701
14,41,0,0,8,68.44,100,1539869599701
14,41,0,0,12,68.41,100,1539869599705
14,41,0,0,2,68.33,100,1539869601771
0,0,0,0,4,68.39,100,1539869602537
14,41,0,0,2,68.33,100,1539869602538
14,41,0,0,11,68.33,100,1539869602539
0,0,0,0,15,68.35,100,1539869602539
