c1,c2,c3,c4,e,p,s,t
37,0,0,0,11,79.85,90,1539936000013
37,0,0,0,11,79.85,18,1539936000013
37,0,0,0,11,79.85,10,1539936512232
37,0,0,0,11,79.85,75,1539936906461
37,0,0,0,11,79.85,7,1539936906467
37,0,0,0,11,79.5,7,1539937457997
37,0,0,0,11,77.9,50,1539947211716
14,37,41,0,11,76.8,10,1539948605192
37,0,0,0,8,77.5,20,1539950106032
37,0,0,0,8,77.5,20,1539950106032
37,0,0,0,12,77.9,25,1539950106033
0,0,0,0,4,78,400,1539950401830
37,0,0,0,4,76.8,50,1539950402514
14,41,0,0,11,77.07,100,1539951444993
14,41,0,0,12,77.35,300,1539951528287
14,41,0,0,12,77.2,100,1539951721168
14,41,0,0,12,77.2,400,1539951721168
37,0,0,0,4,77.4,50,1539952018541
14,41,0,0,12,77.1,600,1539952076591
14,41,0,0,12,77.1,200,1539952086744
14,41,0,0,12,77.1,100,1539952104522
0,0,0,0,4,77.4,750,1539952370000
0,0,0,0,12,77.35,100,1539952371790
37,0,0,0,12,77.35,25,1539952395586
0,0,0,0,12,77.4,100,1539952395589
0,0,0,0,4,77.8999,100,1539952585999
0,0,0,0,4,77.8999,1000,1539952711791
14,41,0,0,11,77.84,187,1539952750376
14,41,0,0,11,77.84,144,1539952750377
14,41,0,0,11,77.87,100,1539952750377
14,41,0,0,11,77.89,100,1539952750377
14,41,0,0,11,77.89,525,1539952750377
14,41,0,0,11,77.89,444,1539952750378
0,0,0,0,11,77.89,500,1539952932809
0,0,0,0,11,77.9,300,1539952932809
0,0,0,0,11,77.9,300,1539952932816
0,0,0,0,11,77.9,1500,1539952932816
0,0,0,0,11,77.9,100,1539952932821
14,41,0,0,7,77.9,100,1539952932825
14,41,0,0,7,77.9,100,1539952932825
14,41,0,0,7,77.9,100,1539952932826
37,0,0,0,4,77.8,58,1539953093962
14,37,41,0,12,77.61,75,1539953379926
0,0,0,0,11,77.6,500,1539953379926
14,37,41,0,11,77.6,25,1539953379926
14,41,0,0,12,77.5,475,1539953383323
0,0,0,0,12,77.5,125,1539953383753
0,0,0,0,11,77.27,100,1539953494102
0,0,0,0,8,77.6,214,1539953570115
37,0,0,0,4,77.6,36,1539953662215
37,0,0,0,4,77.7,54,1539953664583
14,37,41,0,11,77.5,51,1539953919582
14,41,0,0,11,77.6,100,1539953919582
37,0,0,0,4,77.7,52,1539954049532
14,41,0,0,8,77.7,100,1539954140434
14,41,0,0,11,78,800,1539954153336
14,37,41,0,11,77.5,2,1539954158374
14,37,41,0,12,77.6,2,1539954261153
14,37,41,0,11,77.4,1,1539954261153
14,37,41,0,11,77.4,1,1539954261154
0,0,0,0,4,78,100,1539954294356
37,0,0,0,4,78,11,1539954540953
14,37,41,0,11,77.95,1,1539954686464
37,0,0,0,4,77.99,3,1539954693866
37,0,0,0,12,77.6,4,1539954699893
0,0,0,0,4,78,189,1539954739654
37,0,0,0,4,78,11,1539954739654
14,37,41,0,8,77.85,1,1539954762168
37,0,0,0,4,78,14,1539954852463
37,0,0,0,4,78,74,1539954852465
14,37,41,0,12,77.6,4,1539954897660
37,0,0,0,4,77.5,1,1539954897663
37,0,0,0,4,78,1,1539955087456
14,37,41,0,12,77.6,20,1539955188218
14,41,0,0,12,77.6,2205,1539955315528
14,41,0,0,12,77.5,295,1539955315529
37,0,0,0,4,77.5,5,1539955352663
37,0,0,0,4,77.35,25,1539955352664
37,0,0,0,4,77.12,20,1539955352666
0,0,0,0,11,77.21,100,1539955358200
0,0,0,0,11,77.12,300,1539955358200
0,0,0,0,12,77.6,100,1539955358200
0,0,0,0,8,77.6,100,1539955358200
0,0,0,0,12,77.6,100,1539955358201
37,0,0,0,11,77.28,93,1539955358902
0,0,0,0,11,77.27,100,1539955358902
0,0,0,0,11,77.27,100,1539955358902
14,37,41,0,11,77.27,7,1539955358902
14,41,0,0,11,77.27,300,1539955359122
14,41,0,0,12,77.6,280,1539955386198
0,0,0,0,4,77.27,200,1539955419819
37,0,0,0,4,77.27,5,1539955431156
37,0,0,0,12,77.6,50,1539955533547
14,41,0,0,12,77.6,100,1539955545675
0,0,0,0,4,77.6,100,1539955550590
14,41,0,0,12,77.6,1075,1539955606912
14,41,0,0,12,77.31,100,1539955606912
14,41,0,0,12,77.27,100,1539955606912
14,41,0,0,12,77.27,500,1539955606912
0,0,0,0,18,77.6,100,1539955606913
0,0,0,0,8,77.6,100,1539955606913
0,0,0,0,7,77.6,100,1539955606913
0,0,0,0,19,77.6,100,1539955606913
0,0,0,0,7,77.6,100,1539955606913
0,0,0,0,18,77.6,500,1539955606913
0,0,0,0,19,77.6,200,1539955606913
0,0,0,0,19,77.6,500,1539955606913
0,0,0,0,18,77.6,100,1539955606913
0,0,0,0,7,77.6,100,1539955606913
0,0,0,0,8,77.6,500,1539955606913
14,41,0,0,11,77.27,500,1539955606913
0,0,0,0,8,77.6,100,1539955606913
0,0,0,0,19,77.6,100,1539955606913
0,0,0,0,18,77.6,100,1539955606913
0,0,0,0,19,77.6,100,1539955606914
0,0,0,0,19,77.6,100,1539955606914
0,0,0,0,19,77.6,100,1539955606914
37,0,0,0,19,77.6,89,1539955606914
14,41,0,0,12,77.34,100,1539955606919
14,41,0,0,12,77.33,100,1539955606919
14,37,41,0,12,77.29,93,1539955606919
14,37,41,0,12,77.29,81,1539955606919
14,41,0,0,12,77.28,500,1539955606919
0,0,0,0,18,77.6,100,1539955606920
0,0,0,0,7,77.6,100,1539955606920
37,0,0,0,18,77.6,10,1539955606920
37,0,0,0,19,77.6,10,1539955606920
37,0,0,0,8,77.6,15,1539955606920
37,0,0,0,19,77.6,15,1539955606920
0,0,0,0,8,77.6,100,1539955606920
37,0,0,0,18,77.6,10,1539955606920
0,0,0,0,7,77.6,100,1539955606920
0,0,0,0,18,77.6,100,1539955606920
0,0,0,0,19,77.6,100,1539955606920
0,0,0,0,19,77.6,100,1539955606920
37,0,0,0,7,77.6,10,1539955606920
37,0,0,0,7,77.6,10,1539955606920
37,0,0,0,8,77.6,10,1539955606920
0,0,0,0,7,77.6,100,1539955606920
0,0,0,0,8,77.6,100,1539955606920
14,41,0,0,11,77.28,100,1539955606920
0,0,0,0,8,77.6,100,1539955606920
0,0,0,0,18,77.6,200,1539955606920
0,0,0,0,19,77.6,100,1539955606921
0,0,0,0,19,77.6,100,1539955606922
14,41,0,0,12,77.43,100,1539955606925
14,41,0,0,12,77.43,100,1539955606925
14,41,0,0,12,77.43,100,1539955606925
14,41,0,0,12,77.38,100,1539955606925
14,37,41,0,12,77.38,90,1539955606925
14,41,0,0,12,77.38,261,1539955606925
0,0,0,0,8,77.6,200,1539955606926
14,41,0,0,12,77.46,100,1539955607985
14,41,0,0,12,77.46,100,1539955607985
14,41,0,0,12,77.46,100,1539955607985
14,41,0,0,12,77.46,100,1539955607985
14,41,0,0,12,77.42,100,1539955607985
14,37,41,0,12,77.42,90,1539955628014
14,37,41,0,11,77.53,2,1539955628014
37,0,0,0,12,77.53,7,1539955649006
37,0,0,0,12,77.53,1,1539955670030
14,37,41,0,12,77.53,2,1539955680131
14,41,0,0,12,77.5,100,1539955680131
14,41,0,0,12,77.5,293,1539955680131
14,41,0,0,12,77.5,226,1539955680131
14,41,0,0,12,77.5,1074,1539955680131
14,41,0,0,12,77.5,1300,1539955680131
14,41,0,0,12,77.5,326,1539955680131
14,37,41,0,12,77.15,30,1539955680131
14,41,0,0,12,77.1,1800,1539955680131
14,41,0,0,18,77.6,100,1539955680131
14,41,0,0,19,77.6,186,1539955680131
14,41,0,0,19,77.5,100,1539955680131
14,41,0,0,18,77.6,200,1539955680131
14,41,0,0,7,77.6,1779,1539955680131
14,41,0,0,19,77.5,500,1539955680131
0,0,0,0,18,77.6,100,1539955680131
14,41,0,0,8,77.6,300,1539955680131
14,41,0,0,18,77.6,580,1539955680131
0,0,0,0,8,77.6,100,1539955680131
14,41,0,0,7,77.6,100,1539955680131
14,41,0,0,19,77.1,889,1539955680131
14,41,0,0,8,77.6,675,1539955680131
14,41,0,0,19,77.1,889,1539955680131
14,41,0,0,18,77.1,2372,1539955680131
14,41,0,0,7,77.6,101,1539955680132
14,41,0,0,19,77.1,122,1539955680132
14,41,0,0,7,77.1,2000,1539955680132
14,41,0,0,8,77.1,711,1539955680132
14,41,0,0,8,77.1,711,1539955680132
14,37,41,0,8,77.1,78,1539955680132
0,0,0,0,12,77.03,100,1539955680132
14,37,41,0,11,77.53,98,1539955680132
14,41,0,0,11,77.53,100,1539955680132
14,37,41,0,11,77.5,2,1539955680132
14,41,0,0,11,77.5,100,1539955680132
14,41,0,0,11,77.5,700,1539955680132
14,37,41,0,11,77.1,6,1539955680132
14,37,41,0,11,77.05,50,1539955680132
14,41,0,0,11,77.05,100,1539955680132
14,41,0,0,11,77.05,634,1539955680132
37,0,0,0,8,77.5,1,1539955680132
14,41,0,0,11,77.05,100,1539955680132
14,41,0,0,11,77.05,690,1539955680132
14,37,41,0,11,77.05,76,1539955680132
0,0,0,0,12,77.03,200,1539955680132
0,0,0,0,12,77.01,200,1539955680132
41,0,0,0,15,77.5,100,1539955680133
41,0,0,0,15,77.43,286,1539955680133
14,37,41,0,12,77.01,5,1539955701094
14,37,41,0,11,77.01,5,1539955712554
14,37,41,0,19,77,12,1539955737356
37,0,0,0,4,77,1,1539955737663
14,37,41,0,18,77.1,2,1539955737668
37,0,0,0,15,77,10,1539955758276
51,0,0,0,0,78,,1539955800082
41,0,0,0,11,78,200,1539955800082
25,16,0,0,11,78,200,1539955800082
41,0,0,0,11,78,300,1539955800082
51,0,0,0,0,77.85,,1539955800085
14,41,0,0,12,77.37,500,1539955800085
14,41,0,0,11,77.85,500,1539955800085
14,41,0,0,12,77.73,500,1539955800098
14,41,0,0,11,77.85,500,1539955800099
0,0,0,0,12,77.64,100,1539955800358
0,0,0,0,12,77.61,100,1539955800358
0,0,0,0,12,77.61,100,1539955800358
51,0,0,0,0,77.57,,1539955800608
25,41,0,0,12,77.57,36134,1539955800608
25,16,0,0,12,77.57,36134,1539955800608
14,37,41,0,11,77.6,15,1539955800610
14,37,41,0,11,77.6,5,1539955800611
0,0,0,0,12,77.87,100,1539955800679
0,0,0,0,17,77.89,100,1539955800684
0,0,0,0,4,77.6,100,1539955800686
0,0,0,0,4,77.6,100,1539955800690
0,0,0,0,4,77.6,300,1539955800692
0,0,0,0,12,77.9,100,1539955800694
37,0,0,0,4,77.6,52,1539955800695
0,0,0,0,4,77.6,100,1539955800697
0,0,0,0,4,77.6,500,1539955800700
37,0,0,0,4,77.6,89,1539955800701
0,0,0,0,4,77.6,120,1539955800702
37,0,0,0,4,77.6,50,1539955800702
37,0,0,0,4,77.6,15,1539955800703
0,0,0,0,4,77.6,110,1539955800703
0,0,0,0,4,77.6,100,1539955800703
0,0,0,0,4,77.6,100,1539955800704
37,0,0,0,4,77.6,5,1539955800707
14,41,0,0,12,77.63,100,1539955800965
14,37,41,0,12,77.6,75,1539955800977
14,37,41,0,19,77.6,82,1539955801080
0,0,0,0,4,77.6,100,1539955801275
10,32,37,41,4,77.57,31,1539955801318
37,0,0,0,4,77.6,25,1539955801363
0,0,0,0,4,77.6035,100,1539955801499
37,0,0,0,12,77.6,25,1539955801519
14,41,0,0,12,77.6,100,1539955801519
14,37,41,0,19,77.6,18,1539955801519
14,41,0,0,11,77.6,100,1539955801519
0,0,0,0,11,77.6,100,1539955801519
14,41,0,0,19,77.6,100,1539955801519
51,0,0,0,0,77.55,,1539955801521
14,37,41,0,2,77.57,10,1539955801521
14,41,0,0,11,77.6,280,1539955801521
14,41,0,0,19,77.55,100,1539955801521
14,37,41,0,7,77.57,10,1539955801521
37,0,0,0,4,77.6,75,1539955801628
14,37,41,0,19,77.57,20,1539955801751
14,37,41,0,19,77.6,10,1539955801751
14,37,41,0,19,77.6,10,1539955801751
37,0,0,0,8,77.57,75,1539955801751
37,0,0,0,8,77.6,25,1539955801751
14,37,41,0,8,77.6,50,1539955801751
14,37,41,0,8,77.6,50,1539955801751
14,37,41,0,19,77.6,20,1539955801753
37,0,0,0,4,77.61,75,1539955802419
0,0,0,0,4,78,300,1539955802443
37,0,0,0,4,77.6,1,1539955802459
0,0,0,0,4,77.6,300,1539955802532
37,0,0,0,11,77.67,50,1539955802570
0,0,0,0,4,77.7756,100,1539955802616
0,0,0,0,4,77.765,100,1539955802756
37,0,0,0,4,77.6,78,1539955802851
37,0,0,0,4,77.61,30,1539955802914
37,0,0,0,4,77.6,5,1539955802927
14,41,0,0,12,77.6,160,1539955802947
14,37,41,0,12,77.6,14,1539955802947
37,0,0,0,11,77.765,50,1539955802948
0,0,0,0,4,77.6,230,1539955802991
0,0,0,0,4,77.6001,335,1539955802991
37,0,0,0,12,77.65,50,1539955803099
0,0,0,0,12,77.65,150,1539955803099
0,0,0,0,4,77.65,200,1539955803671
14,37,41,0,12,77.65,50,1539955804039
14,37,41,0,12,77.65,50,1539955804039
0,0,0,0,11,77.79,100,1539955804040
0,0,0,0,4,77.6025,200,1539955804232
37,0,0,0,4,77.6011,60,1539955804233
0,0,0,0,4,77.6025,800,1539955804238
0,0,0,0,4,77.6011,100,1539955804254
37,0,0,0,4,77.6001,5,1539955804354
37,0,0,0,4,77.6,50,1539955804422
37,0,0,0,4,77.758,50,1539955804469
14,37,41,0,12,77.81,9,1539955804606
0,0,0,0,4,77.6,200,1539955804607
0,0,0,0,4,77.816,190,1539955804727
0,0,0,0,4,77.9068,141,1539955804803
14,41,0,0,12,77.69,100,1539955804928
14,37,41,0,12,77.69,2,1539955805025
0,0,0,0,4,77.6287,150,1539955805208
0,0,0,0,4,77.6025,100,1539955805241
0,0,0,0,11,77.93,100,1539955805671
37,0,0,0,12,77.81,91,1539955805671
0,0,0,0,12,77.9,100,1539955805672
0,0,0,0,4,77.81,100,1539955805676
0,0,0,0,19,77.81,100,1539955806213
37,0,0,0,11,77.86,5,1539955808849
37,0,0,0,11,77.88,95,1539955808849
37,0,0,0,11,77.88,5,1539955808849
0,0,0,0,12,77.9,200,1539955810570
0,0,0,0,12,77.9,100,1539955810570
0,0,0,0,12,77.93,100,1539955810570
0,0,0,0,12,77.93,100,1539955810570
0,0,0,0,12,77.93,100,1539955810570
14,41,0,0,12,77.93,100,1539955810570
14,41,0,0,12,77.92,345,1539955810570
37,0,0,0,11,77.93,91,1539955810571
37,0,0,0,11,77.93,9,1539955810571
37,0,0,0,11,77.93,91,1539955810571
14,41,0,0,12,77.92,144,1539955810571
0,0,0,0,4,77.93,100,1539955810571
14,37,41,0,12,77.96,25,1539955810571
0,0,0,0,4,77.93,100,1539955810571
0,0,0,0,4,77.93,100,1539955810571
14,41,0,0,12,77.98,100,1539955810571
14,41,0,0,12,77.98,100,1539955810571
0,0,0,0,19,77.98,100,1539955810571
0,0,0,0,11,77.98,100,1539955810572
37,0,0,0,19,77.96,20,1539955810572
14,37,41,0,19,77.98,20,1539955810572
0,0,0,0,4,77.93,100,1539955810573
0,0,0,0,4,77.93,100,1539955810574
20,41,0,0,4,77.93,100,1539955810614
0,0,0,0,4,77.93,100,1539955810686
0,0,0,0,12,77.99,100,1539955810814
37,0,0,0,12,78,20,1539955810814
37,0,0,0,12,78,50,1539955810814
37,0,0,0,12,78,10,1539955810814
0,0,0,0,12,78,420,1539955810814
37,0,0,0,12,78,80,1539955810814
37,0,0,0,12,78,50,1539955810814
37,0,0,0,12,78,35,1539955810814
37,0,0,0,12,78,80,1539955810814
14,41,0,0,12,78,137,1539955810814
14,41,0,0,2,78,100,1539955810814
0,0,0,0,12,78,200,1539955810814
0,0,0,0,12,78,165,1539955810814
14,41,0,0,19,78,100,1539955810815
14,41,0,0,18,78,100,1539955810815
14,41,0,0,19,78,100,1539955810815
14,41,0,0,8,78,100,1539955810815
14,41,0,0,12,78,100,1539955810815
14,41,0,0,8,78,100,1539955810815
0,0,0,0,11,77.99,100,1539955810815
0,0,0,0,11,78,600,1539955810815
0,0,0,0,11,78,100,1539955810815
0,0,0,0,11,78,100,1539955810815
14,41,0,0,11,78,100,1539955810815
14,41,0,0,11,78,100,1539955810815
14,41,0,0,11,78,100,1539955810815
0,0,0,0,11,78,100,1539955810815
14,41,0,0,10,78,100,1539955810815
0,0,0,0,4,77.92,259,1539955812300
51,0,0,0,0,78.25,,1539955813014
51,0,0,0,0,78.3,,1539955813014
14,41,0,0,18,78.25,200,1539955813014
14,37,41,0,18,78.35,89,1539955813014
14,41,0,0,8,78.25,100,1539955813014
0,0,0,0,8,78.25,100,1539955813014
0,0,0,0,18,78.25,200,1539955813014
14,37,41,0,11,78.25,94,1539955813014
0,0,0,0,11,78.3,100,1539955813014
0,0,0,0,11,78.3,100,1539955813014
51,0,0,0,0,78.35,,1539955813015
0,0,0,0,11,78.35,100,1539955813015
0,0,0,0,18,78.35,111,1539955813015
51,0,0,0,0,78.41,,1539955813016
37,0,0,0,18,78.35,89,1539955813016
0,0,0,0,8,78.35,100,1539955813016
0,0,0,0,18,78.35,200,1539955813016
14,37,41,0,18,78.35,50,1539955813016
0,0,0,0,8,78.35,100,1539955813016
0,0,0,0,11,78.35,100,1539955813016
14,37,41,0,18,78.35,50,1539955813016
14,37,41,0,18,78.35,50,1539955813016
14,37,41,0,18,78.35,50,1539955813016
14,41,0,0,12,78.41,100,1539955813016
37,0,0,0,12,78.41,25,1539955813016
14,37,41,0,19,78.31,20,1539955813016
37,0,0,0,8,78.35,20,1539955813016
0,0,0,0,4,78.35,100,1539955813018
0,0,0,0,4,78.35,100,1539955813018
0,0,0,0,4,78.33,100,1539955813026
0,0,0,0,4,78.34,100,1539955813030
0,0,0,0,4,78.35,200,1539955813030
0,0,0,0,4,78.3767,285,1539955813135
51,0,0,0,0,78.48,,1539955815372
51,0,0,0,0,78.49,,1539955815372
51,0,0,0,0,78.5,,1539955815372
0,0,0,0,12,78.48,100,1539955815372
0,0,0,0,12,78.49,132,1539955815372
0,0,0,0,12,78.5,400,1539955815372
37,0,0,0,4,78.7607,2,1539955815528
37,0,0,0,4,78.3521,50,1539955816479
51,0,0,0,0,78.73,,1539955817575
51,0,0,0,0,78.75,,1539955817575
0,0,0,0,12,78.73,100,1539955817575
0,0,0,0,12,78.75,100,1539955817575
37,0,0,0,12,78.79,40,1539955817575
0,0,0,0,11,78.535,100,1539955817575
51,0,0,0,0,78.8,,1539955817579
0,0,0,0,4,78.8,1000,1539955817579
0,0,0,0,11,78.64,100,1539955825088
0,0,0,0,11,78.65,100,1539955825088
0,0,0,0,11,78.65,100,1539955825088
0,0,0,0,10,78.65,100,1539955825088
0,0,0,0,11,78.65,100,1539955825088
0,0,0,0,4,78.79,2500,1539955828410
0,0,0,0,4,78.748,2500,1539955828412
14,41,0,0,12,78.79,100,1539955828429
0,0,0,0,12,78.8,100,1539955828429
37,0,0,0,12,78.8,10,1539955828430
37,0,0,0,12,78.8,90,1539955828430
37,0,0,0,12,78.8,40,1539955828430
37,0,0,0,12,78.8,10,1539955828430
0,0,0,0,12,78.79,100,1539955828430
0,0,0,0,2,78.78,100,1539955828430
0,0,0,0,19,78.79,100,1539955828430
0,0,0,0,11,78.77,100,1539955828431
51,0,0,0,0,78.86,,1539955828432
51,0,0,0,0,78.9,,1539955828432
