c1,c2,c3,c4,e,p,s,t
37,0,0,0,11,105.65,30,1537433243321
37,0,0,0,11,105.65,20,1537433384551
14,37,41,0,8,106,50,1537441200202
14,37,41,0,8,102,50,1537441200202
14,37,41,0,11,106,30,1537441200203
14,41,0,0,11,106,400,1537441200203
14,37,41,0,11,105.65,50,1537441200203
37,0,0,0,11,104.85,30,1537441245495
0,0,0,0,11,104,100,1537441369431
0,0,0,0,11,104,300,1537441373999
14,41,0,0,8,103,100,1537441480284
14,41,0,0,8,103,100,1537441507443
0,0,0,0,11,102,100,1537441545484
37,0,0,0,11,102,30,1537441570675
14,41,0,0,11,102,485,1537441642781
14,41,0,0,11,102,100,1537441642781
37,0,0,0,12,102.05,29,1537441642784
0,0,0,0,11,97,100,1537441866666
37,0,0,0,8,101,40,1537441871605
0,0,0,0,11,97.06,100,1537441915819
14,41,0,0,12,96.65,271,1537441915820
14,37,41,0,11,98,5,1537441969815
14,37,41,0,12,96.9,5,1537441969816
37,0,0,0,11,98,27,1537442017520
37,0,0,0,11,96.6,20,1537442022664
37,0,0,0,11,96.32,40,1537442022664
0,0,0,0,11,96,168,1537442022664
37,0,0,0,11,95.6,20,1537442027696
37,0,0,0,11,95.51,3,1537442027696
14,37,41,0,8,95.94,30,1537442042612
14,37,41,0,8,95.84,50,1537442053637
37,0,0,0,11,95.5,15,1537442097053
0,0,0,0,11,94,100,1537442097431
0,0,0,0,11,94,100,1537442097431
14,37,41,0,11,94,5,1537442097432
14,37,41,0,11,93.5,50,1537442098691
14,37,41,0,11,93,75,1537442098691
37,0,0,0,8,93.5,50,1537442159001
0,0,0,0,11,95,100,1537442159795
14,37,41,0,12,94.3,30,1537442165783
0,0,0,0,11,95,200,1537442194093
0,0,0,0,11,95,165,1537442194103
14,37,41,0,11,95.75,5,1537442197244
14,41,0,0,8,95.74,100,1537442197245
14,37,41,0,8,95.74,20,1537442197245
14,41,0,0,12,95.74,100,1537442198160
14,37,41,0,8,95.74,65,1537442198160
14,37,41,0,8,96,35,1537442198160
37,0,0,0,8,96,70,1537442200739
37,0,0,0,8,95.26,10,1537442331701
0,0,0,0,8,95.31,100,1537442360446
37,0,0,0,8,95.26,90,1537442360446
0,0,0,0,8,95.17,100,1537442360446
37,0,0,0,8,95.05,50,1537442360447
14,37,41,0,11,95.52,50,1537442360447
14,41,0,0,11,95.31,100,1537442360447
14,37,41,0,11,95.25,50,1537442360447
14,37,41,0,19,95.05,50,1537442360448
14,41,0,0,19,95,610,1537442360448
14,41,0,0,18,95,165,1537442374456
14,41,0,0,18,95,1000,1537442452623
0,0,0,0,11,95,335,1537442461572
0,0,0,0,11,95,700,1537442461572
14,41,0,0,12,95,500,1537442461573
14,41,0,0,19,95.03,100,1537442461573
14,41,0,0,19,95,190,1537442461573
14,41,0,0,18,95,235,1537442461573
14,41,0,0,7,95,440,1537442461573
37,0,0,0,7,95,70,1537442462296
37,0,0,0,7,95,70,1537442462716
37,0,0,0,7,95,50,1537442462946
0,0,0,0,7,95,100,1537442464040
0,0,0,0,11,95,100,1537442464070
14,41,0,0,19,95,100,1537442464396
14,41,0,0,7,95,100,1537442464609
37,0,0,0,7,95,50,1537442465444
14,41,0,0,7,95,165,1537442509570
0,0,0,0,11,95.1,100,1537442521254
37,0,0,0,11,95,50,1537442521254
37,0,0,0,11,95,25,1537442521396
37,0,0,0,7,95,5,1537442522158
0,0,0,0,8,95.12,100,1537442522899
37,0,0,0,8,95,50,1537442522899
14,41,0,0,7,95,250,1537442522900
0,0,0,0,7,95,100,1537442523269
0,0,0,0,7,95,100,1537442523814
37,0,0,0,11,95.02,55,1537442541651
0,0,0,0,8,95.01,100,1537442604052
37,0,0,0,11,95,6,1537442621742
0,0,0,0,11,94.3,106,1537442662631
0,0,0,0,11,94.2,100,1537442662631
37,0,0,0,11,94.2,60,1537442662631
14,41,0,0,8,94,100,1537442666291
37,0,0,0,8,94,50,1537442667854
0,0,0,0,11,93,200,1537442743093
0,0,0,0,11,93,100,1537442745047
14,37,41,0,8,93,30,1537442762821
14,37,41,0,8,92.5,70,1537442762821
0,0,0,0,11,92.08,100,1537442770933
0,0,0,0,11,92.01,100,1537442770933
14,37,41,0,8,92.01,50,1537442770933
14,37,41,0,8,92.01,55,1537442770935
14,37,41,0,8,92,50,1537442770935
14,37,41,0,11,92,65,1537442770936
14,37,41,0,8,92.12,55,1537442783815
14,41,0,0,8,92,145,1537442783815
14,37,41,0,8,92,5,1537442783817
14,37,41,0,8,92,95,1537442783817
37,0,0,0,1,92.5,30,1537442785887
37,0,0,0,11,92,35,1537442792232
37,0,0,0,11,92,50,1537442792232
37,0,0,0,11,92,45,1537442793965
37,0,0,0,11,92,55,1537442793965
37,0,0,0,8,92,5,1537442803709
37,0,0,0,11,92,10,1537442819039
14,37,41,0,11,92.77,50,1537442825539
14,37,41,0,11,92.77,50,1537442825922
14,37,41,0,11,92.77,50,1537442826001
14,41,0,0,11,92.77,100,1537442826263
