c1,c2,c3,c4,e,p,s,t
14,41,0,0,12,66.87,900,1539852632897
14,41,0,0,11,66.87,100,1539852657307
14,41,0,0,12,65.02,345,1539858600162
14,41,0,0,12,64.84,187,1539858600162
14,37,41,0,11,64.01,40,1539858600162
14,37,41,0,11,62,25,1539858690395
14,37,41,0,11,61.8,75,1539858690395
37,0,0,0,11,61.8,10,1539859022296
37,0,0,0,11,61.8,30,1539859033576
14,41,0,0,11,61.8,200,1539859681619
14,41,0,0,11,61.79,100,1539859681619
37,0,0,0,12,61.5,10,1539859681630
14,37,41,0,12,61.83,41,1539859844304
0,0,0,0,11,60.85,100,1539860141792
37,0,0,0,11,60.67,52,1539860141792
14,41,0,0,12,60.67,348,1539860141793
14,41,0,0,12,60.06,100,1539860298272
0,0,0,0,11,60.15,300,1539860357833
37,0,0,0,11,60.01,50,1539860362462
0,0,0,0,11,59.35,100,1539860370474
14,41,0,0,11,59.35,100,1539860372957
0,0,0,0,11,59.15,100,1539860380706
37,0,0,0,11,59.1,40,1539860380706
0,0,0,0,11,59.35,100,1539860391108
14,37,41,0,18,59.86,33,1539860400118
14,41,0,0,18,59.86,100,1539860400118
14,37,41,0,18,59.86,40,1539860400118
14,37,41,0,18,59.86,35,1539860400118
14,37,41,0,18,59.86,75,1539860400119
14,37,41,0,18,59.86,75,1539860400119
14,37,41,0,2,59.85,10,1539860400122
14,41,0,0,2,59.85,167,1539860400122
14,37,41,0,18,59.86,8,1539860445906
14,37,41,0,18,59.86,21,1539860445906
14,37,41,0,11,59.9,21,1539860445906
37,0,0,0,12,59,7,1539860497599
37,0,0,0,12,58.02,50,1539860497599
37,0,0,0,12,57.5,8,1539860497599
37,0,0,0,8,58.12,50,1539860497599
0,0,0,0,8,57.72,440,1539860497599
0,0,0,0,8,57.71,100,1539860497599
0,0,0,0,8,57.5,287,1539860497599
37,0,0,0,11,58.6,40,1539860497601
37,0,0,0,11,58.11,20,1539860497601
37,0,0,0,11,58,30,1539860497601
0,0,0,0,11,57.5,100,1539860497601
37,0,0,0,11,57.5,93,1539860500859
37,0,0,0,11,57.44,50,1539860504334
14,37,41,0,11,57.5,7,1539860505342
14,37,41,0,11,57.5,30,1539860505342
14,37,41,0,11,57.5,63,1539860507238
14,37,41,0,11,57.5,37,1539860507238
14,37,41,0,11,57.49,50,1539860510009
14,37,41,0,11,57.5,50,1539860510009
0,0,0,0,18,57.34,100,1539860510246
14,41,0,0,12,57.34,100,1539860510263
14,37,41,0,11,57.5,50,1539860511081
14,37,41,0,11,57.5,50,1539860511081
14,41,0,0,19,57.29,100,1539860511220
14,41,0,0,12,57.49,100,1539860511368
14,41,0,0,11,57,125,1539860511638
14,37,41,0,12,57.49,56,1539860514263
14,41,0,0,11,57.5,100,1539860523185
14,41,0,0,8,57.49,100,1539860523186
0,0,0,0,11,57.5,100,1539860523859
37,0,0,0,11,57.1,6,1539860596139
14,41,0,0,11,57.5,100,1539860635409
14,41,0,0,11,58,100,1539860683404
14,41,0,0,11,58,900,1539860683404
37,0,0,0,12,58.61,56,1539860862071
0,0,0,0,12,58.47,119,1539860862071
0,0,0,0,12,58.36,157,1539860862071
0,0,0,0,11,58.44,119,1539860862074
37,0,0,0,11,58.4,50,1539860862074
14,41,0,0,11,58.3,100,1539860865313
14,41,0,0,11,58.3,100,1539860865329
14,41,0,0,8,58.4,100,1539860911927
37,0,0,0,11,58.35,19,1539860937628
37,0,0,0,11,58.35,31,1539860946357
14,41,0,0,11,57.13,281,1539860958554
14,41,0,0,11,57.12,100,1539860958554
14,37,41,0,11,57.01,25,1539860958554
14,41,0,0,11,57,150,1539860958554
37,0,0,0,12,57.1,2,1539860958558
37,0,0,0,12,57,42,1539860967630
14,41,0,0,8,57.8,200,1539861259178
37,0,0,0,18,58.38,50,1539861466811
