c1,c2,c3,c4,e,p,s,t
25,41,0,0,12,16.24,1569,1539783000352
25,16,0,0,12,16.24,1569,1539783000352
14,37,41,0,12,15.99,3,1539783001769
14,37,41,0,12,16.3,7,1539783263761
37,0,0,0,4,16.87,1,1539783406411
37,0,0,0,4,16.31,8,1539783556827
37,0,0,0,4,16.3256,4,1539783826891
51,0,0,0,0,16.77,,1539783869662
0,0,0,0,4,16.77,100,1539783869662
14,37,41,0,19,16.79,4,1539783874369
37,0,0,0,12,16.77,40,1539783970602
37,0,0,0,18,16.8,30,1539783975573
0,0,0,0,12,16.75,100,1539783998513
14,37,41,0,8,16.5,36,1539783998514
0,0,0,0,12,16.53,100,1539783998514
37,0,0,0,12,16.53,40,1539783998514
37,0,0,0,12,16.5,36,1539783998514
37,0,0,0,12,16.5,60,1539783998514
37,0,0,0,8,16.5,64,1539783998514
14,37,41,0,12,16.5,40,1539783998515
14,41,0,0,12,16.5,100,1539783998515
14,41,0,0,12,16.51,100,1539783998520
14,41,0,0,12,16.5,136,1539783998520
14,41,0,0,11,16.49,100,1539783998520
25,16,0,0,11,16.49,100,1539783998520
0,0,0,0,4,16.53,100,1539783998524
14,41,0,0,12,16.34,100,1539783998529
0,0,0,0,12,16.33,100,1539783998529
37,0,0,0,15,16.39,10,1539783998529
0,0,0,0,12,16.33,100,1539783998529
0,0,0,0,19,16.33,100,1539783998530
0,0,0,0,12,16.33,100,1539783998530
14,37,41,0,12,16.32,10,1539783998530
14,41,0,0,8,16.32,100,1539783998530
14,41,0,0,10,16.33,100,1539783998530
0,0,0,0,10,16.33,100,1539783998530
0,0,0,0,8,16.32,100,1539783998530
14,41,0,0,11,16.33,100,1539783998911
0,0,0,0,4,16.47,100,1539783999234
14,41,0,0,11,16.49,100,1539783999236
0,0,0,0,4,16.67,100,1539784000235
37,0,0,0,4,16.22,11,1539784016160
37,0,0,0,4,16.2,7,1539784110468
37,0,0,0,4,16.2,1,1539784184477
37,0,0,0,18,16.44,10,1539784198778
37,0,0,0,4,16.2,1,1539784288917
51,0,0,0,0,16.2054,,1539784337957
0,0,0,0,4,16.2054,680,1539784337957
37,0,0,0,18,16.4,10,1539784349134
37,0,0,0,4,16.2,6,1539784461303
37,0,0,0,7,16.42,10,1539784499489
37,0,0,0,7,16.42,10,1539784649844
37,0,0,0,4,16.2,3,1539784666125
0,0,0,0,4,16.44,100,1539784729299
37,0,0,0,15,16.32,10,1539784730262
37,0,0,0,4,16.16,90,1539784730267
14,37,41,0,3,16.46,33,1539784773474
37,0,0,0,2,16.44,10,1539784778394
37,0,0,0,12,16.2,10,1539784787361
37,0,0,0,12,16.2,63,1539784787361
0,0,0,0,2,16.24,100,1539785157525
14,37,41,0,8,16.24,4,1539785225866
14,37,41,0,8,16.24,3,1539785356663
14,37,41,0,8,16.24,3,1539785470233
37,0,0,0,12,16.26,30,1539785521759
37,0,0,0,12,16.25,70,1539785521759
37,0,0,0,4,16.29,13,1539785521759
37,0,0,0,12,16.25,30,1539785521760
0,0,0,0,12,16.25,100,1539785521760
0,0,0,0,4,16.241,1784,1539785521762
14,41,0,0,12,16.25,100,1539785523742
14,41,0,0,12,16.25,200,1539785523742
0,0,0,0,12,16.25,100,1539785523742
14,41,0,0,3,16.25,100,1539785523743
14,41,0,0,12,16.24,100,1539785523743
14,37,41,0,12,16.24,13,1539785523743
0,0,0,0,11,16.24,100,1539785523743
14,41,0,0,8,16.24,100,1539785523743
0,0,0,0,12,16.22,100,1539785523743
0,0,0,0,12,16.26,100,1539785523743
14,37,41,0,10,16.23,36,1539785523744
14,41,0,0,12,16.24,100,1539785523744
14,37,41,0,12,16.23,30,1539785523744
14,37,41,0,12,16.24,30,1539785523744
14,37,41,0,18,16.24,30,1539785523745
14,37,41,0,18,16.24,70,1539785523746
0,0,0,0,12,16.25,100,1539785523755
14,41,0,0,3,16.27,100,1539785523756
14,37,41,0,12,16.27,30,1539785523756
14,37,41,0,12,16.29,50,1539785523756
14,37,41,0,8,16.27,10,1539785523756
14,37,41,0,19,16.27,10,1539785523756
37,0,0,0,19,16.26,82,1539785523759
14,37,41,0,19,16.26,18,1539785523759
14,37,41,0,12,16.25,30,1539785523763
14,37,41,0,12,16.25,60,1539785523763
14,37,41,0,12,16.25,10,1539785523763
37,0,0,0,12,16.25,10,1539785523763
14,37,41,0,12,16.29,3,1539785523854
0,0,0,0,15,16.29,100,1539785529864
37,0,0,0,4,16.16,21,1539785604089
14,37,41,0,12,16.26,45,1539785606985
14,37,41,0,12,16.3,2,1539785606985
51,0,0,0,0,16.2,,1539785649720
51,0,0,0,0,16.18,,1539785649720
14,41,0,0,12,16.21,100,1539785649720
14,41,0,0,12,16.21,100,1539785649720
14,41,0,0,12,16.2,500,1539785649720
14,37,41,0,18,16.2,37,1539785649720
37,0,0,0,18,16.2,37,1539785649720
0,0,0,0,12,16.18,100,1539785649720
0,0,0,0,4,16.22,100,1539785650425
14,37,41,0,12,16.17,28,1539785660161
14,37,41,0,12,16.16,41,1539785660161
51,0,0,0,0,16.16,,1539785660162
37,0,0,0,12,16.16,59,1539785660162
37,0,0,0,12,16.16,69,1539785660162
14,41,0,0,19,16.16,100,1539785660162
14,41,0,0,12,16.16,100,1539785660162
0,0,0,0,11,16.16,100,1539785660162
14,41,0,0,11,16.16,100,1539785660162
14,41,0,0,10,16.16,100,1539785660162
0,0,0,0,12,16.17,100,1539785660165
0,0,0,0,4,16.16,200,1539785660170
51,0,0,0,0,16.15,,1539785660178
14,41,0,0,18,16.16,100,1539785660178
14,41,0,0,12,16.15,139,1539785660178
14,41,0,0,12,16.15,280,1539785660178
14,37,41,0,12,16.15,20,1539785660178
