c1,c2,c3,c4,e,p,s,t
25,41,0,0,12,35.1,3726,1539783000427
25,16,0,0,12,35.1,3726,1539783000427
0,0,0,0,12,34.76,100,1539783000431
51,0,0,0,0,34.75,,1539783000751
0,0,0,0,12,34.75,100,1539783000751
37,0,0,0,19,34.75,12,1539783000751
51,0,0,0,0,36.185,,1539783019293
0,0,0,0,4,36.185,100,1539783019293
14,41,0,0,12,35.28,100,1539783024622
14,37,41,0,12,35.28,50,1539783024622
14,37,41,0,12,35.28,50,1539783024625
14,41,0,0,12,35.29,100,1539783024625
37,0,0,0,12,35.41,71,1539783024649
37,0,0,0,19,36.19,90,1539783024718
37,0,0,0,19,36.2,5,1539783024718
37,0,0,0,19,36.25,5,1539783024718
37,0,0,0,12,35.63,71,1539783024752
37,0,0,0,12,35.63,29,1539783033523
0,0,0,0,4,35.62,100,1539783033523
0,0,0,0,4,35.61,371,1539783033526
0,0,0,0,4,35.625,100,1539783033526
0,0,0,0,4,35.6101,600,1539783036084
37,0,0,0,4,35.8971,65,1539783036086
0,0,0,0,10,35.61,100,1539783040012
0,0,0,0,12,35.61,1116,1539783040013
0,0,0,0,12,35.61,900,1539783040013
14,37,41,0,12,34.55,94,1539783130042
14,37,41,0,19,34.67,14,1539783130042
37,0,0,0,4,34.42,23,1539783157890
37,0,0,0,4,35.73,77,1539783300288
37,0,0,0,12,35.175,19,1539783386354
37,0,0,0,4,35.93,1,1539783406422
0,0,0,0,12,35.9,121,1539783520584
0,0,0,0,12,35.63,100,1539783520584
14,37,41,0,12,35.765,81,1539783520584
14,37,41,0,12,35.9,19,1539783520584
0,0,0,0,12,35.9,182,1539783526805
14,41,0,0,2,35.92,100,1539783526805
14,41,0,0,12,35.9,100,1539783526805
14,41,0,0,12,35.9,261,1539783526805
14,37,41,0,12,35.92,39,1539783526805
37,0,0,0,12,35.92,61,1539783526805
37,0,0,0,12,35.92,82,1539783526805
37,0,0,0,12,35.92,39,1539783526805
0,0,0,0,2,35.8,100,1539783526805
14,41,0,0,2,35.92,100,1539783526805
14,41,0,0,12,35.92,100,1539783526805
0,0,0,0,2,35.92,100,1539783526805
14,41,0,0,17,35.92,100,1539783526805
0,0,0,0,17,35.92,100,1539783526805
0,0,0,0,11,35.92,100,1539783526805
25,16,0,0,11,35.92,100,1539783526805
0,0,0,0,12,35.92,139,1539783526805
14,41,0,0,19,35.92,100,1539783526805
14,41,0,0,18,35.92,100,1539783526805
14,41,0,0,8,35.92,100,1539783526805
14,41,0,0,12,35.92,100,1539783526805
14,41,0,0,10,35.92,100,1539783526805
14,37,41,0,12,35.93,21,1539783526805
37,0,0,0,12,35.93,9,1539783526805
0,0,0,0,19,35.92,100,1539783526805
37,0,0,0,12,35.93,9,1539783526805
0,0,0,0,12,35.93,100,1539783526805
14,41,0,0,19,35.92,100,1539783526805
0,0,0,0,18,35.92,100,1539783526805
14,41,0,0,8,35.92,100,1539783526805
0,0,0,0,19,35.92,100,1539783526805
14,41,0,0,18,35.92,100,1539783526805
0,0,0,0,8,35.92,100,1539783526806
0,0,0,0,3,35.92,100,1539783526806
14,41,0,0,11,35.92,100,1539783526806
