c1,c2,c3,c4,e,p,s,t
14,41,0,0,11,1.55,200,1538478027069
14,41,0,0,11,1.55,1700,1538478027069
0,0,0,0,4,1.55,2300,1538481608482
0,0,0,0,4,1.55,1100,1538481608494
0,0,0,0,4,1.54,400,1538481608500
14,37,41,0,11,1.55,20,1538485693698
0,0,0,0,11,1.55,1280,1538485871300
0,0,0,0,11,1.55,200,1538485871300
0,0,0,0,11,1.55,5000,1538485871300
37,0,0,0,11,1.55,20,1538485871300
0,0,0,0,11,1.55,8805,1538485871300
0,0,0,0,11,1.55,1600,1538485871300
0,0,0,0,11,1.56,1300,1538486147302
0,0,0,0,11,1.56,4000,1538486147302
0,0,0,0,11,1.56,5000,1538486147302
37,0,0,0,11,1.56,1,1538486147302
0,0,0,0,11,1.56,8700,1538486147302
51,0,0,0,0,1.55,,1538487000010
25,41,0,0,1,1.55,38183,1538487000010
25,16,0,0,1,1.55,38183,1538487000010
51,0,0,0,0,1.56,,1538487000059
0,0,0,0,1,1.56,400,1538487000059
0,0,0,0,1,1.56,400,1538487000071
0,0,0,0,1,1.56,200,1538487000074
0,0,0,0,1,1.56,200,1538487000074
14,41,0,0,1,1.56,133,1538487000076
14,41,0,0,1,1.56,2500,1538487000076
0,0,0,0,1,1.56,400,1538487003146
14,41,0,0,18,1.56,200,1538487024019
14,41,0,0,18,1.56,100,1538487024019
14,41,0,0,18,1.56,100,1538487024019
14,41,0,0,7,1.56,100,1538487024019
14,41,0,0,2,1.56,100,1538487024019
14,41,0,0,12,1.56,300,1538487024019
14,41,0,0,12,1.56,100,1538487024019
25,16,0,0,12,1.56,300,1538487024020
51,0,0,0,0,1.5697,,1538487037497
0,0,0,0,4,1.5697,5000,1538487037497
0,0,0,0,4,1.56,200,1538487038899
0,0,0,0,4,1.56,400,1538487038900
14,41,0,0,8,1.56,300,1538487044852
14,41,0,0,7,1.56,100,1538487044852
14,41,0,0,18,1.56,100,1538487044852
14,41,0,0,18,1.56,300,1538487044852
14,41,0,0,2,1.56,100,1538487044852
14,41,0,0,12,1.56,100,1538487044852
14,41,0,0,12,1.56,400,1538487044852
0,0,0,0,15,1.56,100,1538487044874
0,0,0,0,4,1.5602,100,1538487049792
0,0,0,0,4,1.565,100,1538487049900
0,0,0,0,15,1.565,100,1538487051509
0,0,0,0,4,1.5602,100,1538487051511
0,0,0,0,4,1.565,100,1538487051511
0,0,0,0,4,1.5602,100,1538487051511
0,0,0,0,4,1.56,3240,1538487061524
0,0,0,0,4,1.565,500,1538487061525
0,0,0,0,4,1.5601,1760,1538487061527
0,0,0,0,4,1.5601,5500,1538487061532
0,0,0,0,4,1.565,100,1538487063650
0,0,0,0,18,1.56,100,1538487063656
0,0,0,0,11,1.56,100,1538487063656
25,16,0,0,11,1.56,100,1538487063656
0,0,0,0,11,1.56,100,1538487063656
0,0,0,0,11,1.56,196,1538487063656
0,0,0,0,7,1.56,100,1538487063656
0,0,0,0,11,1.56,200,1538487063656
0,0,0,0,19,1.56,200,1538487063656
0,0,0,0,8,1.56,200,1538487063656
0,0,0,0,2,1.56,100,1538487063656
0,0,0,0,8,1.56,700,1538487063656
0,0,0,0,19,1.56,100,1538487063656
0,0,0,0,12,1.56,100,1538487063656
0,0,0,0,8,1.56,500,1538487063656
0,0,0,0,8,1.56,200,1538487063656
0,0,0,0,1,1.56,500,1538487063656
0,0,0,0,1,1.56,400,1538487063657
0,0,0,0,15,1.56,100,1538487063657
14,41,0,0,8,1.56,500,1538487063662
14,41,0,0,8,1.56,2200,1538487063662
14,41,0,0,11,1.56,500,1538487063662
14,41,0,0,11,1.56,100,1538487063662
37,0,0,0,4,1.56,13,1538487063665
0,0,0,0,4,1.5602,100,1538487065675
0,0,0,0,4,1.565,100,1538487065675
0,0,0,0,4,1.5602,100,1538487065682
0,0,0,0,4,1.5602,300,1538487065689
0,0,0,0,4,1.565,300,1538487065689
0,0,0,0,4,1.5602,100,1538487065690
14,41,0,0,11,1.56,500,1538487065695
14,41,0,0,10,1.56,200,1538487065695
0,0,0,0,10,1.56,200,1538487065695
14,41,0,0,8,1.56,500,1538487065695
37,0,0,0,19,1.56,13,1538487065696
0,0,0,0,4,1.565,100,1538487065766
0,0,0,0,4,1.565,100,1538487065791
0,0,0,0,15,1.565,300,1538487065825
0,0,0,0,4,1.561,300,1538487065827
0,0,0,0,11,1.56,200,1538487066405
0,0,0,0,11,1.56,200,1538487066405
0,0,0,0,8,1.56,300,1538487066405
0,0,0,0,4,1.56,100,1538487066406
0,0,0,0,4,1.56,100,1538487066406
0,0,0,0,4,1.56,100,1538487066407
14,41,0,0,8,1.56,200,1538487068218
14,41,0,0,8,1.56,500,1538487068218
0,0,0,0,1,1.56,400,1538487068218
14,41,0,0,1,1.56,600,1538487068219
14,41,0,0,18,1.56,100,1538487128034
14,41,0,0,18,1.56,100,1538487128034
14,41,0,0,19,1.56,100,1538487128034
14,41,0,0,8,1.56,2600,1538487128034
0,0,0,0,12,1.56,100,1538487128035
0,0,0,0,11,1.56,100,1538487129681
0,0,0,0,11,1.56,100,1538487129681
0,0,0,0,11,1.56,100,1538487129681
0,0,0,0,1,1.56,100,1538487129681
0,0,0,0,1,1.56,100,1538487150171
14,41,0,0,11,1.56,100,1538487150172
14,41,0,0,8,1.56,640,1538487150172
0,0,0,0,18,1.56,100,1538487150172
14,41,0,0,19,1.56,200,1538487150172
14,41,0,0,8,1.56,1000,1538487150172
0,0,0,0,7,1.56,100,1538487150172
0,0,0,0,18,1.56,100,1538487150172
0,0,0,0,2,1.56,100,1538487150172
14,41,0,0,12,1.56,100,1538487150172
14,41,0,0,12,1.56,100,1538487150172
0,0,0,0,1,1.56,160,1538487150173
0,0,0,0,12,1.56,700,1538487150173
14,41,0,0,12,1.56,100,1538487150174
0,0,0,0,12,1.56,100,1538487150175
0,0,0,0,12,1.56,500,1538487150176
0,0,0,0,11,1.56,600,1538487150219
0,0,0,0,11,1.56,100,1538487150219
0,0,0,0,19,1.56,300,1538487150220
0,0,0,0,8,1.555,2500,1538487150220
0,0,0,0,1,1.56,500,1538487150220
37,0,0,0,18,1.555,71,1538487150220
0,0,0,0,1,1.56,400,1538487150220
0,0,0,0,18,1.555,5929,1538487150220
37,0,0,0,15,1.555,71,1538487150220
0,0,0,0,4,1.56,100,1538487150220
0,0,0,0,4,1.56,100,1538487150220
0,0,0,0,4,1.565,100,1538487151682
0,0,0,0,4,1.565,100,1538487151686
0,0,0,0,11,1.56,600,1538487151687
0,0,0,0,7,1.56,100,1538487151687
0,0,0,0,11,1.56,100,1538487151687
0,0,0,0,11,1.56,100,1538487151687
0,0,0,0,1,1.56,400,1538487151687
0,0,0,0,1,1.56,100,1538487154444
37,0,0,0,4,1.565,7,1538487169712
37,0,0,0,4,1.565,7,1538487173726
0,0,0,0,18,1.56,100,1538487173748
0,0,0,0,2,1.56,100,1538487173748
0,0,0,0,4,1.5618,100,1538487173750
0,0,0,0,4,1.5617,100,1538487173751
0,0,0,0,4,1.56,100,1538487173756
0,0,0,0,19,1.56,100,1538487173757
0,0,0,0,8,1.56,100,1538487173757
0,0,0,0,11,1.56,100,1538487173757
0,0,0,0,11,1.56,100,1538487173757
0,0,0,0,4,1.5617,100,1538487173757
0,0,0,0,12,1.56,100,1538487173757
0,0,0,0,1,1.56,100,1538487173757
0,0,0,0,1,1.56,300,1538487173757
0,0,0,0,11,1.56,100,1538487173759
0,0,0,0,11,1.56,100,1538487173759
0,0,0,0,11,1.56,1100,1538487173759
0,0,0,0,4,1.5617,100,1538487173759
0,0,0,0,4,1.5618,100,1538487173760
0,0,0,0,11,1.56,100,1538487173760
0,0,0,0,11,1.56,100,1538487173760
0,0,0,0,11,1.56,300,1538487173760
0,0,0,0,4,1.5617,100,1538487173760
0,0,0,0,4,1.5617,100,1538487173761
0,0,0,0,4,1.5617,100,1538487173761
0,0,0,0,4,1.5617,100,1538487173761
0,0,0,0,4,1.5618,300,1538487173762
0,0,0,0,4,1.5615,100,1538487173762
0,0,0,0,4,1.5631,100,1538487173764
0,0,0,0,4,1.5631,100,1538487173764
0,0,0,0,4,1.5631,300,1538487173765
0,0,0,0,11,1.56,100,1538487173802
0,0,0,0,11,1.56,400,1538487173802
0,0,0,0,8,1.56,3847,1538487173802
0,0,0,0,18,1.56,100,1538487173802
0,0,0,0,12,1.56,1000,1538487173802
0,0,0,0,1,1.56,100,1538487173803
0,0,0,0,4,1.555,400,1538487173803
0,0,0,0,15,1.565,100,1538487174938
0,0,0,0,4,1.565,100,1538487174938
0,0,0,0,4,1.56,100,1538487176443
0,0,0,0,4,1.56,500,1538487176444
0,0,0,0,11,1.56,100,1538487176445
0,0,0,0,1,1.56,400,1538487176445
0,0,0,0,4,1.565,100,1538487177691
37,0,0,0,11,1.561,20,1538487186812
51,0,0,0,0,1.5698,,1538487190437
0,0,0,0,4,1.5698,100,1538487190437
0,0,0,0,4,1.56,3309,1538487220827
0,0,0,0,4,1.565,100,1538487221706
0,0,0,0,4,1.56,400,1538487223213
51,0,0,0,0,1.57,,1538487261827
0,0,0,0,18,1.57,300,1538487261827
0,0,0,0,18,1.57,400,1538487261828
0,0,0,0,18,1.57,100,1538487261828
0,0,0,0,4,1.5699,300,1538487261829
0,0,0,0,4,1.5699,400,1538487261830
0,0,0,0,4,1.5699,100,1538487261830
0,0,0,0,4,1.5699,200,1538487261831
0,0,0,0,18,1.565,100,1538487262969
0,0,0,0,18,1.565,300,1538487262970
0,0,0,0,18,1.57,300,1538487273868
0,0,0,0,18,1.565,100,1538487273870
0,0,0,0,4,1.5699,300,1538487273871
0,0,0,0,4,1.57,100,1538487273876
0,0,0,0,4,1.57,100,1538487273876
0,0,0,0,4,1.5699,100,1538487273877
0,0,0,0,3,1.57,300,1538487273877
0,0,0,0,1,1.57,200,1538487273878
0,0,0,0,4,1.5699,100,1538487273878
0,0,0,0,4,1.5699,300,1538487273880
0,0,0,0,4,1.5699,200,1538487273881
0,0,0,0,4,1.565,400,1538487275478
0,0,0,0,18,1.565,100,1538487276724
0,0,0,0,7,1.565,100,1538487276724
0,0,0,0,18,1.565,200,1538487276725
0,0,0,0,4,1.57,400,1538487277703
0,0,0,0,15,1.57,500,1538487277738
0,0,0,0,15,1.57,100,1538487277738
14,41,0,0,11,1.57,100,1538487277763
14,41,0,0,11,1.57,100,1538487277764
14,41,0,0,11,1.57,900,1538487277764
0,0,0,0,4,1.565,300,1538487278227
14,41,0,0,8,1.57,100,1538487279214
14,41,0,0,8,1.57,471,1538487279214
14,41,0,0,8,1.57,7600,1538487279221
0,0,0,0,4,1.57,100,1538487280411
14,41,0,0,11,1.57,900,1538487280465
0,0,0,0,11,1.57,700,1538487280465
14,41,0,0,11,1.57,100,1538487280468
14,41,0,0,11,1.57,500,1538487280468
14,41,0,0,11,1.57,400,1538487280468
14,41,0,0,11,1.57,200,1538487280468
14,41,0,0,11,1.57,100,1538487280468
14,41,0,0,11,1.57,100,1538487280468
14,41,0,0,11,1.57,1600,1538487280468
14,41,0,0,1,1.57,1000,1538487280468
0,0,0,0,1,1.57,100,1538487280571
0,0,0,0,4,1.565,1400,1538487280979
0,0,0,0,1,1.57,100,1538487281816
14,41,0,0,12,1.57,100,1538487282341
14,41,0,0,12,1.57,2100,1538487282341
14,41,0,0,12,1.57,100,1538487282341
14,41,0,0,12,1.57,100,1538487282341
0,0,0,0,1,1.57,100,1538487282450
0,0,0,0,11,1.57,100,1538487285639
0,0,0,0,11,1.57,100,1538487285639
0,0,0,0,11,1.57,100,1538487285639
0,0,0,0,4,1.57,993,1538487303016
0,0,0,0,4,1.57,300,1538487303016
0,0,0,0,18,1.565,100,1538487305739
0,0,0,0,4,1.56,200,1538487305745
0,0,0,0,4,1.565,500,1538487306024
0,0,0,0,4,1.565,100,1538487306053
0,0,0,0,19,1.565,100,1538487306125
0,0,0,0,4,1.565,300,1538487306719
0,0,0,0,18,1.565,100,1538487308022
0,0,0,0,4,1.57,48707,1538487308441
0,0,0,0,4,1.56,900,1538487308447
0,0,0,0,4,1.56,400,1538487308447
0,0,0,0,4,1.56,500,1538487308448
0,0,0,0,4,1.56,100,1538487308448
0,0,0,0,4,1.56,2400,1538487308448
0,0,0,0,4,1.56,100,1538487308448
0,0,0,0,4,1.56,100,1538487308449
0,0,0,0,4,1.56,100,1538487308449
0,0,0,0,4,1.56,100,1538487308449
0,0,0,0,2,1.56,100,1538487308451
0,0,0,0,2,1.56,100,1538487308451
