c1,c2,c3,c4,e,p,s,t
14,37,41,0,12,33.3,60,1539776517880
14,37,41,0,11,33,60,1539776517880
0,0,0,0,11,33.3,100,1539778612323
37,0,0,0,4,32.848,1,1539781405748
37,0,0,0,11,33.3,6,1539781733203
14,41,0,0,12,32.8,166,1539782117528
51,0,0,0,0,32.6,,1539783000357
25,41,0,0,12,32.6,5880,1539783000357
25,16,0,0,12,32.6,5880,1539783000357
10,32,41,0,4,32.6,100,1539783006276
10,32,41,0,4,32.6,100,1539783006486
51,0,0,0,0,32.59,,1539783011246
0,0,0,0,4,32.59,100,1539783011246
51,0,0,0,0,32.45,,1539783011248
51,0,0,0,0,32.43,,1539783011248
51,0,0,0,0,32.38,,1539783011248
14,41,0,0,12,32.45,100,1539783011248
14,41,0,0,12,32.43,100,1539783011248
14,41,0,0,12,32.43,100,1539783011248
14,41,0,0,12,32.38,300,1539783011248
14,41,0,0,19,32.45,100,1539783011248
14,37,41,0,19,32.38,62,1539783011248
51,0,0,0,0,32.77,,1539783013084
51,0,0,0,0,32.8,,1539783013084
0,0,0,0,15,32.59,400,1539783013084
0,0,0,0,15,32.59,300,1539783013084
0,0,0,0,15,32.77,100,1539783013084
0,0,0,0,15,32.8,600,1539783013084
0,0,0,0,4,32.59,100,1539783013145
0,0,0,0,4,32.405,100,1539783018810
0,0,0,0,4,32.38,200,1539783019207
0,0,0,0,4,32.385,100,1539783019912
0,0,0,0,4,32.4648,1000,1539783024465
14,41,0,0,18,32.42,100,1539783024649
0,0,0,0,4,32.38,100,1539783025285
14,41,0,0,18,32.38,100,1539783025725
14,41,0,0,12,32.38,100,1539783028117
51,0,0,0,0,32.36,,1539783028649
14,41,0,0,18,32.38,100,1539783028649
0,0,0,0,12,32.38,100,1539783028649
14,41,0,0,12,32.38,100,1539783028649
0,0,0,0,19,32.38,100,1539783028649
0,0,0,0,11,32.38,100,1539783028649
25,16,0,0,11,32.38,100,1539783028649
14,41,0,0,10,32.38,100,1539783028649
0,0,0,0,12,32.36,100,1539783028649
0,0,0,0,10,32.38,100,1539783028649
14,37,41,0,10,32.38,10,1539783028649
14,37,41,0,12,32.36,90,1539783028649
51,0,0,0,0,32.33,,1539783028650
37,0,0,0,12,32.36,10,1539783028650
0,0,0,0,19,32.33,100,1539783028650
14,41,0,0,19,32.335,100,1539783028727
14,41,0,0,19,32.335,100,1539783028727
0,0,0,0,4,32.33,100,1539783028736
0,0,0,0,4,32.33,300,1539783028738
0,0,0,0,15,32.335,562,1539783028803
0,0,0,0,15,32.335,638,1539783028803
14,41,0,0,12,32.33,100,1539783028806
0,0,0,0,12,32.33,100,1539783028806
0,0,0,0,12,32.33,100,1539783028806
14,41,0,0,11,32.33,100,1539783028806
51,0,0,0,0,32.27,,1539783029860
0,0,0,0,4,32.27,100,1539783029860
0,0,0,0,4,32.27,100,1539783029871
51,0,0,0,0,32.2,,1539783031577
51,0,0,0,0,32.19,,1539783031577
37,0,0,0,12,32.21,10,1539783031577
0,0,0,0,12,32.2,166,1539783031577
37,0,0,0,12,32.2,24,1539783031577
14,37,41,0,12,32.2,27,1539783031577
14,41,0,0,8,32.2,100,1539783031577
14,41,0,0,12,32.19,100,1539783031577
14,41,0,0,12,32.19,100,1539783031577
37,0,0,0,12,32.19,10,1539783031608
0,0,0,0,4,32.22,200,1539783033212
51,0,0,0,0,32.1,,1539783033848
0,0,0,0,18,32.1,100,1539783033848
0,0,0,0,12,32.19,100,1539783035937
0,0,0,0,12,32.19,100,1539783050752
0,0,0,0,4,32.2345,1000,1539783050860
14,41,0,0,12,32.19,100,1539783051510
0,0,0,0,4,32.105,100,1539783052674
14,41,0,0,12,32.19,100,1539783053201
0,0,0,0,2,32.1,100,1539783053311
0,0,0,0,4,32.1,100,1539783053687
0,0,0,0,4,32.1,100,1539783054181
0,0,0,0,4,32.1,100,1539783055277
14,41,0,0,12,32.19,100,1539783055369
14,41,0,0,12,32.19,100,1539783056075
14,41,0,0,12,32.19,100,1539783057186
0,0,0,0,12,32.19,100,1539783060022
0,0,0,0,4,32.1,100,1539783060183
0,0,0,0,12,32.19,100,1539783060684
0,0,0,0,12,32.19,100,1539783060963
0,0,0,0,12,32.19,100,1539783060963
0,0,0,0,4,32.1,100,1539783061186
37,0,0,0,12,32.19,90,1539783065968
0,0,0,0,4,32.1,100,1539783066100
37,0,0,0,4,32.1874,50,1539783068331
14,41,0,0,12,32.1,100,1539783069196
51,0,0,0,0,32.05,,1539783069197
37,0,0,0,19,32.08,10,1539783069197
0,0,0,0,12,32.05,100,1539783069197
0,0,0,0,8,32.05,100,1539783069197
0,0,0,0,4,32.1,100,1539783069199
51,0,0,0,0,32,,1539783069204
14,37,41,0,12,32.02,86,1539783069204
14,37,41,0,12,32,25,1539783069204
14,37,41,0,12,32,15,1539783069204
14,37,41,0,12,32,50,1539783069204
14,41,0,0,12,32,100,1539783069204
51,0,0,0,0,31.92,,1539783069205
0,0,0,0,12,31.92,100,1539783069205
14,37,41,0,12,31.85,24,1539783069205
0,0,0,0,4,32.09,100,1539783069206
37,0,0,0,4,31.8603,22,1539783069233
51,0,0,0,0,31.8882,,1539783069357
0,0,0,0,4,31.8882,125,1539783069357
51,0,0,0,0,31.64,,1539783120030
51,0,0,0,0,31.63,,1539783120030
14,41,0,0,19,31.64,100,1539783120030
37,0,0,0,12,31.63,20,1539783120030
37,0,0,0,12,31.63,40,1539783120030
0,0,0,0,19,31.63,100,1539783120030
37,0,0,0,7,31.63,10,1539783120030
0,0,0,0,12,31.63,100,1539783120031
51,0,0,0,0,31.6275,,1539783122029
0,0,0,0,4,31.6275,100,1539783122029
37,0,0,0,4,31.63,35,1539783125377
37,0,0,0,15,31.63,31,1539783125379
0,0,0,0,4,31.725,100,1539783125395
51,0,0,0,0,31.45,,1539783125557
0,0,0,0,4,31.45,147,1539783125557
37,0,0,0,12,31.45,69,1539783125557
0,0,0,0,12,31.45,100,1539783125557
37,0,0,0,4,31.4,24,1539783125580
0,0,0,0,4,31.4528,210,1539783125663
0,0,0,0,4,31.565,200,1539783125665
0,0,0,0,4,31.4511,125,1539783127220
37,0,0,0,3,31.42,50,1539783129001
37,0,0,0,4,31.401,50,1539783129002
51,0,0,0,0,31.4,,1539783129281
37,0,0,0,12,31.4,50,1539783129281
0,0,0,0,11,31.51,100,1539783129281
0,0,0,0,11,31.51,200,1539783129281
0,0,0,0,11,31.4,300,1539783129281
0,0,0,0,4,31.41,100,1539783129283
0,0,0,0,4,31.4005,100,1539783129287
0,0,0,0,11,31.4,100,1539783129351
0,0,0,0,11,31.4,100,1539783129351
14,37,41,0,12,31.36,43,1539783129351
14,37,41,0,11,31.36,92,1539783129352
51,0,0,0,0,31.29,,1539783129447
0,0,0,0,12,31.29,100,1539783129447
37,0,0,0,11,31.36,8,1539783129448
0,0,0,0,4,31.3745,220,1539783130330
0,0,0,0,4,31.3304,200,1539783131499
37,0,0,0,4,31.46,90,1539783135115
0,0,0,0,4,31.495,100,1539783139108
0,0,0,0,4,31.31,134,1539783145097
51,0,0,0,0,31.17,,1539783145116
51,0,0,0,0,31.14,,1539783145116
0,0,0,0,12,31.17,100,1539783145116
0,0,0,0,12,31.14,100,1539783145116
0,0,0,0,4,31.33,100,1539783162101
0,0,0,0,4,31.145,100,1539783162339
0,0,0,0,4,31.15,100,1539783162340
0,0,0,0,4,31.14,100,1539783162343
51,0,0,0,0,31.13,,1539783162355
0,0,0,0,4,31.13,400,1539783162355
0,0,0,0,4,31.145,100,1539783162449
0,0,0,0,4,31.13,600,1539783163360
0,0,0,0,4,31.13,100,1539783166026
0,0,0,0,4,31.13,100,1539783166145
0,0,0,0,15,31.2,100,1539783167888
0,0,0,0,4,31.1335,100,1539783167890
0,0,0,0,11,31.16,100,1539783167997
0,0,0,0,4,31.135,200,1539783169102
0,0,0,0,4,31.13,100,1539783169150
10,32,37,41,4,31.1462,1,1539783170280
10,32,37,41,4,31.1462,1,1539783170290
0,0,0,0,4,31.135,100,1539783174665
37,0,0,0,4,31.142,1,1539783176371
0,0,0,0,15,31.3,600,1539783179730
0,0,0,0,4,31.13,600,1539783182537
0,0,0,0,4,31.14,600,1539783182540
0,0,0,0,4,31.13,500,1539783182543
0,0,0,0,4,31.13,600,1539783182633
0,0,0,0,11,31.16,100,1539783182655
14,37,41,0,12,31.14,32,1539783183125
14,37,41,0,11,31.13,68,1539783183125
0,0,0,0,15,31.3,600,1539783183295
0,0,0,0,4,31.145,100,1539783183457
0,0,0,0,4,31.145,200,1539783183463
0,0,0,0,4,31.145,200,1539783183574
0,0,0,0,4,31.145,200,1539783183578
51,0,0,0,0,31.055,,1539783184022
0,0,0,0,4,31.055,100,1539783184022
0,0,0,0,4,31.055,200,1539783184024
0,0,0,0,4,31.055,200,1539783184089
