c1,c2,c3,c4,e,p,s,t
14,37,41,0,11,21.64,17,1539869401303
25,16,0,0,11,21.64,17,1539869401303
14,41,0,0,12,21.64,100,1539869401306
25,16,0,0,12,21.64,100,1539869401306
37,0,0,0,11,21.64,24,1539869401312
14,41,0,0,12,21.64,508,1539869401319
14,37,41,0,8,21.64,17,1539869401330
14,41,0,0,8,21.64,100,1539869401330
14,41,0,0,12,21.64,200,1539869401335
37,0,0,0,4,20.8865,74,1539869401344
14,37,41,0,12,21.5,23,1539869401348
14,37,41,0,19,21.64,23,1539869401348
37,0,0,0,12,21.5,60,1539869401348
51,0,0,0,0,21.49,,1539869401465
14,41,0,0,12,21.49,100,1539869401465
14,41,0,0,12,21.5,100,1539869401589
51,0,0,0,0,20.65,,1539869402135
51,0,0,0,0,20.89,,1539869402135
0,0,0,0,11,20.89,100,1539869402135
0,0,0,0,11,20.65,100,1539869402135
14,37,41,0,12,20.8,9,1539869402135
37,0,0,0,11,20.9,50,1539869402141
14,41,0,0,12,20.91,100,1539869402142
14,37,41,0,12,20.91,50,1539869402142
0,0,0,0,4,20.85,200,1539869402782
14,41,0,0,12,21.06,100,1539869403848
37,0,0,0,4,21.64,40,1539869404734
10,32,41,0,4,21.64,291,1539869404803
37,0,0,0,4,20,6,1539869405033
10,32,41,0,4,21.64,890,1539869405134
0,0,0,0,4,20.9,250,1539869405240
37,0,0,0,4,21.64,15,1539869405494
37,0,0,0,4,20.5,5,1539869405871
37,0,0,0,4,21.05,79,1539869407021
37,0,0,0,4,21.3171,15,1539869407023
14,37,41,0,12,21.41,1,1539869431527
0,0,0,0,4,21.41,100,1539869449333
0,0,0,0,4,21.44,450,1539869449333
0,0,0,0,4,21.246,500,1539869463965
0,0,0,0,4,21.2766,381,1539869469675
0,0,0,0,4,21.41,100,1539869475035
0,0,0,0,4,21.39,100,1539869475038
0,0,0,0,4,21.41,100,1539869475038
0,0,0,0,4,21.41,100,1539869475038
37,0,0,0,4,21.1949,20,1539869480355
0,0,0,0,4,21.1529,140,1539869480897
14,37,41,0,8,21.44,1,1539869480995
14,37,41,0,8,21.44,97,1539869480995
37,0,0,0,12,21.39,10,1539869480995
14,41,0,0,12,21.39,100,1539869480995
0,0,0,0,12,21.39,100,1539869480995
37,0,0,0,8,21.44,3,1539869480995
0,0,0,0,12,21.39,100,1539869480996
14,41,0,0,8,21.44,100,1539869480996
