c1,c2,c3,c4,e,p,s,t
37,0,0,0,11,160.11,3,1539778973177
14,37,41,0,11,160.16,50,1539779344907
37,0,0,0,4,158.8,10,1539781314917
37,0,0,0,4,158.8,18,1539781316551
14,37,41,0,11,159,10,1539781324946
37,0,0,0,11,159,90,1539781326978
37,0,0,0,4,159.94,2,1539781343597
14,37,41,0,12,159.94,11,1539782072023
37,0,0,0,11,159.89,39,1539782074918
37,0,0,0,11,159.9,11,1539782093318
37,0,0,0,11,159.74,3,1539782573107
37,0,0,0,11,159.74,50,1539782573107
51,0,0,0,0,157.05,,1539783140442
25,0,0,0,10,157.05,3050,1539783140442
37,0,0,0,4,155.03,5,1539783140448
14,37,41,0,12,156,1,1539783140520
25,16,0,0,12,156,1,1539783140520
37,0,0,0,10,157,70,1539783140520
14,37,41,0,10,156.46,18,1539783140560
14,37,41,0,12,157.05,13,1539783140560
14,37,41,0,10,156.46,7,1539783142076
14,37,41,0,10,156.46,3,1539783142078
14,37,41,0,11,154.01,6,1539783159018
25,16,0,0,11,154.01,6,1539783159018
14,37,41,0,12,156,3,1539783159018
14,37,41,0,12,156,1,1539783159018
51,0,0,0,0,154.01,,1539783159019
0,0,0,0,4,154.01,100,1539783159019
37,0,0,0,11,155.41,36,1539783159311
37,0,0,0,11,155.41,60,1539783159855
37,0,0,0,11,155.5,40,1539783159855
37,0,0,0,11,155.5,53,1539783159899
37,0,0,0,11,155.5,5,1539783174327
37,0,0,0,11,155.5,52,1539783189444
37,0,0,0,11,155.5,7,1539783189444
14,37,41,0,11,155.5,4,1539783189445
37,0,0,0,4,155,32,1539783245873
51,0,0,0,0,154,,1539783245876
0,0,0,0,4,154,100,1539783245876
0,0,0,0,4,154.07,100,1539783245877
0,0,0,0,4,154.01,100,1539783245877
0,0,0,0,4,154.03,100,1539783245878
0,0,0,0,4,154,100,1539783245879
0,0,0,0,4,154,100,1539783245880
37,0,0,0,4,154,27,1539783245880
14,37,41,0,12,155,20,1539783248962
14,37,41,0,12,154.94,71,1539783248962
14,37,41,0,12,154.94,29,1539783248962
14,41,0,0,12,155,100,1539783248962
14,37,41,0,10,155,5,1539783248962
0,0,0,0,4,154.05,100,1539783249842
0,0,0,0,4,154.005,100,1539783251835
0,0,0,0,11,154.22,100,1539783254564
0,0,0,0,11,154.2,100,1539783254564
0,0,0,0,4,154.005,100,1539783255622
0,0,0,0,11,154,100,1539783259013
14,37,41,0,10,154.75,16,1539783259013
51,0,0,0,0,153.561,,1539783259814
0,0,0,0,4,153.561,400,1539783259814
51,0,0,0,0,153.56,,1539783259830
0,0,0,0,10,153.56,100,1539783259830
0,0,0,0,4,153.56,100,1539783259905
0,0,0,0,4,153.56,100,1539783260126
0,0,0,0,10,153.56,100,1539783260218
14,41,0,0,10,153.56,100,1539783260340
0,0,0,0,4,153.56,100,1539783260384
0,0,0,0,4,153.56,100,1539783260707
0,0,0,0,4,153.57,100,1539783262963
37,0,0,0,12,154.68,1,1539783271595
14,37,41,0,12,154.68,99,1539783272140
14,37,41,0,12,154.68,1,1539783272140
37,0,0,0,4,154.31,60,1539783276910
37,0,0,0,4,154.315,40,1539783289902
0,0,0,0,4,154,100,1539783293049
0,0,0,0,4,154,100,1539783293252
37,0,0,0,4,155.0059,4,1539783297070
37,0,0,0,12,154.38,32,1539783316241
37,0,0,0,12,154,1,1539783316241
37,0,0,0,4,154.55,17,1539783340785
0,0,0,0,4,154.7918,300,1539783361715
37,0,0,0,12,154.69,1,1539783382717
37,0,0,0,10,153.59,2,1539783390770
37,0,0,0,10,153.56,14,1539783440609
14,37,41,0,12,154.8,24,1539783445806
14,37,41,0,11,153.58,4,1539783446332
14,37,41,0,10,153.56,96,1539783446332
37,0,0,0,11,153.75,35,1539783453170
37,0,0,0,11,153.75,33,1539783453171
0,0,0,0,11,154.38,100,1539783458923
10,2,41,0,4,153.9676,100,1539783517517
37,0,0,0,12,154.49,9,1539783552012
37,0,0,0,4,154.2949,9,1539783552015
37,0,0,0,10,154.45,5,1539783569289
37,0,0,0,10,154.48,3,1539783569289
37,0,0,0,10,154.47,5,1539783569290
37,0,0,0,10,154.51,3,1539783569290
37,0,0,0,10,154.51,5,1539783569290
14,41,0,0,10,154.51,100,1539783569291
14,41,0,0,12,154.45,100,1539783569291
14,37,41,0,12,154.47,30,1539783569291
14,37,41,0,12,154.49,70,1539783569291
0,0,0,0,4,154.33,200,1539783571656
0,0,0,0,11,154.59,100,1539783572558
0,0,0,0,11,154.64,100,1539783572558
0,0,0,0,10,154.58,100,1539783572558
37,0,0,0,10,154.6,65,1539783572558
37,0,0,0,10,154.63,35,1539783572558
37,0,0,0,10,154.63,92,1539783572558
37,0,0,0,10,154.64,8,1539783572558
14,37,41,0,12,154.49,21,1539783572559
37,0,0,0,10,154.6,5,1539783573059
37,0,0,0,10,154.64,95,1539783573059
14,37,41,0,11,154.64,5,1539783573059
14,37,41,0,11,154.65,95,1539783573059
37,0,0,0,11,154.65,5,1539783573059
14,37,41,0,10,154.64,1,1539783573059
14,41,0,0,12,155.05,100,1539783573338
14,41,0,0,12,155.2,100,1539783573338
14,37,41,0,12,155.2,80,1539783573338
14,37,41,0,12,155.05,20,1539783573338
0,0,0,0,4,155.025,100,1539783573339
37,0,0,0,12,155.05,80,1539783573339
0,0,0,0,4,155,100,1539783573339
0,0,0,0,4,155,100,1539783573341
14,41,0,0,8,155.07,100,1539783573885
0,0,0,0,4,155,100,1539783573894
0,0,0,0,4,155,320,1539783575420
0,0,0,0,4,154.76,200,1539783577157
37,0,0,0,4,155.0095,24,1539783592304
37,0,0,0,4,155,24,1539783592304
37,0,0,0,4,154.75,20,1539783602996
0,0,0,0,4,154,930,1539783642310
14,37,41,0,10,154.74,2,1539783695332
14,37,41,0,8,155,21,1539783763347
0,0,0,0,4,154.01,100,1539783771213
37,0,0,0,8,155,79,1539783805497
37,0,0,0,8,155,21,1539783805497
37,0,0,0,8,155,79,1539783805497
37,0,0,0,4,155,30,1539783809942
37,0,0,0,4,155,32,1539783824866
0,0,0,0,4,155,100,1539783824866
0,0,0,0,4,155.01,132,1539783824867
0,0,0,0,4,155.0195,132,1539783824868
37,0,0,0,4,155,10,1539783831628
37,0,0,0,4,155.03,10,1539783831628
37,0,0,0,4,155.0395,10,1539783831629
14,37,41,0,11,154.68,10,1539783857790
0,0,0,0,4,155,100,1539783860351
0,0,0,0,4,155.01,100,1539783860351
0,0,0,0,11,154.74,100,1539783863251
0,0,0,0,4,154.41,100,1539783863263
0,0,0,0,4,155.08,100,1539783863324
