c1,c2,c3,c4,e,p,s,t
14,41,0,0,11,30.54,100,1537517641126
14,41,0,0,11,30.54,100,1537522469794
37,0,0,0,11,30.54,10,1537527059957
0,0,0,0,11,30.49,100,1537527700675
0,0,0,0,11,30.49,100,1537527961670
0,0,0,0,11,30.49,100,1537528031412
0,0,0,0,11,30.49,200,1537528031412
14,41,0,0,11,30.49,100,1537528036650
14,41,0,0,11,30.49,326,1537528036650
14,37,41,0,11,30.39,33,1537528132581
14,41,0,0,8,30.36,100,1537528132583
14,41,0,0,8,30.25,367,1537528147993
14,37,41,0,11,30.26,34,1537529737828
14,41,0,0,8,30.25,283,1537529737829
14,41,0,0,8,30.25,150,1537529737829
14,37,41,0,8,30.07,33,1537529745629
37,0,0,0,4,30.2501,45,1537531200855
14,37,41,0,12,30.25,10,1537531202326
0,0,0,0,4,30.49,1000,1537531202743
0,0,0,0,4,30.39,100,1537531202750
0,0,0,0,4,30.25,3100,1537531202984
37,0,0,0,4,30.48,40,1537531204056
14,41,0,0,11,30.25,100,1537531266425
14,41,0,0,12,30.1,100,1537531517009
37,0,0,0,11,30.25,50,1537531726718
14,41,0,0,12,30.1,100,1537531766816
14,37,41,0,11,30.1,50,1537531767248
14,37,41,0,11,30.09,50,1537531767248
14,37,41,0,11,30.09,50,1537531767727
14,37,41,0,11,30.08,50,1537531767727
14,41,0,0,8,30.08,100,1537531768705
0,0,0,0,4,30.39,1000,1537531792263
37,0,0,0,4,30.3899,84,1537531829138
0,0,0,0,4,30.1001,2500,1537531935198
0,0,0,0,11,30.34,100,1537532621122
0,0,0,0,4,30.2,300,1537532648753
0,0,0,0,4,30.38,900,1537532683990
0,0,0,0,12,30.34,200,1537532769723
0,0,0,0,12,30.34,464,1537532769724
0,0,0,0,12,30.38,286,1537532769726
37,0,0,0,11,30.38,50,1537532769726
14,41,0,0,8,30.3,388,1537532839271
37,0,0,0,11,30.21,50,1537532839342
0,0,0,0,11,30.35,700,1537533032270
0,0,0,0,11,30.35,300,1537533032270
0,0,0,0,12,30.38,500,1537533203561
0,0,0,0,11,30.35,200,1537533231124
14,41,0,0,11,30.35,100,1537533489673
14,37,41,0,12,30.2,50,1537533658520
14,37,41,0,11,30.25,50,1537533658520
37,0,0,0,4,30.1,50,1537533726791
14,37,41,0,12,30.2,50,1537533727133
14,37,41,0,11,30.25,50,1537533727134
0,0,0,0,4,30.24,150,1537533727134
0,0,0,0,11,30.35,500,1537533744703
0,0,0,0,4,30.38,300,1537533772382
37,0,0,0,12,30.38,1,1537533789412
14,41,0,0,12,30.24,300,1537533917356
14,41,0,0,11,30.13,300,1537534133151
14,41,0,0,11,30.12,160,1537534133151
14,37,41,0,11,30.1,40,1537534133151
14,37,41,0,11,30.1,5,1537534141112
14,41,0,0,11,30.1,100,1537534141563
37,0,0,0,4,30.2,12,1537534153493
14,37,41,0,11,30.1,55,1537534159817
14,41,0,0,8,30.07,200,1537534159824
14,41,0,0,12,30.07,100,1537534159824
37,0,0,0,11,30.08,29,1537534159824
37,0,0,0,12,30.07,29,1537534159827
14,37,41,0,12,30.05,21,1537534159827
14,37,41,0,11,30.08,21,1537534159827
14,37,41,0,12,30.05,17,1537534159827
14,41,0,0,11,30,100,1537534160695
14,37,41,0,8,30,50,1537534161552
14,37,41,0,8,30,50,1537534161552
0,0,0,0,8,30,450,1537534161699
0,0,0,0,8,30,120,1537534161699
0,0,0,0,8,30,250,1537534161699
14,37,41,0,12,29.9,50,1537534161737
14,37,41,0,8,29.95,50,1537534161737
14,37,41,0,12,29.9,50,1537534165175
0,0,0,0,4,30,200,1537534183934
14,41,0,0,12,30,100,1537534197303
14,37,41,0,11,29.81,20,1537534201107
14,37,41,0,12,29.92,20,1537534205599
14,37,41,0,11,29.81,20,1537534360049
14,37,41,0,11,29.81,50,1537534360681
37,0,0,0,12,29.9,40,1537534375991
14,37,41,0,11,29.9,1,1537534381118
14,37,41,0,11,29.9,1,1537534381128
14,41,0,0,11,30,100,1537534421183
14,37,41,0,11,29.9,1,1537534441130
37,0,0,0,12,29.92,1,1537534471624
37,0,0,0,11,30,88,1537534471624
14,37,41,0,11,30.01,1,1537534471624
