c1,c2,c3,c4,e,p,s,t
51,0,0,0,0,139.04,1,1539821043277
14,37,41,0,11,133.2,80,1539860412063
14,41,0,0,12,133,100,1539860561073
14,37,41,0,8,133.35,50,1539860572863
37,0,0,0,11,133,50,1539861151954
37,0,0,0,11,133,50,1539861151954
0,0,0,0,11,133,100,1539861177496
0,0,0,0,11,133,200,1539861199418
0,0,0,0,11,133,100,1539861199421
37,0,0,0,11,132.02,20,1539861228095
37,0,0,0,8,133,10,1539861544053
14,41,0,0,11,132.02,100,1539862284903
14,41,0,0,11,132.01,400,1539862284904
14,37,41,0,11,132.01,80,1539862291699
14,37,41,0,11,132.01,20,1539862293634
14,41,0,0,11,132,400,1539862293634
37,0,0,0,11,132,10,1539862804602
0,0,0,0,11,132,190,1539862847512
37,0,0,0,11,132,69,1539862847512
37,0,0,0,11,132,40,1539862847512
14,41,0,0,11,132,200,1539863028949
14,41,0,0,11,132,100,1539863032243
0,0,0,0,11,132,200,1539863036016
0,0,0,0,11,132,300,1539863036016
37,0,0,0,11,132,20,1539863042311
37,0,0,0,11,132,10,1539863042314
37,0,0,0,11,132,20,1539863050170
14,37,41,0,8,131.75,20,1539863060456
14,41,0,0,8,131.5,500,1539863060456
14,37,41,0,11,131.75,70,1539863060459
37,0,0,0,12,131.5,90,1539863060459
14,37,41,0,12,131.5,70,1539863060459
37,0,0,0,12,131.2,20,1539863117272
0,0,0,0,4,131,200,1539864002150
0,0,0,0,4,132.5,150,1539864002156
0,0,0,0,4,131,100,1539864002158
0,0,0,0,4,131.36,250,1539864002160
37,0,0,0,4,131.8,8,1539864002160
0,0,0,0,4,132.5,100,1539864002168
0,0,0,0,4,131.36,100,1539864002171
0,0,0,0,4,132.5,100,1539864002180
37,0,0,0,4,131.18,45,1539864002189
0,0,0,0,4,132,200,1539864004560
37,0,0,0,4,131.18,10,1539864004560
37,0,0,0,11,132,20,1539864097327
0,0,0,0,4,132.5,150,1539864138087
37,0,0,0,11,132.49,80,1539864138821
37,0,0,0,11,132.5,10,1539864155375
14,41,0,0,12,134.99,100,1539864197765
37,0,0,0,11,132.9,10,1539864197765
37,0,0,0,11,133.62,50,1539864197765
37,0,0,0,11,133.7,40,1539864197765
37,0,0,0,8,133,40,1539864345544
37,0,0,0,8,133,60,1539864349861
37,0,0,0,18,132.51,30,1539864403457
0,0,0,0,18,132.41,100,1539864403457
0,0,0,0,18,132.4,100,1539864403457
0,0,0,0,19,132.25,200,1539864403466
0,0,0,0,19,132.25,800,1539864403466
0,0,0,0,12,132.25,300,1539864403466
0,0,0,0,12,132.25,1200,1539864403466
0,0,0,0,11,132.01,100,1539864403474
0,0,0,0,11,132,500,1539864403474
0,0,0,0,11,132,1670,1539864403474
0,0,0,0,4,132,700,1539864441879
14,41,0,0,11,132,100,1539864460349
0,0,0,0,4,132.8,125,1539864461820
0,0,0,0,11,132,200,1539864464928
0,0,0,0,4,132.8,100,1539864475575
14,37,41,0,11,132.6,20,1539864783336
37,0,0,0,12,132.55,40,1539865114170
37,0,0,0,12,132.55,10,1539865114170
37,0,0,0,12,132.55,50,1539865114170
14,37,41,0,12,132.5,20,1539865155480
37,0,0,0,4,132.5,50,1539865214791
37,0,0,0,11,132.4,15,1539865283450
0,0,0,0,11,132.35,165,1539865283450
14,37,41,0,12,132.5,40,1539865283630
14,37,41,0,12,132.5,20,1539865291367
14,37,41,0,12,132.5,40,1539865294624
14,41,0,0,12,132.55,100,1539865437098
14,37,41,0,12,132.55,4,1539865476235
14,41,0,0,12,132.55,100,1539865476235
14,37,41,0,12,132.55,50,1539865476235
14,37,41,0,12,132.54,1,1539865838097
14,41,0,0,12,132.54,100,1539865941467
14,37,41,0,12,132.54,49,1539865949596
14,41,0,0,12,132.54,351,1539865949597
14,37,41,0,12,132.54,49,1539865949597
14,37,41,0,12,132.54,51,1539865949597
14,37,41,0,12,132.54,60,1539865975277
14,41,0,0,12,132.54,100,1539865976500
14,41,0,0,12,132.54,100,1539865980629
37,0,0,0,11,132.35,6,1539865980989
14,37,41,0,12,132.54,89,1539865984317
14,37,41,0,12,132.54,11,1539865984317
14,37,41,0,12,132.54,50,1539865985222
14,37,41,0,12,132.54,39,1539865985246
37,0,0,0,11,132.5,61,1539866125672
37,0,0,0,11,132.5,39,1539866128707
14,41,0,0,11,132.56,150,1539866312620
14,41,0,0,11,132.5,100,1539866312620
37,0,0,0,4,133,3,1539867612254
37,0,0,0,4,133,11,1539867612254
37,0,0,0,4,132.95,1,1539867709857
37,0,0,0,4,132.6001,3,1539867719234
37,0,0,0,4,132.6001,1,1539867817564
14,41,0,0,11,132.6,100,1539867884899
14,37,41,0,12,132.94,5,1539867890111
14,41,0,0,11,132.6,600,1539867895544
0,0,0,0,11,132.6,300,1539867895544
14,41,0,0,11,132.6,200,1539867934237
14,41,0,0,11,132.6,300,1539867965109
0,0,0,0,11,132.6,500,1539867965109
14,41,0,0,8,132.6,150,1539867966801
14,37,41,0,8,132.6,50,1539867966801
14,41,0,0,11,132.6,100,1539867968657
14,37,41,0,8,132.6,50,1539867968676
14,37,41,0,8,132.5,50,1539867968677
14,37,41,0,11,132.6,1,1539867970579
0,0,0,0,11,132.6,199,1539867970582
14,41,0,0,8,132.5,100,1539867971268
37,0,0,0,8,132.5,50,1539867978134
14,37,41,0,8,132.4,50,1539867978146
14,41,0,0,8,132.4,100,1539867979145
14,37,41,0,11,132.35,29,1539867980196
14,37,41,0,11,132.35,71,1539867980196
14,37,41,0,11,132.35,29,1539867980813
14,37,41,0,11,132.21,71,1539867980813
37,0,0,0,8,132.26,25,1539867985332
14,37,41,0,11,132.2,13,1539867985332
14,37,41,0,11,132.2,12,1539867985333
14,41,0,0,11,132.2,500,1539868009962
37,0,0,0,4,132.4748,1,1539868024572
0,0,0,0,11,132.2,100,1539868059900
14,41,0,0,11,132.2,100,1539868081691
14,41,0,0,11,132.2,100,1539868085959
