c1,c2,c3,c4,e,p,s,t
37,0,0,0,11,7.28,30,1538479618352
37,0,0,0,8,7.41,4,1538485152650
37,0,0,0,8,7.53,1,1538485158424
37,0,0,0,8,7.53,6,1538486201417
37,0,0,0,8,7.27,5,1538486201420
37,0,0,0,8,7.27,3,1538486201420
37,0,0,0,8,7.27,1,1538486201420
0,0,0,0,11,6.97,120,1538486882605
0,0,0,0,12,7.24,100,1538486990063
0,0,0,0,11,7.24,100,1538486990063
51,0,0,0,0,7.29,,1538487000370
25,41,0,0,12,7.29,8203,1538487000370
25,16,0,0,12,7.29,8203,1538487000370
37,0,0,0,8,7.27,2,1538487001119
37,0,0,0,8,7.27,2,1538487001120
14,37,41,0,8,7.27,1,1538487001120
14,37,41,0,8,7.27,10,1538487001120
14,37,41,0,12,7.27,1,1538487001438
14,37,41,0,12,7.25,44,1538487001438
14,37,41,0,8,7.25,20,1538487001438
14,37,41,0,12,7.2,55,1538487001447
51,0,0,0,0,6.9439,,1538487006147
0,0,0,0,4,6.9439,100,1538487006147
37,0,0,0,4,6.93,25,1538487006151
37,0,0,0,4,6.93,71,1538487006279
51,0,0,0,0,6.9305,,1538487007378
0,0,0,0,4,6.9305,100,1538487007378
14,37,41,0,12,7.01,35,1538487030573
0,0,0,0,4,6.99,1000,1538487034157
37,0,0,0,4,6.9901,2,1538487039510
37,0,0,0,4,7.0301,5,1538487057239
0,0,0,0,11,7.2,100,1538487068400
25,16,0,0,11,7.2,100,1538487068400
37,0,0,0,11,7.16,35,1538487070081
0,0,0,0,19,7.155,100,1538487070469
37,0,0,0,11,7.19,11,1538487070469
37,0,0,0,11,7.2,89,1538487070469
0,0,0,0,19,7.2,100,1538487070469
37,0,0,0,11,7.2,11,1538487070469
37,0,0,0,11,7.2,11,1538487070469
37,0,0,0,12,7.25,1,1538487077199
37,0,0,0,12,7.255,99,1538487082377
37,0,0,0,12,7.3,1,1538487082377
0,0,0,0,12,7.255,100,1538487087001
51,0,0,0,0,7.3,,1538487089896
0,0,0,0,12,7.3,100,1538487089896
0,0,0,0,4,7.2101,400,1538487090364
0,0,0,0,4,7.29,100,1538487090377
0,0,0,0,4,7.2601,100,1538487094750
0,0,0,0,12,7.3,100,1538487098165
0,0,0,0,12,7.3,100,1538487098165
0,0,0,0,12,7.3,100,1538487098165
0,0,0,0,8,7.3,100,1538487107743
0,0,0,0,4,7.2999,200,1538487109960
0,0,0,0,8,7.3,300,1538487113159
37,0,0,0,4,7.2601,9,1538487123601
0,0,0,0,12,7.3,100,1538487125119
14,41,0,0,8,7.26,100,1538487127097
14,41,0,0,12,7.26,100,1538487127104
37,0,0,0,4,7.3,2,1538487136098
0,0,0,0,12,7.3,100,1538487137294
0,0,0,0,12,7.3,700,1538487140255
0,0,0,0,12,7.3,100,1538487142246
0,0,0,0,12,7.3,1568,1538487150911
37,0,0,0,12,7.3,31,1538487150911
0,0,0,0,12,7.3,100,1538487150911
0,0,0,0,12,7.3,100,1538487150911
0,0,0,0,12,7.3,356,1538487150911
14,41,0,0,12,7.3,100,1538487150911
0,0,0,0,12,7.3,878,1538487150911
14,41,0,0,7,7.3,100,1538487150911
14,41,0,0,19,7.295,200,1538487150911
14,41,0,0,8,7.3,100,1538487150911
14,41,0,0,8,7.3,100,1538487150911
14,41,0,0,8,7.3,200,1538487150911
0,0,0,0,4,7.285,100,1538487150911
0,0,0,0,4,7.3,200,1538487150913
37,0,0,0,12,7.3,8,1538487150913
37,0,0,0,4,7.3,20,1538487150913
0,0,0,0,4,7.3,100,1538487150967
0,0,0,0,4,7.2975,100,1538487151034
0,0,0,0,12,7.29,300,1538487153286
0,0,0,0,12,7.29,100,1538487153286
0,0,0,0,11,7.29,100,1538487153287
0,0,0,0,11,7.29,100,1538487153287
0,0,0,0,4,7.29,100,1538487153290
14,41,0,0,11,7.26,100,1538487154620
14,41,0,0,11,7.26,100,1538487154620
0,0,0,0,8,7.26,200,1538487154620
0,0,0,0,11,7.26,600,1538487154620
37,0,0,0,4,7.2409,75,1538487164698
0,0,0,0,12,7.26,100,1538487166251
14,37,41,0,12,7.28,37,1538487171379
0,0,0,0,4,7.28,100,1538487176077
14,37,41,0,12,7.28,63,1538487176077
14,37,41,0,12,7.31,37,1538487176077
0,0,0,0,4,7.2915,2000,1538487189080
51,0,0,0,0,7.355,,1538487189141
0,0,0,0,4,7.355,100,1538487189141
0,0,0,0,11,7.29,100,1538487191702
0,0,0,0,11,7.29,100,1538487191702
0,0,0,0,4,7.285,100,1538487191710
0,0,0,0,11,7.29,300,1538487195009
14,41,0,0,12,7.3,100,1538487195009
0,0,0,0,11,7.29,600,1538487195009
37,0,0,0,12,7.29,60,1538487195009
37,0,0,0,11,7.29,36,1538487195009
14,37,41,0,11,7.29,36,1538487195009
0,0,0,0,4,7.285,100,1538487195009
0,0,0,0,11,7.29,100,1538487195010
37,0,0,0,11,7.29,36,1538487195010
14,37,41,0,11,7.29,28,1538487195010
37,0,0,0,4,7.2901,9,1538487195610
37,0,0,0,12,7.31,60,1538487203043
0,0,0,0,12,7.3,100,1538487203043
0,0,0,0,12,7.3,240,1538487203043
37,0,0,0,12,7.3,60,1538487203043
0,0,0,0,12,7.3,100,1538487203043
0,0,0,0,12,7.3,100,1538487203043
0,0,0,0,12,7.3,100,1538487203043
14,41,0,0,8,7.3,100,1538487203044
0,0,0,0,12,7.3,100,1538487203044
0,0,0,0,12,7.3,100,1538487203044
14,41,0,0,12,7.3,100,1538487208238
0,0,0,0,4,7.3499,150,1538487215634
0,0,0,0,12,7.28,100,1538487216066
14,41,0,0,8,7.28,100,1538487216066
0,0,0,0,8,7.28,100,1538487216066
0,0,0,0,12,7.27,100,1538487221465
37,0,0,0,12,7.27,26,1538487221465
37,0,0,0,4,7.2501,13,1538487223531
0,0,0,0,12,7.25,100,1538487224166
14,41,0,0,12,7.25,100,1538487224167
0,0,0,0,4,7.25,100,1538487224170
0,0,0,0,4,7.25,500,1538487224171
14,41,0,0,18,7.16,100,1538487228100
37,0,0,0,4,7.13,3,1538487228117
0,0,0,0,4,7.1305,135,1538487237921
14,41,0,0,18,7.14,100,1538487238143
37,0,0,0,4,7.2999,1,1538487244400
0,0,0,0,4,7.25,200,1538487250172
37,0,0,0,4,7.25,25,1538487251530
0,0,0,0,4,7.185,100,1538487259714
0,0,0,0,4,7.185,100,1538487259714
0,0,0,0,4,7.185,100,1538487259715
0,0,0,0,4,7.185,100,1538487259718
0,0,0,0,4,7.185,100,1538487259718
0,0,0,0,4,7.22,100,1538487259721
0,0,0,0,4,7.22,100,1538487259722
0,0,0,0,4,7.22,100,1538487259722
0,0,0,0,4,7.22,100,1538487259836
0,0,0,0,4,7.205,100,1538487260027
0,0,0,0,4,7.205,100,1538487260027
0,0,0,0,4,7.19,100,1538487260029
0,0,0,0,4,7.22,100,1538487260031
0,0,0,0,11,7.16,100,1538487263117
0,0,0,0,4,7.22,100,1538487263118
0,0,0,0,4,7.22,100,1538487263369
0,0,0,0,4,7.22,100,1538487263371
0,0,0,0,12,7.16,100,1538487265179
0,0,0,0,12,7.18,100,1538487265179
0,0,0,0,4,7.2,100,1538487265179
0,0,0,0,4,7.2,100,1538487265179
0,0,0,0,4,7.22,100,1538487265179
0,0,0,0,12,7.21,100,1538487265180
0,0,0,0,19,7.21,100,1538487265180
0,0,0,0,12,7.22,100,1538487265180
0,0,0,0,12,7.22,100,1538487265180
0,0,0,0,12,7.22,100,1538487265180
0,0,0,0,12,7.22,100,1538487265180
0,0,0,0,8,7.22,100,1538487265180
0,0,0,0,8,7.22,100,1538487265180
0,0,0,0,11,7.22,100,1538487265180
0,0,0,0,11,7.22,100,1538487265180
14,41,0,0,12,7.26,100,1538487265186
0,0,0,0,4,7.2375,100,1538487265433
0,0,0,0,12,7.26,100,1538487265433
0,0,0,0,12,7.26,100,1538487265433
0,0,0,0,4,7.2375,100,1538487265434
0,0,0,0,4,7.25,100,1538487265434
0,0,0,0,12,7.21,100,1538487271561
0,0,0,0,12,7.2,100,1538487277835
0,0,0,0,12,7.2,100,1538487277836
14,41,0,0,11,7.2,100,1538487277836
0,0,0,0,12,7.2,100,1538487277836
14,41,0,0,18,7.22,100,1538487277846
0,0,0,0,12,7.24,100,1538487280318
0,0,0,0,8,7.24,100,1538487280318
0,0,0,0,11,7.24,100,1538487280318
0,0,0,0,11,7.24,100,1538487280318
14,41,0,0,4,7.24,300,1538487280326
14,41,0,0,4,7.25,100,1538487280326
0,0,0,0,12,7.26,100,1538487280327
0,0,0,0,4,7.245,100,1538487280627
0,0,0,0,4,7.2498,200,1538487280628
0,0,0,0,4,7.245,200,1538487280629
0,0,0,0,4,7.2498,100,1538487280632
0,0,0,0,4,7.2475,100,1538487280737
37,0,0,0,11,7.21,4,1538487286882
37,0,0,0,11,7.21,96,1538487289266
37,0,0,0,11,7.21,4,1538487289266
14,41,0,0,12,7.25,100,1538487289280
14,41,0,0,11,7.25,100,1538487289280
0,0,0,0,8,7.25,100,1538487289280
14,41,0,0,12,7.28,100,1538487289286
0,0,0,0,12,7.2,100,1538487304061
0,0,0,0,4,7.2599,900,1538487307584
37,0,0,0,4,7.2499,1,1538487318103
0,0,0,0,4,7.2451,2000,1538487318768
0,0,0,0,4,7.25,100,1538487318920
0,0,0,0,4,7.2499,2000,1538487322423
