c1,c2,c3,c4,e,p,s,t
51,0,0,0,0,50.97,12,1539734641880
0,0,0,0,11,51.25,238,1539767341253
14,41,0,0,11,51.73,112,1539768228734
14,41,0,0,11,51.69,100,1539770543004
14,41,0,0,11,51.69,100,1539770543004
0,0,0,0,11,51.74,100,1539770543240
14,37,41,0,11,51.74,50,1539771124349
14,37,41,0,11,51.71,50,1539771124349
37,0,0,0,11,51.73,50,1539774130276
14,41,0,0,8,51.53,200,1539775216189
14,41,0,0,8,51.52,200,1539775804279
14,37,41,0,8,51.53,75,1539775804279
14,37,41,0,8,51.53,5,1539775964546
37,0,0,0,11,51.5,10,1539776503779
0,0,0,0,11,51.45,200,1539776503779
14,41,0,0,8,51.4,100,1539776507311
37,0,0,0,11,51.43,10,1539776510016
0,0,0,0,4,51.5299,400,1539777609604
37,0,0,0,4,51.53,52,1539777609606
0,0,0,0,4,51.53,148,1539777609610
37,0,0,0,4,51.53,55,1539777609617
14,41,0,0,12,51.28,100,1539780017979
14,37,41,0,8,51.36,10,1539780028773
0,0,0,0,8,51.36,300,1539780030452
14,41,0,0,8,51.36,860,1539780031668
14,41,0,0,8,51.45,400,1539780062022
14,41,0,0,8,51.45,390,1539780062022
37,0,0,0,12,51.31,10,1539780265452
0,0,0,0,4,51.31,1200,1539780309140
37,0,0,0,4,51.25,1,1539781140516
37,0,0,0,4,51.45,1,1539781158963
37,0,0,0,4,51.25,20,1539781343849
37,0,0,0,4,51.25,25,1539781344229
37,0,0,0,4,51.25,2,1539781794580
14,41,0,0,11,51,100,1539781916252
14,41,0,0,11,51,100,1539781916252
14,37,41,0,11,50.9,10,1539781916252
14,37,41,0,8,51,1,1539781916253
14,37,41,0,12,51,1,1539781916253
37,0,0,0,4,51.45,50,1539781985272
0,0,0,0,4,51.2809,100,1539781996950
37,0,0,0,4,51.29,1,1539781996955
37,0,0,0,4,51.425,30,1539782065382
0,0,0,0,4,51.31,100,1539782081980
14,37,41,0,8,50.97,1,1539782823879
14,37,41,0,8,50.8,1,1539783005017
51,0,0,0,0,50.81,,1539783020958
25,0,0,0,10,50.81,37679,1539783020958
10,41,0,0,4,50.81,500,1539783020961
37,0,0,0,8,50.79,13,1539783020963
37,0,0,0,4,50.79,2,1539783020968
51,0,0,0,0,50.97,,1539783020998
0,0,0,0,4,50.97,100,1539783020998
51,0,0,0,0,50.79,,1539783021042
0,0,0,0,7,50.79,100,1539783021042
0,0,0,0,4,50.8,100,1539783021058
0,0,0,0,10,50.79,120,1539783021069
0,0,0,0,12,50.79,100,1539783021069
14,37,41,0,8,50.79,87,1539783021069
25,16,0,0,12,50.79,100,1539783021069
14,41,0,0,8,50.79,100,1539783021069
51,0,0,0,0,50.75,,1539783021080
0,0,0,0,10,50.75,680,1539783021080
14,37,41,0,10,50.75,41,1539783021080
0,0,0,0,12,50.75,100,1539783021080
14,37,41,0,8,50.75,25,1539783021080
0,0,0,0,8,50.75,100,1539783021099
0,0,0,0,12,50.75,100,1539783021099
51,0,0,0,0,50.74,,1539783021105
37,0,0,0,12,50.75,6,1539783021105
37,0,0,0,12,50.74,94,1539783021105
0,0,0,0,19,50.74,100,1539783021105
0,0,0,0,19,50.74,100,1539783021105
37,0,0,0,12,50.74,6,1539783021106
10,37,41,0,4,50.81,1,1539783021138
0,0,0,0,4,50.9,400,1539783021426
51,0,0,0,0,51.1,,1539783021473
0,0,0,0,4,51.1,100,1539783021473
0,0,0,0,4,50.8322,724,1539783022102
37,0,0,0,11,50.82,1,1539783035793
25,16,0,0,11,50.82,1,1539783035793
37,0,0,0,4,50.8121,6,1539783037394
37,0,0,0,4,50.8101,40,1539783038396
37,0,0,0,4,50.9,1,1539783043264
37,0,0,0,4,50.8717,75,1539783048149
37,0,0,0,11,50.81,50,1539783050968
0,0,0,0,4,50.81,100,1539783050969
37,0,0,0,15,50.81,2,1539783052366
37,0,0,0,4,50.81,20,1539783060128
0,0,0,0,4,50.8228,100,1539783061158
0,0,0,0,10,50.81,144,1539783062673
37,0,0,0,18,50.81,4,1539783062673
0,0,0,0,15,50.84,100,1539783062676
0,0,0,0,15,50.81,100,1539783062681
0,0,0,0,15,50.81,100,1539783062682
0,0,0,0,10,50.81,100,1539783062683
0,0,0,0,11,50.81,350,1539783062683
0,0,0,0,11,50.81,100,1539783062683
37,0,0,0,10,50.81,56,1539783062683
14,37,41,0,10,50.81,56,1539783062683
0,0,0,0,19,50.81,100,1539783062684
0,0,0,0,19,50.81,100,1539783062684
0,0,0,0,8,50.81,100,1539783062684
37,0,0,0,8,50.81,1,1539783062684
0,0,0,0,12,50.81,200,1539783062684
14,41,0,0,10,50.81,144,1539783062684
0,0,0,0,12,50.81,100,1539783062684
14,37,41,0,10,50.81,56,1539783062684
14,37,41,0,12,50.8,44,1539783062684
0,0,0,0,12,50.81,100,1539783062719
0,0,0,0,12,50.81,100,1539783062719
0,0,0,0,10,50.8,329,1539783062765
37,0,0,0,12,50.8,56,1539783062765
0,0,0,0,2,50.8,100,1539783062765
0,0,0,0,18,50.8,100,1539783062766
0,0,0,0,12,50.8,200,1539783062766
14,41,0,0,12,50.8,2000,1539783062766
