c1,c2,c3,c4,e,p,s,t
14,37,41,0,11,88.5,25,1539948745505
14,37,41,0,12,87.99,25,1539948745505
14,37,41,0,7,90.6,11,1539950044460
37,0,0,0,4,90.6,10,1539950402432
37,0,0,0,4,90,50,1539950403104
37,0,0,0,4,90.6,20,1539950407112
37,0,0,0,4,89.8299,8,1539950548001
37,0,0,0,11,88.65,50,1539951213247
0,0,0,0,11,88.55,700,1539951213247
37,0,0,0,4,89.79,50,1539952539088
14,41,0,0,11,88.55,100,1539952970236
14,41,0,0,11,88.25,200,1539952993052
14,41,0,0,11,88.06,100,1539952993053
14,41,0,0,12,88,100,1539952993054
37,0,0,0,11,87.75,50,1539952998315
14,37,41,0,12,88,1,1539953378407
0,0,0,0,11,87.97,100,1539953488956
0,0,0,0,11,88,100,1539953488956
14,37,41,0,12,88,99,1539953518144
14,41,0,0,12,88,100,1539953518144
14,37,41,0,12,88,1,1539953518144
14,37,41,0,12,88,99,1539953518144
14,41,0,0,12,88,100,1539953518144
14,41,0,0,12,88,151,1539953518144
0,0,0,0,12,87.99,100,1539953552800
0,0,0,0,12,88,100,1539953552800
37,0,0,0,12,88,49,1539953552801
14,41,0,0,19,87.99,100,1539953552801
0,0,0,0,19,88,100,1539953552806
14,41,0,0,19,88,100,1539953552807
37,0,0,0,11,88.45,25,1539953601002
37,0,0,0,4,87.1,1,1539953944362
37,0,0,0,12,88.01,7,1539953947694
37,0,0,0,4,87.09,1,1539953952461
37,0,0,0,4,88.81,1,1539954132328
37,0,0,0,4,88.5,50,1539954603059
37,0,0,0,4,88,11,1539954728367
37,0,0,0,4,88.85,29,1539954857981
37,0,0,0,11,88.5,30,1539955006953
14,37,41,0,12,88.19,20,1539955011783
14,37,41,0,12,88,51,1539955046809
37,0,0,0,4,88.05,1,1539955267067
37,0,0,0,8,87.55,10,1539955325603
14,37,41,0,12,87.1,1,1539955334890
37,0,0,0,11,87.09,1,1539955549651
37,0,0,0,11,87.09,10,1539955552091
0,0,0,0,11,86.5,120,1539955634859
37,0,0,0,11,86.5,80,1539955634859
14,37,41,0,8,86,6,1539955660937
37,0,0,0,11,85.99,20,1539955683920
37,0,0,0,11,86,80,1539955683920
0,0,0,0,12,86,100,1539955683920
0,0,0,0,11,85.2,100,1539955697502
37,0,0,0,11,85.49,8,1539955697502
37,0,0,0,11,85.5,92,1539955697502
14,37,41,0,11,84,12,1539955710243
0,0,0,0,11,85,200,1539955730262
14,37,41,0,11,85.84,29,1539955757547
14,41,0,0,11,85.85,1000,1539955757547
14,41,0,0,12,85.65,100,1539955757548
14,41,0,0,12,85.9,100,1539955757548
14,41,0,0,12,86,200,1539955757548
14,41,0,0,12,86,1571,1539955757548
37,0,0,0,12,85.75,1,1539955768868
0,0,0,0,11,84.7,100,1539955781017
0,0,0,0,12,85,200,1539955789831
14,37,41,0,11,84.23,25,1539955794959
14,41,0,0,12,85,150,1539955794959
14,37,41,0,12,84,25,1539955794959
0,0,0,0,11,83.99,100,1539955795065
14,41,0,0,11,83.99,200,1539955795077
14,41,0,0,11,83.99,100,1539955795077
14,41,0,0,11,84,100,1539955795077
0,0,0,0,12,83.51,100,1539955800080
51,0,0,0,0,83.99,,1539955800293
0,0,0,0,11,83.99,100,1539955800293
25,16,0,0,11,83.99,100,1539955800293
14,37,41,0,12,84,25,1539955800293
25,16,0,0,12,84,25,1539955800293
51,0,0,0,0,84,,1539955800294
0,0,0,0,11,83.99,100,1539955800294
14,41,0,0,12,84,100,1539955800294
14,41,0,0,11,83.99,116,1539955800294
14,41,0,0,11,83.99,300,1539955800317
14,41,0,0,11,84,100,1539955800318
51,0,0,0,0,85.06,,1539955800340
0,0,0,0,11,85.06,100,1539955800340
0,0,0,0,11,85.06,100,1539955800340
41,0,0,0,11,84.16,200,1539955800340
14,41,0,0,11,84.43,100,1539955800340
51,0,0,0,0,85.58,,1539955800341
51,0,0,0,0,85.59,,1539955800341
14,41,0,0,11,85.58,400,1539955800341
14,41,0,0,19,85.06,100,1539955800341
14,41,0,0,19,85.06,100,1539955800341
14,41,0,0,19,85.06,100,1539955800341
14,41,0,0,17,85.59,100,1539955800341
14,41,0,0,12,85.58,100,1539955800341
14,41,0,0,12,85.59,100,1539955800341
14,41,0,0,12,85.12,100,1539955800341
14,41,0,0,11,85.59,100,1539955800341
0,0,0,0,11,85.07,100,1539955800342
0,0,0,0,11,85.07,100,1539955800342
14,41,0,0,19,84.85,100,1539955800342
14,37,41,0,12,85.35,25,1539955800358
37,0,0,0,11,85.34,25,1539955800395
37,0,0,0,19,85.34,50,1539955800395
0,0,0,0,11,85.48,100,1539955800425
37,0,0,0,11,85.48,75,1539955800425
14,41,0,0,11,85.06,100,1539955800425
0,0,0,0,19,85.49,100,1539955800425
14,41,0,0,19,85.48,100,1539955800425
14,37,41,0,12,85.69,75,1539955800426
14,37,41,0,12,85.06,25,1539955800428
0,0,0,0,19,85.48,100,1539955800428
37,0,0,0,19,85.48,50,1539955800439
0,0,0,0,19,85.06,100,1539955800439
0,0,0,0,19,85.06,100,1539955800439
14,41,0,0,12,85.48,100,1539955800442
14,41,0,0,12,85.19,100,1539955800444
14,41,0,0,19,85.06,229,1539955800444
0,0,0,0,19,85.48,171,1539955800458
14,37,41,0,19,85.06,29,1539955800473
0,0,0,0,19,85.27,100,1539955800494
0,0,0,0,19,85.27,100,1539955800547
51,0,0,0,0,85.73,,1539955800634
51,0,0,0,0,85.74,,1539955800634
14,41,0,0,12,85.73,800,1539955800634
14,41,0,0,12,85.73,100,1539955800634
14,41,0,0,12,85.74,100,1539955800634
0,0,0,0,11,85.27,100,1539955801085
0,0,0,0,19,85.27,100,1539955801086
14,37,41,0,11,85.27,71,1539955801086
14,37,41,0,11,85.27,4,1539955801086
0,0,0,0,19,85.27,100,1539955801086
0,0,0,0,12,85.28,100,1539955801086
14,41,0,0,12,85.28,100,1539955801086
14,41,0,0,12,85.27,100,1539955801086
14,41,0,0,12,85.27,100,1539955801086
14,41,0,0,12,85.27,125,1539955801087
14,41,0,0,12,85.27,200,1539955802494
14,41,0,0,12,85.27,100,1539955802494
14,37,41,0,12,85.27,47,1539955802494
51,0,0,0,0,85.76,,1539955803515
0,0,0,0,8,85.76,100,1539955803515
37,0,0,0,12,85.27,28,1539955805021
37,0,0,0,12,85.06,75,1539955805021
0,0,0,0,12,85.06,100,1539955805021
0,0,0,0,19,84.85,100,1539955805064
0,0,0,0,11,84.85,100,1539955805064
0,0,0,0,11,84.85,100,1539955805066
14,41,0,0,12,85.07,100,1539955806270
14,37,41,0,12,84.91,50,1539955806270
14,41,0,0,12,84.85,100,1539955806270
14,41,0,0,12,84.85,300,1539955806270
37,0,0,0,19,84.64,50,1539955806270
0,0,0,0,19,84.88,100,1539955821033
0,0,0,0,19,84.75,100,1539955821033
0,0,0,0,19,84.8,100,1539955831028
0,0,0,0,19,84.64,100,1539955831028
0,0,0,0,19,84.64,150,1539955831028
14,37,41,0,11,84.71,50,1539955831028
14,37,41,0,11,84.64,50,1539955831029
14,41,0,0,12,84.64,100,1539955831029
14,37,41,0,12,84.64,50,1539955831029
0,0,0,0,11,85.5,100,1539955833986
0,0,0,0,11,85.5,100,1539955833986
0,0,0,0,12,85.5,100,1539955833986
0,0,0,0,11,85.5,100,1539955833986
0,0,0,0,11,85.5,100,1539955833986
0,0,0,0,11,85.5,100,1539955833986
0,0,0,0,11,85.5,100,1539955833986
0,0,0,0,19,85.5,100,1539955833986
0,0,0,0,8,85.5,100,1539955833986
0,0,0,0,12,85.5,100,1539955833986
0,0,0,0,12,85.5,100,1539955833986
0,0,0,0,12,85.5,100,1539955833986
0,0,0,0,11,85.5,100,1539955833988
0,0,0,0,12,85.5,100,1539955833991
0,0,0,0,12,85.5,100,1539955833991
0,0,0,0,12,85.5,100,1539955833992
0,0,0,0,12,85.5,100,1539955833993
37,0,0,0,12,85.68,90,1539955834100
0,0,0,0,12,85.69,100,1539955834100
51,0,0,0,0,85.9,,1539955834527
0,0,0,0,12,85.9,100,1539955834527
0,0,0,0,11,85.6,100,1539955835011
0,0,0,0,11,85.5,100,1539955835011
0,0,0,0,11,85.5,500,1539955835011
0,0,0,0,11,85.5,212,1539955835011
0,0,0,0,12,85.5,100,1539955835011
0,0,0,0,12,85.5,112,1539955835011
0,0,0,0,12,85.5,400,1539955835011
0,0,0,0,12,85.5,100,1539955835012
14,37,41,0,12,85.5,10,1539955835012
0,0,0,0,12,85.58,100,1539955835702
0,0,0,0,11,85.5,200,1539955835702
0,0,0,0,12,85.57,100,1539955835702
37,0,0,0,12,85.5,12,1539955835702
37,0,0,0,11,85.5,12,1539955835702
0,0,0,0,11,85.5,200,1539955840013
37,0,0,0,11,85.5,88,1539955840013
37,0,0,0,11,85.5,76,1539955840013
0,0,0,0,12,85.5,200,1539955840013
37,0,0,0,12,85.5,12,1539955840013
0,0,0,0,12,85.5,200,1539955840013
14,41,0,0,12,85.5,200,1539955840014
0,0,0,0,11,85.5,200,1539955845009
37,0,0,0,12,85.51,59,1539955845010
0,0,0,0,12,85.5,100,1539955845010
0,0,0,0,12,85.88,118,1539955846928
14,41,0,0,11,85.5,200,1539955847781
14,41,0,0,11,85.5,1366,1539955847781
14,41,0,0,11,85.5,434,1539955847781
14,41,0,0,11,85.5,100,1539955848873
0,0,0,0,19,85.5,100,1539955849240
0,0,0,0,19,85.5,100,1539955849791
0,0,0,0,11,85.5,200,1539955850009
0,0,0,0,12,85.55,100,1539955850010
0,0,0,0,19,85.5,211,1539955850010
0,0,0,0,12,85.5,111,1539955850010
0,0,0,0,8,85.5,100,1539955850010
37,0,0,0,12,85.51,59,1539955850701
0,0,0,0,11,85.5,200,1539955855009
0,0,0,0,11,85.5,210,1539955855009
0,0,0,0,19,85.5,210,1539955855009
0,0,0,0,8,85.5,100,1539955855009
0,0,0,0,11,85.5,200,1539955863438
0,0,0,0,11,85.5,200,1539955864698
0,0,0,0,11,85.55,100,1539955895702
0,0,0,0,11,85.55,101,1539955905944
37,0,0,0,11,85.5,99,1539955905944
0,0,0,0,11,85.5,101,1539955905944
0,0,0,0,11,85.5,100,1539955905944
0,0,0,0,11,85.5,100,1539955905946
0,0,0,0,8,85.5,100,1539955906300
0,0,0,0,11,85.5,100,1539955911134
37,0,0,0,11,85.5,10,1539955911302
0,0,0,0,11,85.43,100,1539955911302
0,0,0,0,19,85.47,100,1539955911302
0,0,0,0,8,85.47,100,1539955911302
0,0,0,0,12,85.48,100,1539955911302
0,0,0,0,12,85.5,100,1539955911302
0,0,0,0,11,85.5,100,1539955911303
0,0,0,0,12,85.55,100,1539955913077
0,0,0,0,11,85.56,100,1539955913077
14,41,0,0,12,85.56,100,1539955919543
