c1,c2,c3,c4,e,p,s,t
0,0,0,0,11,39.5,200,1539949906064
0,0,0,0,11,39.75,200,1539950347133
0,0,0,0,4,40.5,120,1539952181776
37,0,0,0,4,39.3,1,1539954104258
25,41,0,0,12,39.32,5239,1539955800720
25,16,0,0,12,39.32,5239,1539955800720
51,0,0,0,0,40.3273,,1539955811695
0,0,0,0,4,40.3273,500,1539955811695
51,0,0,0,0,40.4624,,1539955821230
0,0,0,0,4,40.4624,1000,1539955821230
0,0,0,0,4,39.41,300,1539955824043
14,37,41,0,18,39.51,13,1539955832328
14,37,41,0,18,40.27,1,1539955832622
14,41,0,0,11,39.48,100,1539955875445
25,16,0,0,11,39.48,100,1539955875445
37,0,0,0,19,39.48,27,1539955875445
0,0,0,0,4,39.49,100,1539955875446
0,0,0,0,4,39.5,100,1539955875447
37,0,0,0,12,39.41,10,1539955876345
51,0,0,0,0,39.31,,1539955876346
37,0,0,0,11,39.31,90,1539955876346
0,0,0,0,11,39.31,910,1539955876346
0,0,0,0,4,39.5,100,1539955876346
0,0,0,0,11,39.31,100,1539955876347
0,0,0,0,15,39.5,100,1539955876348
0,0,0,0,4,39.5,200,1539955876348
0,0,0,0,4,39.465,200,1539955876348
37,0,0,0,4,39.525,4,1539955877170
51,0,0,0,0,39.25,,1539955880854
14,41,0,0,11,39.31,200,1539955880854
14,37,41,0,12,39.25,20,1539955880854
14,41,0,0,11,39.25,300,1539955880854
51,0,0,0,0,39.2,,1539955880855
51,0,0,0,0,39.15,,1539955880855
14,41,0,0,12,39.2,150,1539955880855
14,41,0,0,12,39.15,200,1539955880855
0,0,0,0,4,39.41,100,1539955880855
0,0,0,0,11,39.25,100,1539955880855
51,0,0,0,0,39.12,,1539955880856
14,41,0,0,11,39.15,200,1539955880856
14,41,0,0,19,39.17,100,1539955880856
14,41,0,0,12,39.12,130,1539955880856
51,0,0,0,0,39.1,,1539955880857
51,0,0,0,0,39.02,,1539955880857
51,0,0,0,0,39,,1539955880857
14,41,0,0,19,39.1,200,1539955880857
0,0,0,0,4,39.25,100,1539955880857
14,41,0,0,12,39.02,100,1539955880857
14,41,0,0,12,39,300,1539955880857
14,37,41,0,8,39,5,1539955880857
0,0,0,0,17,39.01,300,1539955880857
14,41,0,0,11,39,300,1539955880857
14,41,0,0,10,39,100,1539955880858
14,41,0,0,9,39,100,1539955880858
14,41,0,0,1,39,100,1539955880858
51,0,0,0,0,38.92,,1539955880860
51,0,0,0,0,38.91,,1539955880860
14,41,0,0,17,38.92,100,1539955880860
14,41,0,0,3,38.92,100,1539955880860
14,41,0,0,7,38.91,100,1539955880860
51,0,0,0,0,38.88,,1539955880861
51,0,0,0,0,38.58,,1539955880861
14,41,0,0,2,38.88,100,1539955880861
14,41,0,0,19,38.58,100,1539955880861
14,41,0,0,11,38.58,395,1539955880862
0,0,0,0,4,39.5,600,1539955880863
0,0,0,0,4,39.04,100,1539955881679
37,0,0,0,12,39.05,25,1539955881679
37,0,0,0,12,39,1,1539955881679
0,0,0,0,4,39.26,100,1539955881680
0,0,0,0,4,39.135,100,1539955881681
0,0,0,0,4,39.255,100,1539955881681
0,0,0,0,4,39.135,100,1539955881683
0,0,0,0,4,39.135,100,1539955882116
0,0,0,0,4,39.215,100,1539955882540
0,0,0,0,4,39.215,100,1539955882540
0,0,0,0,4,39.215,100,1539955882540
