c1,c2,c3,c4,e,p,s,t
25,0,0,0,10,53.62,10051,1539955800855
14,37,41,0,11,53.8,40,1539955803020
37,0,0,0,19,53.91,98,1539955807016
37,0,0,0,19,54.3,4,1539955812985
37,0,0,0,19,54.3,1,1539955832604
14,37,41,0,11,53.92,25,1539955910807
37,0,0,0,19,54.01,2,1539955920117
0,0,0,0,8,53.84,100,1539955920390
37,0,0,0,8,53.81,29,1539955920390
51,0,0,0,0,54.125,,1539955922594
0,0,0,0,10,54.125,100,1539955922594
14,37,41,0,19,53.98,28,1539955922594
14,37,41,0,12,53.99,22,1539955922595
14,37,41,0,12,53.99,56,1539955922595
14,37,41,0,19,53.99,28,1539955922595
25,16,0,0,12,53.99,22,1539955922595
14,41,0,0,11,53.99,100,1539955922595
14,41,0,0,19,53.99,100,1539955922595
0,0,0,0,11,54.03,100,1539955927023
0,0,0,0,19,53.88,100,1539955927026
0,0,0,0,19,53.85,100,1539955927026
0,0,0,0,12,54.02,100,1539955928535
37,0,0,0,15,53.915,10,1539955930187
0,0,0,0,4,53.81,100,1539955930190
0,0,0,0,4,53.8,100,1539955930190
37,0,0,0,12,53.83,90,1539955930190
0,0,0,0,10,53.915,100,1539955931316
0,0,0,0,8,53.8,100,1539955933929
14,37,41,0,11,53.84,3,1539955933929
0,0,0,0,12,53.8,100,1539955933929
14,37,41,0,11,53.8,60,1539955933929
14,37,41,0,11,53.8,25,1539955933929
0,0,0,0,12,53.8,100,1539955933929
14,37,41,0,11,53.8,3,1539955933929
14,41,0,0,12,53.8,100,1539955933929
14,41,0,0,12,53.8,100,1539955933929
0,0,0,0,12,53.8,100,1539955933929
14,41,0,0,12,53.8,100,1539955933929
0,0,0,0,12,53.8,100,1539955933929
14,37,41,0,12,53.8,64,1539955933929
14,41,0,0,12,53.8,100,1539955933929
14,41,0,0,10,53.75,100,1539955933929
0,0,0,0,12,53.8,100,1539955933929
14,41,0,0,8,53.8,100,1539955933929
37,0,0,0,12,53.8,15,1539955933929
37,0,0,0,12,53.8,85,1539955933929
37,0,0,0,12,53.8,15,1539955933929
37,0,0,0,12,53.8,85,1539955933929
37,0,0,0,12,53.8,15,1539955933929
14,37,41,0,12,53.8,50,1539955933929
