c1,c2,c3,c4,e,p,s,t
37,0,0,0,8,159.64,10,1539955473607
37,0,0,0,8,159.63,1,1539955775174
37,0,0,0,8,157.5,1,1539955775174
37,0,0,0,8,156.5,8,1539955775174
37,0,0,0,8,156.5,1,1539955775174
14,37,41,0,11,157.05,15,1539955775174
51,0,0,0,0,153.45,,1539955800396
25,41,0,0,12,153.45,3738,1539955800396
25,16,0,0,12,153.45,3738,1539955800396
37,0,0,0,8,155.5,50,1539955800458
37,0,0,0,8,155.01,50,1539955800458
37,0,0,0,4,155.0001,1,1539955813722
37,0,0,0,4,155.0001,1,1539955813723
14,37,41,0,12,157.5,16,1539955831760
14,37,41,0,12,155.65,2,1539955831760
37,0,0,0,12,155.77,15,1539955856053
37,0,0,0,8,155.41,50,1539955867392
37,0,0,0,12,155.11,50,1539955924965
37,0,0,0,4,155.0001,55,1539956003099
37,0,0,0,8,155.3,50,1539956009889
37,0,0,0,8,155.02,4,1539956009889
37,0,0,0,4,155.0001,25,1539956022695
51,0,0,0,0,159.9,,1539956042300
0,0,0,0,4,159.9,100,1539956042300
0,0,0,0,11,156.75,100,1539956108972
25,16,0,0,11,156.75,100,1539956108972
0,0,0,0,12,156.75,100,1539956108974
0,0,0,0,4,159.05,100,1539956109014
0,0,0,0,4,159.37,100,1539956109030
14,37,41,0,18,156.75,4,1539956109067
37,0,0,0,18,156.75,54,1539956109067
37,0,0,0,8,156.75,62,1539956109067
37,0,0,0,8,156.75,62,1539956109067
0,0,0,0,11,156.76,100,1539956109068
0,0,0,0,11,156.75,100,1539956109068
37,0,0,0,12,158.92,12,1539956112229
37,0,0,0,4,156.8059,11,1539956124658
37,0,0,0,12,155.51,4,1539956136132
37,0,0,0,4,158.18,49,1539956140783
37,0,0,0,12,155.75,6,1539956161005
37,0,0,0,4,155,50,1539956175291
0,0,0,0,4,157.9203,800,1539956180394
37,0,0,0,4,156.9999,25,1539956194478
14,37,41,0,12,156.87,8,1539956197887
14,37,41,0,12,156.99,50,1539956197887
14,41,0,0,12,157.05,100,1539956197887
14,41,0,0,8,157,100,1539956197887
37,0,0,0,3,156.9,50,1539956197888
14,37,41,0,11,157.97,73,1539956197888
14,37,41,0,11,157.97,27,1539956197888
14,37,41,0,11,158.02,26,1539956197888
14,37,41,0,11,158.02,74,1539956197888
