c1,c2,c3,c4,e,p,s,t
14,41,0,0,11,33,100,1539947791334
0,0,0,0,11,33,100,1539947800356
14,41,0,0,11,33,100,1539947814129
14,41,0,0,11,33,100,1539949896646
14,41,0,0,12,33.5,5000,1539953634166
14,37,41,0,12,33.44,5,1539954003466
0,0,0,0,12,33.55,100,1539954352460
0,0,0,0,8,33.5,500,1539954359107
37,0,0,0,4,33.5736,1,1539954615216
14,37,41,0,12,33.69,1,1539954677748
37,0,0,0,8,33.7,1,1539954975538
14,37,41,0,12,34,10,1539955459366
14,41,0,0,12,34,190,1539955459366
37,0,0,0,11,33.87,1,1539955720052
37,0,0,0,11,33.89,4,1539955720052
0,0,0,0,11,33.9,100,1539955720052
14,37,41,0,12,33.33,5,1539955774803
0,0,0,0,12,34,200,1539955799063
0,0,0,0,12,34,200,1539955799063
0,0,0,0,12,34,300,1539955799063
0,0,0,0,12,34,300,1539955799063
0,0,0,0,12,34,200,1539955799063
0,0,0,0,12,33.99,100,1539955800018
0,0,0,0,12,34,846,1539955800018
51,0,0,0,0,34,,1539955800041
25,41,0,0,12,34,32029,1539955800041
25,16,0,0,12,34,32029,1539955800041
14,41,0,0,12,34,100,1539955800042
0,0,0,0,12,34,100,1539955800042
14,41,0,0,12,34,100,1539955800042
14,41,0,0,12,34,100,1539955800042
0,0,0,0,8,34,500,1539955800042
14,37,41,0,8,34,6,1539955800042
0,0,0,0,11,34,2000,1539955800062
25,16,0,0,11,34,2000,1539955800062
14,41,0,0,12,34,100,1539955800066
14,41,0,0,12,34,100,1539955800091
14,41,0,0,12,34,200,1539955800091
14,41,0,0,12,34,200,1539955800178
14,41,0,0,12,34,100,1539955800178
14,41,0,0,12,34,200,1539955800200
0,0,0,0,12,34,200,1539955802197
14,41,0,0,12,34,100,1539955802197
51,0,0,0,0,33.9,,1539955802382
0,0,0,0,15,33.9,100,1539955802382
51,0,0,0,0,33.8,,1539955804307
0,0,0,0,4,33.8,300,1539955804307
0,0,0,0,4,33.8,100,1539955805095
0,0,0,0,4,33.84,100,1539955810573
0,0,0,0,12,33.85,100,1539955810573
14,41,0,0,12,33.84,100,1539955810573
0,0,0,0,11,33.84,100,1539955810573
14,41,0,0,19,33.85,100,1539955810573
51,0,0,0,0,33.79,,1539955810574
0,0,0,0,19,33.85,100,1539955810574
0,0,0,0,19,33.84,100,1539955810574
14,37,41,0,12,33.81,12,1539955810574
14,37,41,0,17,33.8,83,1539955810574
14,37,41,0,17,33.8,17,1539955810574
14,41,0,0,19,33.8,136,1539955810574
14,37,41,0,19,33.8,64,1539955810574
14,41,0,0,19,33.79,100,1539955810574
37,0,0,0,15,33.79,31,1539955810575
37,0,0,0,12,33.83,80,1539955810576
37,0,0,0,12,33.84,20,1539955810576
37,0,0,0,12,33.84,80,1539955810576
0,0,0,0,12,33.93,100,1539955810584
14,37,41,0,12,33.83,20,1539955810584
14,37,41,0,12,33.99,15,1539955810766
14,41,0,0,17,33.96,100,1539955810766
14,37,41,0,11,33.97,85,1539955810767
0,0,0,0,11,33.92,100,1539955810784
0,0,0,0,11,33.9,100,1539955810784
0,0,0,0,10,33.96,100,1539955810984
0,0,0,0,4,33.88,100,1539955811092
0,0,0,0,4,33.88,100,1539955811095
14,37,41,0,12,34,5,1539955811112
14,37,41,0,12,33.9,1,1539955812294
14,41,0,0,19,33.99,100,1539955814115
14,41,0,0,12,33.99,100,1539955814117
0,0,0,0,12,33.94,100,1539955814117
0,0,0,0,11,33.99,100,1539955814117
14,41,0,0,12,33.99,100,1539955814121
0,0,0,0,19,33.95,100,1539955814121
14,41,0,0,12,34,195,1539955814122
14,41,0,0,12,34,100,1539955814122
0,0,0,0,4,33.98,100,1539955814125
14,41,0,0,12,34,100,1539955814178
14,41,0,0,12,34,100,1539955814178
14,41,0,0,12,34,100,1539955814179
0,0,0,0,11,34,100,1539955814229
0,0,0,0,4,34,100,1539955814388
0,0,0,0,12,34,200,1539955815015
0,0,0,0,12,34,129,1539955815015
14,41,0,0,12,34,200,1539955815016
0,0,0,0,4,33.955,100,1539955815091
14,37,41,0,12,33.96,99,1539955815092
14,37,41,0,12,33.95,1,1539955815092
37,0,0,0,12,33.95,99,1539955815092
0,0,0,0,12,33.95,100,1539955815184
0,0,0,0,10,33.92,100,1539955815890
0,0,0,0,12,33.9,100,1539955816198
0,0,0,0,10,33.86,100,1539955816198
0,0,0,0,12,33.9,100,1539955816207
0,0,0,0,4,33.85,100,1539955817097
0,0,0,0,12,33.85,100,1539955817097
0,0,0,0,19,33.86,100,1539955817098
0,0,0,0,19,33.85,100,1539955817098
14,37,41,0,7,33.83,10,1539955817099
14,41,0,0,11,33.83,100,1539955817099
51,0,0,0,0,33.78,,1539955820544
51,0,0,0,0,33.77,,1539955820544
51,0,0,0,0,33.76,,1539955820544
