c1,c2,c3,c4,e,p,s,t
51,0,0,0,0,51.44,47,1539302644470
14,41,0,0,11,52.04,800,1539339705123
0,0,0,0,11,51.8,300,1539341952767
37,0,0,0,11,51.8,30,1539342224138
0,0,0,0,11,51.8,400,1539342292499
37,0,0,0,11,51.95,10,1539342385053
37,0,0,0,11,51.97,10,1539342567735
14,41,0,0,12,51.91,100,1539342578227
14,41,0,0,11,51.97,100,1539342637732
0,0,0,0,8,51.91,200,1539342641947
0,0,0,0,11,51.91,100,1539342645384
0,0,0,0,11,51.91,100,1539342645384
14,41,0,0,12,51.91,100,1539342766503
14,41,0,0,12,51.91,200,1539342766503
14,41,0,0,12,51.91,200,1539342766503
37,0,0,0,11,51.97,80,1539342816811
37,0,0,0,11,51.99,57,1539343455618
37,0,0,0,11,51.99,50,1539343481892
14,41,0,0,8,52.15,100,1539343778981
0,0,0,0,11,52.2,100,1539343958514
14,41,0,0,8,52.2,400,1539343958515
14,41,0,0,8,52.2,100,1539344058501
0,0,0,0,11,52.22,100,1539344064008
14,41,0,0,11,52.22,438,1539344067946
14,37,41,0,11,52,3,1539344325423
37,0,0,0,11,52.29,30,1539344452065
14,37,41,0,11,52.29,10,1539344557668
14,41,0,0,11,52.25,100,1539344598739
14,41,0,0,11,52.14,553,1539344773729
14,41,0,0,11,52.28,411,1539344813045
0,0,0,0,11,52.29,200,1539344815047
37,0,0,0,8,52.3,40,1539344876906
37,0,0,0,11,52.29,60,1539345032095
0,0,0,0,11,52.29,410,1539345032095
0,0,0,0,11,52.2,100,1539345499184
0,0,0,0,11,52.2,100,1539345565224
14,41,0,0,11,52.2,332,1539345600250
14,41,0,0,11,52.13,200,1539345600250
14,41,0,0,11,52.1,100,1539345600250
14,41,0,0,11,52,247,1539345600250
14,41,0,0,11,52,1000,1539345600250
14,41,0,0,8,51.91,200,1539345600250
14,41,0,0,8,51.75,200,1539345600250
14,37,41,0,11,51.91,25,1539345600250
14,41,0,0,8,51.7,100,1539345600250
14,41,0,0,11,51.91,200,1539345600250
14,41,0,0,8,51.7,300,1539345600250
14,41,0,0,11,51.88,200,1539345600250
14,41,0,0,11,51.75,500,1539345600250
14,41,0,0,11,51.7,100,1539345600250
14,41,0,0,11,51.7,300,1539345600250
14,41,0,0,19,51.91,100,1539345600250
14,41,0,0,19,51.91,200,1539345600250
14,41,0,0,19,51.7,100,1539345600250
14,41,0,0,19,51.7,400,1539345600250
14,41,0,0,12,51.91,200,1539345600250
14,41,0,0,12,51.91,200,1539345600250
14,41,0,0,12,51.7,100,1539345600251
14,41,0,0,12,51.7,600,1539345600251
37,0,0,0,11,51.57,1,1539345600546
37,0,0,0,4,51.9899,90,1539345600786
0,0,0,0,4,52.3999,100,1539345601257
0,0,0,0,4,51.9499,100,1539345601322
0,0,0,0,4,51.9699,250,1539345601344
37,0,0,0,4,52.2899,79,1539345601383
0,0,0,0,4,52.2899,500,1539345601425
0,0,0,0,4,52.2599,200,1539345601881
0,0,0,0,4,51.8,300,1539345606520
0,0,0,0,4,51.95,500,1539345606523
0,0,0,0,4,51.8,100,1539345606523
0,0,0,0,4,51.99,100,1539345606546
0,0,0,0,4,52.05,377,1539345606549
0,0,0,0,4,52.25,200,1539345606551
0,0,0,0,4,51.8,200,1539345606551
0,0,0,0,4,52.13,300,1539345606637
37,0,0,0,4,52.2,10,1539345606637
0,0,0,0,4,52.05,300,1539345606642
0,0,0,0,4,52.2,200,1539345606645
37,0,0,0,4,51.99,50,1539345606657
0,0,0,0,4,52.2999,2636,1539345606658
0,0,0,0,4,51.99,123,1539345606668
0,0,0,0,4,52.49,900,1539345606673
0,0,0,0,4,52.2,459,1539345606691
0,0,0,0,4,52.2,1999,1539345606692
0,0,0,0,4,52.25,200,1539345606714
37,0,0,0,4,51.99,70,1539345609229
14,41,0,0,11,51.6,300,1539345615879
14,41,0,0,11,51.57,900,1539345616282
14,37,41,0,8,51.57,52,1539345687747
0,0,0,0,11,52,300,1539345705278
14,41,0,0,11,52,100,1539345706466
0,0,0,0,11,52,500,1539345707212
0,0,0,0,11,52,100,1539345707855
0,0,0,0,4,51.9999,200,1539345748042
0,0,0,0,11,52,100,1539345754298
0,0,0,0,11,52,100,1539345754298
0,0,0,0,11,52,100,1539345754298
0,0,0,0,4,52.2,500,1539345756834
0,0,0,0,4,52.19,500,1539345781865
0,0,0,0,4,52.0001,1000,1539345808880
0,0,0,0,11,52.09,100,1539345812953
37,0,0,0,4,52.09,50,1539345817645
0,0,0,0,11,52.19,3000,1539345831743
0,0,0,0,11,52.19,100,1539345831743
0,0,0,0,8,52.2,1000,1539345833217
0,0,0,0,8,52.2,100,1539345839063
37,0,0,0,8,52.2,83,1539345839101
14,41,0,0,8,52.15,100,1539345858167
0,0,0,0,11,52.19,500,1539345860858
0,0,0,0,4,52.1,450,1539345861296
37,0,0,0,11,52.11,17,1539345866595
37,0,0,0,11,52.1,83,1539345866595
14,41,0,0,11,52.1,417,1539345870989
14,41,0,0,11,52.09,100,1539345872788
0,0,0,0,11,52.09,300,1539345874119
0,0,0,0,4,52.1,583,1539345880695
0,0,0,0,4,52.1,1417,1539345880698
14,41,0,0,11,52,100,1539345881117
0,0,0,0,11,52,400,1539345881959
0,0,0,0,12,51.9,100,1539345917127
0,0,0,0,4,52,1000,1539345917533
0,0,0,0,4,52,200,1539345923727
37,0,0,0,11,51.8,50,1539345924984
0,0,0,0,4,52,1000,1539345932128
0,0,0,0,4,51.9999,100,1539345954299
37,0,0,0,11,51.99,50,1539345971363
0,0,0,0,4,52,200,1539345984627
37,0,0,0,4,51.9999,48,1539345984630
37,0,0,0,4,52,20,1539345991526
37,0,0,0,4,52,4,1539345992656
0,0,0,0,4,52,200,1539346006137
0,0,0,0,4,51.9999,100,1539346022512
0,0,0,0,4,52,1000,1539346023856
37,0,0,0,11,51.99,50,1539346029786
0,0,0,0,11,52,1000,1539346029786
0,0,0,0,11,52,100,1539346029787
0,0,0,0,11,52,100,1539346029787
14,41,0,0,12,51.85,100,1539346029787
0,0,0,0,12,51.85,100,1539346029787
0,0,0,0,11,52,100,1539346029787
0,0,0,0,11,52,200,1539346029788
0,0,0,0,12,51.85,100,1539346029788
0,0,0,0,12,51.85,100,1539346029788
0,0,0,0,11,52,300,1539346029788
14,41,0,0,12,51.85,100,1539346029788
0,0,0,0,11,52,300,1539346029788
0,0,0,0,12,51.85,200,1539346029788
0,0,0,0,12,51.85,300,1539346029789
0,0,0,0,11,52,500,1539346029789
14,41,0,0,12,51.85,100,1539346029789
37,0,0,0,11,52,50,1539346029789
0,0,0,0,12,51.85,300,1539346029789
0,0,0,0,12,51.85,500,1539346029790
37,0,0,0,12,51.85,50,1539346029790
0,0,0,0,4,51.8,150,1539346050313
14,41,0,0,11,51.8,450,1539346055195
14,37,41,0,11,51.8,50,1539346055195
14,41,0,0,12,51.85,100,1539346114695
14,41,0,0,12,51.85,176,1539346114695
0,0,0,0,11,51.85,250,1539346117146
0,0,0,0,11,51.9,140,1539346119362
0,0,0,0,4,52.06,350,1539346136144
0,0,0,0,4,52.06,1000,1539346140197
37,0,0,0,11,51.95,30,1539346164678
0,0,0,0,11,52.06,1000,1539346196508
14,41,0,0,17,52.06,200,1539346196510
14,37,41,0,17,52.06,50,1539346196510
14,41,0,0,17,52.06,631,1539346198088
14,41,0,0,12,52.06,619,1539346198088
14,37,41,0,12,52.06,28,1539346198113
14,37,41,0,12,52.06,53,1539346198113
14,37,41,0,8,52.06,17,1539346198113
14,37,41,0,8,52.06,19,1539346198114
14,37,41,0,12,52.19,40,1539346200924
14,37,41,0,12,52.19,60,1539346205570
14,37,41,0,12,52.24,51,1539346215044
14,37,41,0,12,52.24,10,1539346215044
14,41,0,0,12,52.2,400,1539346215044
0,0,0,0,11,52.02,100,1539346223490
0,0,0,0,4,52.0001,150,1539346223496
0,0,0,0,4,52.0001,250,1539346239674
14,41,0,0,17,52.1,100,1539346254945
14,37,41,0,17,52.1,20,1539346254945
14,41,0,0,17,52.1,300,1539346281623
14,41,0,0,17,52.1,200,1539346283965
14,37,41,0,17,52.1,20,1539346284417
14,41,0,0,17,52.1,100,1539346284538
14,41,0,0,17,52.1,100,1539346284837
14,37,41,0,17,52.1,30,1539346285017
14,41,0,0,17,52.1,130,1539346285509
0,0,0,0,4,52.19,200,1539346316057
0,0,0,0,4,52.19,800,1539346326494
0,0,0,0,4,52.1899,100,1539346328987
37,0,0,0,11,52.19,30,1539346335271
14,37,41,0,11,52.19,70,1539346336622
14,41,0,0,11,52.19,100,1539346336622
14,37,41,0,12,52.2,30,1539346336623
14,37,41,0,12,52.2,68,1539346336703
14,41,0,0,12,52.2,100,1539346336704
37,0,0,0,11,52.1,36,1539346338087
37,0,0,0,12,52.19,50,1539346338206
14,37,41,0,12,52.2,3,1539346338987
14,37,41,0,12,52.2,1,1539346341003
14,41,0,0,12,52.2,300,1539346342888
14,37,41,0,12,52.2,4,1539346342928
14,37,41,0,12,52.2,1,1539346345001
14,37,41,0,12,52.2,1,1539346349000
14,37,41,0,12,52.2,1,1539346351015
0,0,0,0,4,52.2,500,1539346354287
14,37,41,0,8,52.2,6,1539346354321
14,37,41,0,12,52.2,30,1539346354322
14,41,0,0,8,52.2,177,1539346354381
0,0,0,0,11,52.25,500,1539346376646
14,41,0,0,17,52.25,500,1539346376647
