c1,c2,c3,c4,e,p,s,t
14,41,0,0,11,46.51,505,1537963208916
14,41,0,0,8,44.5,100,1537964300821
14,41,0,0,11,43.77,500,1537964711819
0,0,0,0,12,43.77,126,1537964713237
14,41,0,0,12,43.3,100,1537964777951
14,37,41,0,12,43.3,26,1537964783360
37,0,0,0,11,43.36,26,1537965490095
14,41,0,0,11,43.25,200,1537965491230
14,41,0,0,12,43,100,1537965498247
37,0,0,0,11,42.99,50,1537965736713
37,0,0,0,11,42.77,23,1537965751075
14,41,0,0,12,42.5,100,1537965758242
14,37,41,0,12,42.5,77,1537965763721
14,37,41,0,12,42.5,4,1537965769159
14,41,0,0,11,42.25,100,1537965803752
14,41,0,0,11,42.25,100,1537965804785
0,0,0,0,11,42.25,100,1537965806268
14,41,0,0,11,42.25,129,1537965806471
0,0,0,0,4,42.25,500,1537965854864
14,41,0,0,12,42.25,371,1537965975460
14,37,41,0,12,42.25,29,1537965977127
37,0,0,0,8,42.5,55,1537966005531
0,0,0,0,4,42,400,1537966221848
14,37,41,0,11,42.02,20,1537966300952
14,37,41,0,12,42.4,30,1537966497525
0,0,0,0,4,42.2501,200,1537966510779
37,0,0,0,4,42.25,1,1537967009065
37,0,0,0,4,42.1,4,1537967094700
37,0,0,0,8,42.25,45,1537967298431
14,37,41,0,11,42.5,4,1537968145461
14,37,41,0,11,42.34,21,1537968145461
14,37,41,0,11,42.3,75,1537968145461
14,41,0,0,8,42.3,200,1537968145461
14,41,0,0,8,42.3,200,1537968150111
0,0,0,0,12,42.88,100,1537968187186
14,37,41,0,12,42.36,50,1537968299073
14,37,41,0,12,42.3,50,1537968299073
0,0,0,0,4,42.3,2500,1537968338432
14,41,0,0,8,42.3,100,1537968343279
14,37,41,0,11,42.35,25,1537968345211
14,37,41,0,11,42.25,75,1537968345211
14,41,0,0,11,42.25,500,1537968385623
14,37,41,0,12,42.31,50,1537968405589
14,37,41,0,12,42.3,50,1537968405589
14,41,0,0,12,42.69,100,1537968575349
37,0,0,0,12,42.95,30,1537968600032
37,0,0,0,11,42.98,30,1537968650001
25,16,0,0,11,42.98,30,1537968650001
37,0,0,0,11,43.02,70,1537968650001
37,0,0,0,11,43.02,30,1537968650001
