c1,c2,c3,c4,e,p,s,t
25,41,0,0,12,82.03,3844,1539869400107
25,16,0,0,12,82.03,3844,1539869400107
14,37,41,0,12,81,10,1539869400108
0,0,0,0,12,81,100,1539869400109
14,41,0,0,7,81,100,1539869400175
37,0,0,0,4,79.9325,68,1539869406106
0,0,0,0,4,81.5262,100,1539869414925
0,0,0,0,12,81.645,112,1539869526815
51,0,0,0,0,80.76,,1539869543550
0,0,0,0,4,80.76,100,1539869543550
37,0,0,0,15,80.7,12,1539869543580
0,0,0,0,4,81.645,6133,1539869561950
0,0,0,0,4,81.645,8800,1539869562936
14,37,41,0,19,81,67,1539869562949
51,0,0,0,0,80.67,,1539869569267
0,0,0,0,4,80.67,100,1539869569267
14,41,0,0,7,81.645,100,1539869569272
0,0,0,0,4,80.67,100,1539869569321
0,0,0,0,4,81.645,400,1539869571744
0,0,0,0,4,80.92,100,1539869574821
0,0,0,0,4,81.565,400,1539869575195
0,0,0,0,4,81,488,1539869580148
0,0,0,0,4,81.5,400,1539869580149
0,0,0,0,4,80.68,100,1539869591785
0,0,0,0,4,81.565,100,1539869597819
14,41,0,0,8,80.67,100,1539869613446
0,0,0,0,4,80.98,100,1539869613581
0,0,0,0,4,81.195,100,1539869613754
0,0,0,0,4,81.195,100,1539869613761
37,0,0,0,4,81.5258,26,1539869613972
14,37,41,0,12,80.67,6,1539869614235
14,37,41,0,7,80.98,11,1539869614235
14,37,41,0,11,80.67,11,1539869614235
25,16,0,0,11,80.67,11,1539869614235
0,0,0,0,4,80.72,100,1539869617768
51,0,0,0,0,80.25,,1539869626293
14,37,41,0,12,80.24,73,1539869626293
14,41,0,0,11,80.25,100,1539869626293
51,0,0,0,0,80.24,,1539869626294
14,37,41,0,12,80.59,30,1539869626294
14,41,0,0,11,80.25,100,1539869626294
0,0,0,0,11,80.24,100,1539869626294
37,0,0,0,8,80.58,10,1539869626294
37,0,0,0,19,80.62,10,1539869626294
37,0,0,0,19,80.24,12,1539869626294
37,0,0,0,4,80.12,60,1539869626298
14,37,41,0,12,80.67,29,1539869626299
14,37,41,0,8,80.67,10,1539869626299
14,37,41,0,19,80.67,10,1539869626299
14,41,0,0,17,80.69,100,1539869626299
14,37,41,0,17,80.72,41,1539869626299
